month,warehouse,op_type,sku,qty,weight_kg,operator,duration_min,error_flag
2024-12,上海仓,移库,FWDD23M,4159,0.0,仓管-01,101,False
2024-12,上海仓,盘点,FWD6850,2398,47.96,仓管-01,97,False
2024-12,上海仓,盘点,BHC89235G,1340,26.8,仓管-03,32,False
2024-12,上海仓,报废,FWD205M,2482,49.64,仓管-02,42,False
2024-12,上海仓,盘点,FWD413,2536,25.36,仓管-02,85,False
2024-12,上海仓,报废,FWDV095,1275,12.75,仓管-04,84,False
2024-12,上海仓,盘点,FWD96107SW,3174,31.74,仓管-04,119,False
2024-12,上海仓,盘点,FWD111M,3487,34.87,仓管-02,63,False
2024-12,上海仓,报废,FWD6504A,338,6.76,仓管-03,93,False
2024-12,上海仓,移库,BHC9327GP,2630,26.3,仓管-01,86,False
2024-12,上海仓,退货入库,FWD427,3626,0.0,仓管-02,35,False
2024-12,上海仓,盘点,FWD5518WR,1208,12.08,仓管-04,109,False
2024-12,上海仓,退货入库,FWDD27L,1881,18.81,仓管-03,106,False
2024-12,上海仓,报废,FWD5800A,4028,40.28,仓管-03,117,False
2024-12,上海仓,盘点,FWD6850,3467,0.0,仓管-02,6,False
2024-12,上海仓,入库,FWD217,745,14.9,仓管-02,79,False
2024-12,上海仓,报废,FWD6820,385,3.85,仓管-01,77,False
2024-12,上海仓,退货入库,FWD6225,594,5.94,仓管-02,88,False
2024-12,上海仓,出库,FWD7322,2289,0.0,仓管-03,26,False
2024-12,上海仓,入库,FWD152WR,4179,41.79,仓管-04,45,False
2024-12,上海仓,盘点,FWDV550,124,0.0,仓管-02,114,False
2024-12,上海仓,移库,FWD411,4939,49.39,仓管-02,110,False
2024-12,上海仓,报废,FWD524,4737,0.0,仓管-03,90,False
2024-12,上海仓,移库,FWD305,574,5.74,仓管-02,18,False
2024-12,上海仓,报废,FWD3500,2706,27.06,仓管-03,110,False
2024-12,上海仓,报废,FWD435,3834,76.68,仓管-03,49,False
2024-12,上海仓,盘点,FWD6002,662,0.0,仓管-02,117,False
2024-12,上海仓,入库,FWD119,3323,33.23,仓管-01,39,False
2024-12,上海仓,入库,FWD6003,4046,40.46,仓管-01,49,False
2024-12,上海仓,出库,FWD5870D,1968,39.36,仓管-02,46,False
2024-12,上海仓,盘点,FWD3502,733,14.66,仓管-04,63,False
2024-12,上海仓,出库,FWD323WR,3442,68.84,仓管-02,103,False
2024-12,上海仓,移库,BHC9326BM ,4658,46.58,仓管-04,74,False
2024-12,上海仓,移库,FWDD27X,2353,23.53,仓管-01,79,False
2024-12,上海仓,报废,FWD411,1762,35.24,仓管-01,77,False
2024-12,上海仓,出库,FWDD10M,4244,42.44,仓管-01,50,False
2024-12,上海仓,移库,BHC9326BM ,3155,0.0,仓管-04,111,False
2024-12,上海仓,移库,FWD504WR,94,1.88,仓管-01,85,False
2024-12,上海仓,退货入库,FWD7351,4046,40.46,仓管-04,99,False
2024-12,上海仓,入库,FWD122,3095,30.95,仓管-01,74,False
2024-12,上海仓,报废,FWD7352,3444,34.44,仓管-02,47,False
2024-12,上海仓,入库,FWDD23X,1005,20.1,仓管-02,39,False
2024-12,上海仓,盘点,FWD215,3255,0.0,仓管-04,18,False
2024-12,上海仓,出库,FWD231,1925,19.25,仓管-03,54,False
2024-12,上海仓,入库,FWD508WR,523,5.23,仓管-02,105,False
2024-12,上海仓,入库,FWDV580,4470,44.7,仓管-01,24,False
2024-12,上海仓,报废,BHC9321RY,3516,0.0,仓管-04,5,False
2024-12,上海仓,退货入库,FWD6006,3329,33.29,仓管-04,43,False
2024-12,上海仓,报废,FWD6910,788,7.88,仓管-04,7,False
2024-12,上海仓,报废,FWD6163,3417,68.34,仓管-03,28,False
2024-12,上海仓,入库,FWD403,3822,38.22,仓管-02,100,False
2024-12,上海仓,盘点,FWDV150B,822,16.44,仓管-01,120,False
2024-12,上海仓,移库,FWD7305WR,4763,0.0,仓管-03,12,False
2024-12,上海仓,出库,FWD402,60,0.6,仓管-04,118,False
2024-12,上海仓,报废,FWD289,2022,20.22,仓管-04,24,False
2024-12,上海仓,盘点,FWD6840,1810,18.1,仓管-02,58,False
2024-12,上海仓,出库,FWD522,2520,25.2,仓管-03,44,False
2024-12,上海仓,报废,FWD6018,2153,43.06,仓管-01,63,False
2024-12,上海仓,入库,FWDV015,1401,14.01,仓管-03,70,False
2024-12,上海仓,盘点,FWD6502,686,0.0,仓管-04,5,False
2024-12,上海仓,报废,FWD231,4907,98.14,仓管-01,105,False
2024-12,上海仓,退货入库,FWD201,4101,41.01,仓管-02,20,False
2024-12,上海仓,入库,FWD5870C,2309,46.18,仓管-03,18,False
2024-12,上海仓,出库,FWDV155,3150,31.5,仓管-03,47,False
2024-12,上海仓,盘点,FWD6303A,315,6.3,仓管-01,87,False
2024-12,上海仓,报废,FWD435B,2794,27.94,仓管-02,27,False
2024-12,上海仓,盘点,FWDV080B,246,2.46,仓管-03,91,False
2024-12,上海仓,退货入库,FWD5893,2068,20.68,仓管-02,30,False
2024-12,上海仓,移库,FWDD21M,4278,0.0,仓管-01,11,False
2024-12,上海仓,入库,FWDD28M,937,9.37,仓管-01,88,False
2024-12,上海仓,入库,BHC89232BR,1297,25.94,仓管-03,26,False
2024-12,上海仓,退货入库,FWD2205G,3004,60.08,仓管-01,36,False
2024-12,上海仓,报废,FWD535,4544,45.44,仓管-03,22,False
2024-12,上海仓,移库,BHC89233BR,4638,46.38,仓管-01,10,False
2024-12,上海仓,盘点,FWD119,1468,14.68,仓管-03,75,False
2025-01,上海仓,退货入库,FWD151,3637,36.37,仓管-04,80,False
2025-01,上海仓,入库,FWD163,303,3.03,仓管-02,110,False
2025-01,上海仓,移库,BHC9225BMTH,909,0.0,仓管-01,9,False
2025-01,上海仓,移库,BHC9325BR,2083,20.83,仓管-02,92,False
2025-01,上海仓,移库,FWD6602E,4967,49.67,仓管-02,118,False
2025-01,上海仓,入库,BHC89233BR,2035,20.35,仓管-03,102,False
2025-01,上海仓,盘点,FWD7365,3847,38.47,仓管-02,11,False
2025-01,上海仓,盘点,FWD235WR,4521,0.0,仓管-04,93,False
2025-01,上海仓,移库,FWD5519WR,2809,56.18,仓管-02,78,False
2025-01,上海仓,入库,FWDD29X,3074,61.48,仓管-03,107,False
2025-01,上海仓,盘点,FWD6215,466,4.66,仓管-04,113,False
2025-01,上海仓,移库,FWD305,4497,44.97,仓管-01,55,False
2025-01,上海仓,入库,FWDD23X,3695,36.95,仓管-02,97,False
2025-01,上海仓,出库,FWD103,1591,15.91,仓管-04,8,False
2025-01,上海仓,退货入库,FWD525,1765,35.3,仓管-02,38,False
2025-01,上海仓,入库,FWD301,2291,45.82,仓管-02,27,False
2025-01,上海仓,报废,BHC9275BOH,142,0.0,仓管-04,105,False
2025-01,上海仓,入库,FWDV040,1475,29.5,仓管-01,45,False
2025-01,上海仓,报废,FWD6683T,1635,16.35,仓管-04,101,False
2025-01,上海仓,出库,FWD425B,1587,15.87,仓管-02,107,False
2025-01,上海仓,退货入库,FWD353,1779,17.79,仓管-04,46,False
2025-01,上海仓,盘点,FWD5873A,3691,0.0,仓管-04,81,False
2025-01,上海仓,移库,FWD7322B,4681,46.81,仓管-01,62,False
2025-01,上海仓,入库,FWD6001,89,0.0,仓管-03,25,False
2025-01,上海仓,移库,FWD5800D,2795,55.9,仓管-04,55,False
2025-01,上海仓,盘点,FWD6850,2336,46.72,仓管-03,99,False
2025-01,上海仓,入库,FWD5893,2702,27.02,仓管-02,21,False
2025-01,上海仓,盘点,FWDV150,2060,20.6,仓管-04,64,True
2025-01,上海仓,出库,FWD535,2139,21.39,仓管-03,116,False
2025-01,上海仓,移库,FWDV155,125,0.0,仓管-03,11,False
2025-01,上海仓,移库,FWD425,4854,48.54,仓管-04,64,False
2025-01,上海仓,报废,FWD225,3435,68.7,仓管-02,103,False
2025-01,上海仓,退货入库,BHC9320YB,1891,0.0,仓管-04,115,False
2025-01,上海仓,报废,FWD111M,935,18.7,仓管-01,84,False
2025-01,上海仓,盘点,FWD552,1954,19.54,仓管-01,96,False
2025-01,上海仓,报废,FWD6885,3778,37.78,仓管-03,97,False
2025-01,上海仓,移库,FWDD23M,783,0.0,仓管-03,104,False
2025-01,上海仓,出库,FWDV155,3838,38.38,仓管-01,30,False
2025-01,上海仓,入库,FWDV095B,3339,33.39,仓管-03,50,False
2025-01,上海仓,移库,FWD323,3260,32.6,仓管-02,120,False
2025-01,上海仓,盘点,FWDV095,2498,24.98,仓管-01,106,False
2025-01,上海仓,出库,FWD425B,3222,32.22,仓管-03,27,False
2025-01,上海仓,入库,FWD173,3104,31.04,仓管-01,76,False
2025-01,上海仓,盘点,FWD5518WR,3073,0.0,仓管-03,36,False
2025-01,上海仓,移库,FWD6602,26,0.52,仓管-01,112,False
2025-01,上海仓,移库,FWDD10Y,2876,28.76,仓管-02,79,False
2025-01,上海仓,入库,FWD6009,3193,63.86,仓管-04,11,False
2025-01,上海仓,移库,FWD509,19,0.0,仓管-01,72,False
2025-01,上海仓,报废,FWD301,2462,49.24,仓管-02,95,False
2025-01,上海仓,盘点,FWD7365,2098,0.0,仓管-02,109,False
2025-01,上海仓,退货入库,FWDV040B,1595,15.95,仓管-01,51,False
2025-01,上海仓,出库,BHC9232MGH,3463,69.26,仓管-03,17,False
2025-01,上海仓,入库,FWD6882,4208,42.08,仓管-02,23,False
2025-01,上海仓,退货入库,HC010AS,360,3.6,仓管-04,74,False
2025-01,上海仓,退货入库,FWD532,1022,10.22,仓管-04,65,False
2025-01,上海仓,移库,BHC9326BM ,752,7.52,仓管-04,49,False
2025-01,上海仓,报废,FWD5872C,2843,28.43,仓管-03,21,False
2025-01,上海仓,退货入库,FWD6005,3707,37.07,仓管-03,119,False
2025-01,上海仓,盘点,FWD421,3930,0.0,仓管-04,120,False
2025-01,上海仓,入库,FWD300,645,0.0,仓管-01,18,False
2025-01,上海仓,报废,FWD6300,96,1.92,仓管-02,52,False
2025-02,上海仓,报废,FWD3504,3224,64.48,仓管-01,49,False
2025-02,上海仓,移库,FWD216,4039,80.78,仓管-04,6,False
2025-02,上海仓,报废,FWD416,4698,0.0,仓管-03,52,False
2025-02,上海仓,入库,FWD6502A,4128,41.28,仓管-03,73,False
2025-02,上海仓,移库,FWDD21L,4974,49.74,仓管-02,87,False
2025-02,上海仓,退货入库,FWD424,1636,16.36,仓管-04,118,False
2025-02,上海仓,入库,FWD520,937,18.74,仓管-03,74,False
2025-02,上海仓,出库,FWD419B,792,15.84,仓管-01,78,False
2025-02,上海仓,入库,FWDV550,2409,24.09,仓管-01,55,False
2025-02,上海仓,出库,BHC9321RY,1154,23.08,仓管-02,23,False
2025-02,上海仓,入库,FWDV040,588,5.88,仓管-03,23,False
2025-02,上海仓,移库,FWD508,4966,49.66,仓管-04,88,False
2025-02,上海仓,报废,FWD6300,1969,0.0,仓管-01,24,False
2025-02,上海仓,入库,FWD355,4629,0.0,仓管-01,95,False
2025-02,上海仓,出库,FWD508,2101,21.01,仓管-03,70,False
2025-02,上海仓,出库,FWD5890,1614,16.14,仓管-03,89,False
2025-02,上海仓,移库,FWD201WR,3933,0.0,仓管-03,116,True
2025-02,上海仓,退货入库,FWD6602E,1344,13.44,仓管-04,68,False
2025-02,上海仓,退货入库,FWD300,2773,0.0,仓管-04,21,False
2025-02,上海仓,退货入库,BHC9225BMTH,1455,14.55,仓管-04,31,False
2025-02,上海仓,退货入库,FWD6602E,308,3.08,仓管-04,48,False
2025-02,上海仓,移库,FWD6500A,493,4.93,仓管-02,34,False
2025-02,上海仓,出库,BHC9328GR,2532,50.64,仓管-01,47,False
2025-02,上海仓,入库,FWD303WR,1546,30.92,仓管-02,87,False
2025-02,上海仓,报废,FWD6300,2066,0.0,仓管-02,104,False
2025-02,上海仓,报废,FWDV155,3425,0.0,仓管-03,90,False
2025-02,上海仓,盘点,FWD353,3257,32.57,仓管-03,21,False
2025-02,上海仓,移库,FWD508WR,1932,38.64,仓管-03,23,False
2025-02,上海仓,出库,FWD323,4610,92.2,仓管-01,48,False
2025-02,上海仓,退货入库,FWD330,4034,0.0,仓管-02,86,False
2025-02,上海仓,入库,FWD96107SW,3430,34.3,仓管-04,100,False
2025-02,上海仓,报废,FWD6601,2027,20.27,仓管-02,66,False
2025-02,上海仓,入库,FWDD28M,4113,41.13,仓管-04,72,False
2025-02,上海仓,盘点,FWD5873A,2419,24.19,仓管-03,119,False
2025-02,上海仓,报废,FWD224,3738,0.0,仓管-04,74,False
2025-02,上海仓,入库,FWD361,4621,0.0,仓管-03,106,False
2025-02,上海仓,盘点,FWD302WR,3845,38.45,仓管-01,69,False
2025-02,上海仓,盘点,FWD6810,3099,30.99,仓管-02,119,False
2025-02,上海仓,入库,FWD6683T,1678,16.78,仓管-03,34,False
2025-02,上海仓,退货入库,FWD101,534,5.34,仓管-01,91,False
2025-02,上海仓,盘点,BHC9323PG,213,2.13,仓管-04,110,False
2025-02,上海仓,移库,FWD96107SW,4072,0.0,仓管-01,43,False
2025-02,上海仓,移库,BHC89232BR,265,5.3,仓管-04,113,False
2025-02,上海仓,退货入库,FWD535,4152,41.52,仓管-02,114,False
2025-02,上海仓,入库,FWD151WR,4558,45.58,仓管-01,20,False
2025-02,上海仓,退货入库,BHC9321RY,807,8.07,仓管-03,18,False
2025-02,上海仓,盘点,FWD407,2083,41.66,仓管-04,115,True
2025-02,上海仓,移库,BHC9321RY,4456,44.56,仓管-04,71,False
2025-02,上海仓,退货入库,FWD429,4665,46.65,仓管-02,99,False
2025-02,上海仓,报废,FWD6205,1994,19.94,仓管-01,38,False
2025-02,上海仓,移库,FWD419B,2279,22.79,仓管-04,15,False
2025-02,上海仓,出库,FWD413,3852,38.52,仓管-03,115,False
2025-02,上海仓,出库,FWD506,3951,0.0,仓管-01,80,False
2025-02,上海仓,移库,FWD6009,2818,28.18,仓管-04,69,False
2025-02,上海仓,出库,FWD6602,1424,14.24,仓管-01,11,False
2025-02,上海仓,报废,FWD323M,297,0.0,仓管-02,85,False
2025-02,上海仓,退货入库,FWDD10M,4569,45.69,仓管-04,12,False
2025-02,上海仓,报废,FWD235WR,4341,43.41,仓管-01,113,False
2025-02,上海仓,退货入库,FWDD21L,3990,39.9,仓管-01,91,False
2025-02,上海仓,报废,FWD215,2928,58.56,仓管-04,35,False
2025-02,上海仓,入库,FWD6502A,1591,31.82,仓管-04,56,False
2025-02,上海仓,出库,FWDD10M,3338,0.0,仓管-03,105,False
2025-02,上海仓,退货入库,FWD6885,2337,46.74,仓管-02,13,False
2025-02,上海仓,移库,FWD6303A,2063,20.63,仓管-04,106,False
2025-02,上海仓,退货入库,FWD506,2339,23.39,仓管-03,40,False
2025-02,上海仓,报废,FWD7322,1401,14.01,仓管-03,44,False
2025-02,上海仓,移库,FWDD10Y,2368,0.0,仓管-01,115,False
2025-02,上海仓,盘点,FWD5871A,1427,28.54,仓管-03,70,False
2025-02,上海仓,报废,FWD303WR,4709,0.0,仓管-01,7,False
2025-02,上海仓,入库,FWD427,1019,10.19,仓管-01,112,False
2025-02,上海仓,移库,FWD351,1287,12.87,仓管-01,44,False
2025-02,上海仓,退货入库,BHC9234BOH,3984,39.84,仓管-03,86,False
2025-03,上海仓,入库,FWD522WR,277,0.0,仓管-03,106,False
2025-03,上海仓,移库,FWD121WR,4774,47.74,仓管-01,49,False
2025-03,上海仓,入库,FWDD28M,3326,66.52,仓管-01,104,False
2025-03,上海仓,报废,FWDV580,4621,92.42,仓管-03,32,False
2025-03,上海仓,报废,FWD435,3518,0.0,仓管-03,96,False
2025-03,上海仓,报废,FWDD27M,2308,0.0,仓管-03,41,False
2025-03,上海仓,报废,FWD351WR,4259,85.18,仓管-01,27,False
2025-03,上海仓,出库,FWD302WR,2367,23.67,仓管-03,51,False
2025-03,上海仓,移库,FWD153,420,4.2,仓管-02,35,False
2025-03,上海仓,盘点,FWD362,2277,22.77,仓管-03,90,False
2025-03,上海仓,退货入库,FWDD21L,3315,33.15,仓管-03,57,False
2025-03,上海仓,退货入库,FWDD25X,553,0.0,仓管-01,37,False
2025-03,上海仓,出库,FWD111M,2313,23.13,仓管-02,102,False
2025-03,上海仓,报废,FWD417,697,6.97,仓管-04,101,False
2025-03,上海仓,出库,FWD3502,657,13.14,仓管-01,43,False
2025-03,上海仓,入库,FWD323,43,0.86,仓管-02,79,False
2025-03,上海仓,退货入库,FWDD27L,2615,0.0,仓管-01,66,False
2025-03,上海仓,出库,FWDV095B,2238,22.38,仓管-03,8,False
2025-03,上海仓,入库,FWD7351,1920,19.2,仓管-04,101,False
2025-03,上海仓,报废,FWD6215,4376,43.76,仓管-03,100,False
2025-03,上海仓,移库,FWD121WR,3587,35.87,仓管-03,58,False
2025-03,上海仓,入库,FWDD27M,3553,35.53,仓管-03,25,False
2025-03,上海仓,出库,FWD211,3089,30.89,仓管-03,43,True
2025-03,上海仓,盘点,FWD5872C,2573,0.0,仓管-01,26,False
2025-03,上海仓,入库,FWD408,2386,47.72,仓管-01,111,False
2025-03,上海仓,退货入库,FWDV550,4451,89.02,仓管-01,29,False
2025-03,上海仓,入库,FWDD27L,3963,79.26,仓管-04,48,False
2025-03,上海仓,出库,FWDV550,3261,32.61,仓管-03,84,False
2025-03,上海仓,盘点,FWD205,2227,22.27,仓管-02,114,False
2025-03,上海仓,出库,FWD5519WR,2666,26.66,仓管-03,23,False
2025-03,上海仓,出库,FWD205M,3911,0.0,仓管-01,104,False
2025-03,上海仓,入库,FWD502WR,2796,27.96,仓管-03,82,False
2025-03,上海仓,移库,FWD401,1250,0.0,仓管-03,110,False
2025-03,上海仓,入库,BHC9275BOH,686,6.86,仓管-01,98,False
2025-03,上海仓,入库,FWD5871C,3608,36.08,仓管-04,13,False
2025-03,上海仓,移库,FWD6002AWR,4608,92.16,仓管-01,5,False
