month,channel,category,revenue_rmb,units_sold,orders_count,avg_order_value,return_rate,new_customer_ratio
2025-01,电商平台,金色系列,82412.29,3759,254,1873.01,0.02,0.23
2025-01,电商平台,磁性珠光,366086.79,1285,56,2091.92,0.08,0.15
2025-01,电商平台,其他,198658.52,2715,263,875.15,0.04,0.39
2025-01,电商平台,金属彩光系列,304854.13,2831,80,2258.18,0.04,0.26
2025-01,电商平台,超白系列,273986.15,4135,282,964.74,0.07,0.22
2025-01,电商平台,钻石系列,294672.33,3555,279,2415.35,0.06,0.17
2025-01,电商平台,耐候系列,11404.39,240,195,38.66,0.04,0.14
2025-01,电商平台,着色系列,63976.59,2961,194,789.83,0.03,0.14
2025-01,电商平台,玻璃变色龙,428122.98,3549,134,3659.17,0.07,0.12
2025-01,电商平台,水晶系列,77522.64,1272,203,3370.55,0.06,0.23
2025-01,电商平台,化妆品系列,36500.84,968,47,143.7,0.07,0.36
2025-01,电商平台,云母粉,24791.01,3092,82,495.82,0.03,0.1
2025-01,电商平台,银白系列,417223.32,3511,86,4050.71,0.04,0.14
2025-01,电商平台,虹彩系列,268450.52,2553,250,1220.23,0.06,0.23
2025-01,电商平台,着色变色龙,325975.1,208,156,4939.02,0.02,0.36
2025-01,电商平台,玻璃包银系列,25738.36,1521,267,279.76,0.01,0.35
2025-02,电商平台,金色系列,343152.74,3821,293,2416.57,0.07,0.25
2025-02,电商平台,磁性珠光,357582.88,3570,90,2399.89,0.08,0.26
2025-02,电商平台,其他,489183.88,1125,118,2275.27,0.05,0.17
2025-02,电商平台,金属彩光系列,100009.95,4681,49,401.65,0.04,0.3
2025-02,电商平台,超白系列,208498.94,3216,94,5635.11,0.07,0.29
2025-02,电商平台,钻石系列,105417.99,988,63,2151.39,0.04,0.33
2025-02,电商平台,耐候系列,174381.11,2062,154,1875.07,0.05,0.12
2025-02,电商平台,着色系列,302584.27,2632,106,1036.25,0.02,0.38
2025-02,电商平台,玻璃变色龙,127764.23,796,299,3992.63,0.05,0.34
2025-02,电商平台,水晶系列,32383.5,2677,57,192.76,0.01,0.21
2025-02,电商平台,化妆品系列,148377.07,3361,266,1361.26,0.03,0.22
2025-02,电商平台,云母粉,184360.27,1161,59,1029.95,0.04,0.32
2025-02,电商平台,银白系列,59491.41,1330,22,290.2,0.04,0.36
2025-02,电商平台,虹彩系列,28330.06,1420,87,114.7,0.02,0.29
2025-02,电商平台,着色变色龙,476880.96,1997,120,5815.62,0.06,0.15
2025-02,电商平台,玻璃包银系列,482197.01,4329,277,2620.64,0.04,0.14
2025-03,电商平台,金色系列,152512.38,3629,30,733.23,0.03,0.4
2025-03,电商平台,磁性珠光,307369.75,1348,300,1164.28,0.02,0.1
2025-03,电商平台,其他,385495.48,2635,290,7138.81,0.04,0.24
2025-03,电商平台,金属彩光系列,93161.64,2521,92,2117.31,0.03,0.21
2025-03,电商平台,超白系列,53722.33,1567,245,378.33,0.08,0.39
2025-03,电商平台,钻石系列,383941.72,3721,81,5259.48,0.08,0.25
2025-03,电商平台,耐候系列,188101.33,2448,215,858.91,0.07,0.38
2025-03,电商平台,着色系列,73202.28,3104,272,430.6,0.04,0.3
2025-03,电商平台,玻璃变色龙,257911.79,2253,31,6613.12,0.06,0.17
2025-03,电商平台,水晶系列,412405.17,165,89,6546.11,0.03,0.15
2025-03,电商平台,化妆品系列,205647.41,697,124,988.69,0.07,0.3
2025-03,电商平台,云母粉,180979.6,3937,283,729.76,0.02,0.15
2025-03,电商平台,银白系列,63090.68,3351,231,563.31,0.04,0.12
2025-03,电商平台,虹彩系列,177787.54,4083,118,702.72,0.02,0.24
2025-03,电商平台,着色变色龙,277089.8,3949,84,2328.49,0.03,0.11
2025-03,电商平台,玻璃包银系列,304527.93,3215,41,1561.68,0.07,0.39
2025-04,电商平台,金色系列,114576.21,1832,21,506.97,0.03,0.29
2025-04,电商平台,磁性珠光,50959.73,667,150,234.84,0.02,0.36
2025-04,电商平台,其他,231196.26,3538,278,1942.83,0.06,0.18
2025-04,电商平台,金属彩光系列,416969.05,857,229,2253.89,0.08,0.19
2025-04,电商平台,超白系列,107316.6,3533,256,424.18,0.05,0.34
2025-04,电商平台,钻石系列,483139.02,3678,191,2311.67,0.07,0.27
2025-04,电商平台,耐候系列,447951.85,1726,49,5332.76,0.03,0.4
2025-04,电商平台,着色系列,470094.84,2692,17,5403.39,0.07,0.38
2025-04,电商平台,玻璃变色龙,254728.38,2692,68,1168.48,0.03,0.32
2025-04,电商平台,水晶系列,494236.92,1129,240,8376.9,0.01,0.32
2025-04,电商平台,化妆品系列,101951.9,4573,95,502.23,0.03,0.16
2025-04,电商平台,云母粉,103667.91,4825,17,520.94,0.07,0.1
2025-04,电商平台,银白系列,449360.91,4213,73,1695.7,0.06,0.24
2025-04,电商平台,虹彩系列,211089.54,2985,287,925.83,0.05,0.33
2025-04,电商平台,着色变色龙,65556.2,1540,244,286.27,0.04,0.27
2025-04,电商平台,玻璃包银系列,89702.0,3670,205,578.72,0.07,0.31
2025-05,电商平台,金色系列,224371.9,2420,60,4155.04,0.07,0.13
2025-05,电商平台,磁性珠光,328316.05,3469,63,1243.62,0.06,0.29
2025-05,电商平台,其他,276919.53,3738,267,10650.75,0.06,0.36
2025-05,电商平台,金属彩光系列,113816.85,3824,292,555.2,0.02,0.36
2025-05,电商平台,超白系列,475770.23,2972,247,2152.81,0.07,0.29
2025-05,电商平台,钻石系列,394471.23,3342,13,1962.54,0.06,0.25
2025-05,电商平台,耐候系列,141128.48,2266,167,635.71,0.06,0.1
2025-05,电商平台,着色系列,455438.93,367,17,19801.69,0.02,0.21
2025-05,电商平台,玻璃变色龙,410186.44,2700,181,4228.73,0.08,0.4
2025-05,电商平台,水晶系列,128497.25,3306,108,608.99,0.07,0.34
2025-05,电商平台,化妆品系列,293148.27,1155,209,2991.31,0.04,0.2
2025-05,电商平台,云母粉,87637.39,1992,60,1184.29,0.05,0.29
2025-05,电商平台,银白系列,394297.83,2231,293,4332.94,0.08,0.16
2025-05,电商平台,虹彩系列,55700.05,3683,15,632.96,0.01,0.31
2025-05,电商平台,着色变色龙,461091.25,745,205,20958.69,0.06,0.14
2025-05,电商平台,玻璃包银系列,232316.07,3033,105,1759.97,0.06,0.17
2025-06,电商平台,金色系列,104976.17,2109,203,734.1,0.06,0.18
2025-06,电商平台,磁性珠光,468138.19,289,62,7093.0,0.04,0.28
2025-06,电商平台,其他,62467.56,2413,144,612.43,0.02,0.25
2025-06,电商平台,金属彩光系列,187084.69,1803,210,3066.96,0.04,0.11
2025-06,电商平台,超白系列,46052.23,725,117,205.59,0.04,0.19
2025-06,电商平台,钻石系列,455068.18,1419,102,2809.06,0.01,0.15
2025-06,电商平台,耐候系列,287973.99,357,70,1556.62,0.08,0.25
2025-06,电商平台,着色系列,310862.45,4576,12,3416.07,0.05,0.18
2025-06,电商平台,玻璃变色龙,69580.87,342,284,3313.37,0.05,0.33
2025-06,电商平台,水晶系列,115990.2,3089,68,958.6,0.01,0.14
2025-06,电商平台,化妆品系列,50886.95,1136,147,339.25,0.04,0.39
2025-06,电商平台,云母粉,180791.16,4617,160,726.07,0.06,0.25
2025-06,电商平台,银白系列,261201.71,3376,108,1892.77,0.02,0.31
2025-06,电商平台,虹彩系列,444784.3,2402,211,7173.94,0.05,0.33
2025-06,电商平台,着色变色龙,162676.71,1786,259,704.23,0.07,0.23
2025-06,电商平台,玻璃包银系列,376068.84,2711,65,1825.58,0.04,0.27
2025-07,电商平台,金色系列,193240.64,626,240,2034.11,0.07,0.39
2025-07,电商平台,磁性珠光,134001.19,3457,160,476.87,0.03,0.11
2025-07,电商平台,其他,98153.08,2743,229,934.79,0.04,0.12
2025-07,电商平台,金属彩光系列,331907.76,3147,84,1952.4,0.02,0.2
2025-07,电商平台,超白系列,15341.5,2794,119,61.86,0.05,0.2
2025-07,电商平台,钻石系列,123997.88,642,207,799.99,0.05,0.26
2025-07,电商平台,耐候系列,60430.89,2377,48,268.58,0.06,0.23
2025-07,电商平台,着色系列,408563.29,1723,110,11673.24,0.07,0.25
2025-07,电商平台,玻璃变色龙,495227.26,3550,71,6783.94,0.04,0.28
2025-07,电商平台,水晶系列,299673.84,2036,20,1933.38,0.01,0.33
2025-07,电商平台,化妆品系列,292121.78,138,246,1884.66,0.02,0.39
2025-07,电商平台,云母粉,28134.02,4470,280,937.8,0.03,0.1
2025-07,电商平台,银白系列,240247.74,3500,164,1601.65,0.03,0.2
2025-07,电商平台,虹彩系列,49085.93,2665,262,1443.7,0.04,0.31
2025-07,电商平台,着色变色龙,232745.05,1094,201,3753.95,0.01,0.11
2025-07,电商平台,玻璃包银系列,15094.05,961,175,64.78,0.03,0.13
2025-08,电商平台,金色系列,364812.88,3121,285,30401.07,0.08,0.36
2025-08,电商平台,磁性珠光,137246.97,452,66,4036.68,0.08,0.12
2025-08,电商平台,其他,171371.2,3209,148,1766.71,0.07,0.28
2025-08,电商平台,金属彩光系列,68751.7,2715,85,311.09,0.05,0.3
2025-08,电商平台,超白系列,265664.21,2070,254,1021.79,0.08,0.2
2025-08,电商平台,钻石系列,368123.64,1950,57,2538.78,0.06,0.31
2025-08,电商平台,耐候系列,182974.75,2085,115,3734.18,0.02,0.25
2025-08,电商平台,着色系列,114112.98,1870,249,551.27,0.02,0.13
2025-08,电商平台,玻璃变色龙,112244.11,4937,280,411.15,0.07,0.33
2025-08,电商平台,水晶系列,162794.46,3819,88,607.44,0.02,0.14
2025-08,电商平台,化妆品系列,459181.65,3258,241,1688.17,0.02,0.22
2025-08,电商平台,云母粉,43633.26,3565,94,261.28,0.08,0.27
2025-08,电商平台,银白系列,60011.53,3876,64,909.27,0.03,0.37
2025-08,电商平台,虹彩系列,101644.59,334,253,361.72,0.04,0.18
2025-08,电商平台,着色变色龙,464194.58,788,191,2018.24,0.02,0.22
2025-08,电商平台,玻璃包银系列,221115.73,2833,37,940.92,0.03,0.13
2025-09,电商平台,金色系列,327824.66,3561,109,2048.9,0.02,0.15
2025-09,电商平台,磁性珠光,145203.59,4143,275,628.59,0.02,0.11
2025-09,电商平台,其他,131982.68,1009,122,1940.92,0.01,0.11
2025-09,电商平台,金属彩光系列,140427.34,639,282,2302.09,0.03,0.36
2025-09,电商平台,超白系列,352761.02,3414,210,1671.85,0.02,0.32
2025-09,电商平台,钻石系列,440968.56,2297,263,3834.51,0.02,0.16
2025-09,电商平台,耐候系列,322080.61,4984,157,29280.06,0.02,0.25
2025-09,电商平台,着色系列,353230.9,4005,166,2675.99,0.02,0.3
2025-09,电商平台,玻璃变色龙,91656.27,2821,243,1117.76,0.08,0.3
2025-09,电商平台,水晶系列,219682.05,270,100,1515.05,0.07,0.15
2025-09,电商平台,化妆品系列,382527.77,179,190,1517.97,0.05,0.25
2025-09,电商平台,云母粉,131280.11,996,33,7293.34,0.05,0.4
2025-09,电商平台,银白系列,419325.93,4403,267,4413.96,0.06,0.33
2025-09,电商平台,虹彩系列,58996.31,2849,241,226.04,0.06,0.4
2025-09,电商平台,着色变色龙,136096.36,4085,139,694.37,0.04,0.35
2025-09,电商平台,玻璃包银系列,157555.68,2833,275,613.06,0.02,0.31
2025-10,电商平台,金色系列,366825.62,269,85,1667.39,0.07,0.3
2025-10,电商平台,磁性珠光,79400.23,4178,25,588.15,0.05,0.31
2025-10,电商平台,其他,221053.05,1790,55,2028.01,0.07,0.21
2025-10,电商平台,金属彩光系列,62886.51,2343,288,262.03,0.08,0.36
2025-10,电商平台,超白系列,95726.6,2957,179,455.84,0.05,0.38
2025-10,电商平台,钻石系列,145361.09,1661,31,526.67,0.06,0.35
2025-10,电商平台,耐候系列,70251.02,3827,300,375.67,0.03,0.39
2025-10,电商平台,着色系列,254474.24,1305,248,2959.0,0.05,0.19
2025-10,电商平台,玻璃变色龙,283489.02,1432,165,1094.55,0.03,0.34
2025-10,电商平台,水晶系列,17640.28,435,121,114.55,0.07,0.14
2025-10,电商平台,化妆品系列,249299.56,141,230,1312.1,0.06,0.1
2025-10,电商平台,云母粉,133202.4,2968,155,498.89,0.06,0.33
2025-10,电商平台,银白系列,85968.14,804,148,1035.76,0.08,0.16
2025-10,电商平台,虹彩系列,296760.17,761,158,2432.46,0.01,0.38
2025-10,电商平台,着色变色龙,131876.97,3264,226,616.25,0.08,0.13
2025-10,电商平台,玻璃包银系列,138017.85,2574,169,1408.35,0.05,0.3
2025-11,电商平台,金色系列,168015.15,4836,81,1500.14,0.03,0.22
2025-11,电商平台,磁性珠光,107766.36,2598,53,665.22,0.05,0.29
2025-11,电商平台,其他,277457.03,3179,233,4702.66,0.02,0.23
2025-11,电商平台,金属彩光系列,163497.63,3029,249,856.01,0.04,0.23
2025-11,电商平台,超白系列,211026.73,326,296,9175.08,0.08,0.23
2025-11,电商平台,钻石系列,380369.66,2577,134,1398.42,0.04,0.29
2025-11,电商平台,耐候系列,450957.08,2503,37,2137.24,0.02,0.3
2025-11,电商平台,着色系列,236775.83,4343,245,6399.35,0.02,0.18
2025-11,电商平台,玻璃变色龙,493225.03,976,180,8359.75,0.07,0.27
2025-11,电商平台,水晶系列,348390.52,598,72,1285.57,0.06,0.12
2025-11,电商平台,化妆品系列,110481.58,1280,297,420.08,0.02,0.37
2025-11,电商平台,云母粉,323437.38,1367,164,1913.83,0.06,0.38
2025-11,电商平台,银白系列,404752.25,1744,68,9198.91,0.01,0.28
2025-11,电商平台,虹彩系列,69306.86,893,136,607.95,0.02,0.11
2025-11,电商平台,着色变色龙,257844.21,3300,38,3581.17,0.03,0.25
2025-11,电商平台,玻璃包银系列,100181.53,2024,289,700.57,0.07,0.3
2024-10,线下门店,金色系列,431063.81,1109,231,5131.71,0.05,0.16
2024-10,线下门店,磁性珠光,411089.55,2071,97,1516.94,0.06,0.26
2024-10,线下门店,其他,243317.62,2475,158,3988.81,0.08,0.25
2024-10,线下门店,金属彩光系列,337172.83,3304,207,5268.33,0.04,0.34
2024-10,线下门店,超白系列,82601.6,2421,244,1163.4,0.05,0.1
2024-10,线下门店,钻石系列,158353.17,3741,31,829.07,0.08,0.24
2024-10,线下门店,耐候系列,364301.98,2368,14,4003.32,0.04,0.36
2024-10,线下门店,着色系列,256570.75,2957,278,1227.61,0.05,0.15
2024-10,线下门店,玻璃变色龙,84187.33,4713,183,343.62,0.06,0.34
2024-10,线下门店,水晶系列,146386.67,2581,211,3326.97,0.07,0.29
2024-10,线下门店,化妆品系列,194496.14,3964,102,723.03,0.06,0.26
2024-10,线下门店,云母粉,73416.77,2754,188,339.89,0.01,0.11
2024-10,线下门店,银白系列,369109.98,1998,59,5767.34,0.04,0.3
2024-10,线下门店,虹彩系列,168593.1,1996,131,2676.08,0.07,0.15
2024-10,线下门店,着色变色龙,447311.7,3541,42,10910.04,0.05,0.13
2024-10,线下门店,玻璃包银系列,424932.91,697,236,2114.09,0.05,0.35
2024-11,线下门店,金色系列,462539.91,2730,65,1927.25,0.04,0.4
2024-11,线下门店,磁性珠光,291152.03,1736,110,2094.62,0.04,0.3
2024-11,线下门店,其他,120493.3,1427,232,430.33,0.07,0.16
2024-11,线下门店,金属彩光系列,295232.89,888,114,10934.55,0.07,0.37
2024-11,线下门店,超白系列,186184.89,3442,300,644.24,0.07,0.2
2024-11,线下门店,钻石系列,344356.99,4426,264,3218.29,0.07,0.27
2024-11,线下门店,耐候系列,242129.11,2984,192,818.0,0.07,0.34
2024-11,线下门店,着色系列,225050.25,3181,46,4501.01,0.02,0.26
2024-11,线下门店,玻璃变色龙,59447.37,4185,128,1651.32,0.05,0.2
2024-11,线下门店,水晶系列,119770.4,2474,138,573.06,0.06,0.12
2024-11,线下门店,化妆品系列,437021.93,2459,48,1544.25,0.05,0.36
2024-11,线下门店,云母粉,466586.43,4196,169,2180.31,0.05,0.26
2024-11,线下门店,银白系列,446986.1,4874,251,3104.07,0.06,0.11
2024-11,线下门店,虹彩系列,216488.79,1742,181,5412.22,0.02,0.26
2024-11,线下门店,着色变色龙,369597.61,610,130,1410.68,0.02,0.38
2024-11,线下门店,玻璃包银系列,453118.69,389,187,9850.41,0.08,0.28
2024-12,线下门店,金色系列,310092.0,760,292,1216.05,0.08,0.18
2024-12,线下门店,磁性珠光,30453.08,391,264,113.21,0.03,0.21
2024-12,线下门店,其他,244020.37,1965,20,6421.59,0.01,0.33
2024-12,线下门店,金属彩光系列,106125.4,3207,19,363.44,0.04,0.22
2024-12,线下门店,超白系列,194841.63,1125,230,854.57,0.05,0.13
2024-12,线下门店,钻石系列,67816.35,3112,190,622.17,0.03,0.38
2024-12,线下门店,耐候系列,126703.4,853,15,1005.58,0.04,0.33
2024-12,线下门店,着色系列,405790.17,4492,300,12296.67,0.08,0.1
2024-12,线下门店,玻璃变色龙,362715.16,565,49,9300.39,0.02,0.15
2024-12,线下门店,水晶系列,31422.52,2964,135,197.63,0.02,0.22
2024-12,线下门店,化妆品系列,332215.58,729,49,2407.36,0.08,0.16
2024-12,线下门店,云母粉,355575.04,3024,122,1500.32,0.06,0.38
2024-12,线下门店,银白系列,392302.12,2497,135,1406.1,0.07,0.2
2024-12,线下门店,虹彩系列,275295.4,955,37,1472.17,0.07,0.31
2024-12,线下门店,着色变色龙,314717.17,2391,50,2760.68,0.07,0.35
2024-12,线下门店,玻璃包银系列,265287.52,2598,293,2267.41,0.02,0.32
2025-01,线下门店,金色系列,396090.63,393,130,1685.49,0.06,0.24
2025-01,线下门店,磁性珠光,65976.93,4187,27,445.79,0.03,0.22
2025-01,线下门店,其他,415317.64,792,40,2732.35,0.07,0.22
2025-01,线下门店,金属彩光系列,19235.75,3234,206,81.16,0.01,0.16
2025-01,线下门店,超白系列,100369.13,3631,282,2788.03,0.06,0.11
2025-01,线下门店,钻石系列,383868.19,312,182,2665.75,0.07,0.28
2025-01,线下门店,耐候系列,381053.59,2893,232,1671.29,0.06,0.38
2025-01,线下门店,着色系列,378676.35,994,293,1820.56,0.08,0.38
2025-01,线下门店,玻璃变色龙,150835.05,4480,247,664.47,0.05,0.27
2025-01,线下门店,水晶系列,264267.3,1431,205,1061.31,0.06,0.38
2025-01,线下门店,化妆品系列,74617.63,224,153,497.45,0.02,0.17
2025-01,线下门店,云母粉,275974.23,2865,212,9516.35,0.05,0.21
2025-01,线下门店,银白系列,333022.67,201,73,1994.15,0.05,0.2
2025-01,线下门店,虹彩系列,139613.6,1564,237,567.53,0.01,0.1
2025-01,线下门店,着色变色龙,28131.84,3038,255,95.69,0.03,0.12
2025-01,线下门店,玻璃包银系列,470028.79,2364,292,2764.88,0.08,0.23
2025-02,线下门店,金色系列,136423.41,2362,142,518.72,0.02,0.29
2025-02,线下门店,磁性珠光,81981.87,506,129,1205.62,0.06,0.16
2025-02,线下门店,其他,258292.4,3707,172,8332.01,0.05,0.17
2025-02,线下门店,金属彩光系列,476334.86,2222,141,26463.05,0.06,0.36
2025-02,线下门店,超白系列,183134.17,466,130,968.96,0.02,0.25
2025-02,线下门店,钻石系列,65459.46,734,131,574.21,0.03,0.21
2025-02,线下门店,耐候系列,413119.54,3507,46,1811.93,0.07,0.14
2025-02,线下门店,着色系列,170004.87,3051,181,779.84,0.07,0.21
2025-02,线下门店,玻璃变色龙,471814.98,2508,25,5128.42,0.04,0.19
2025-02,线下门店,水晶系列,83530.99,4943,23,1305.17,0.05,0.34
2025-02,线下门店,化妆品系列,260290.11,4263,186,2169.08,0.04,0.27
2025-02,线下门店,云母粉,331959.07,1329,205,6639.18,0.08,0.39
2025-02,线下门店,银白系列,496236.52,4731,267,1711.16,0.06,0.26
2025-02,线下门店,虹彩系列,69408.76,4423,36,276.53,0.06,0.26
2025-02,线下门店,着色变色龙,165300.28,1697,160,1233.58,0.03,0.34
2025-02,线下门店,玻璃包银系列,488962.63,1991,243,2859.43,0.06,0.13
2025-03,线下门店,金色系列,128112.77,3458,195,2562.26,0.03,0.25
2025-03,线下门店,磁性珠光,458171.4,4066,127,1917.04,0.07,0.17
2025-03,线下门店,其他,415632.34,1126,285,3078.76,0.06,0.22
2025-03,线下门店,金属彩光系列,296530.11,1231,143,1900.83,0.03,0.14
2025-03,线下门店,超白系列,210166.37,4237,85,799.11,0.05,0.33
2025-03,线下门店,钻石系列,450937.51,3819,17,4746.71,0.02,0.18
2025-03,线下门店,耐候系列,281743.6,3949,61,3807.35,0.07,0.35
2025-03,线下门店,着色系列,21726.42,1467,47,282.16,0.05,0.26
2025-03,线下门店,玻璃变色龙,200175.92,3559,191,2669.01,0.04,0.27
2025-03,线下门店,水晶系列,358871.92,1075,182,1971.82,0.05,0.28
2025-03,线下门店,化妆品系列,497125.71,470,47,2602.75,0.08,0.37
2025-03,线下门店,云母粉,319107.68,3669,158,1256.33,0.06,0.32
2025-03,线下门店,银白系列,364616.66,4929,270,7011.86,0.02,0.1
2025-03,线下门店,虹彩系列,300593.66,3815,204,1727.55,0.04,0.25
2025-03,线下门店,着色变色龙,298159.63,893,128,1840.49,0.04,0.11
2025-03,线下门店,玻璃包银系列,263662.04,4402,270,1156.41,0.03,0.22
2025-04,线下门店,金色系列,381077.11,1273,31,3257.07,0.04,0.18
2025-04,线下门店,磁性珠光,440996.03,2675,60,2358.27,0.03,0.14
2025-04,线下门店,其他,144185.77,3695,124,1501.94,0.03,0.38
2025-04,线下门店,金属彩光系列,494514.73,969,128,3253.39,0.02,0.16
2025-04,线下门店,超白系列,421007.1,1483,24,14033.57,0.08,0.26
2025-04,线下门店,钻石系列,401506.08,154,260,17456.79,0.04,0.18
2025-04,线下门店,耐候系列,474461.09,3593,237,1719.06,0.02,0.24
2025-04,线下门店,着色系列,459817.64,1082,237,1990.55,0.04,0.13
2025-04,线下门店,玻璃变色龙,77040.84,2381,69,403.36,0.07,0.32
2025-04,线下门店,水晶系列,118996.47,709,177,1322.18,0.05,0.18
2025-04,线下门店,化妆品系列,319005.73,4301,47,1865.53,0.07,0.11
2025-04,线下门店,云母粉,59215.01,4370,172,553.41,0.07,0.3
2025-04,线下门店,银白系列,440011.03,391,14,3259.34,0.02,0.21
2025-04,线下门店,虹彩系列,472149.56,1702,145,1888.6,0.02,0.34
2025-04,线下门店,着色变色龙,369444.74,2415,77,3328.33,0.05,0.13
2025-04,线下门店,玻璃包银系列,262990.05,1854,11,1133.58,0.01,0.27
2025-05,线下门店,金色系列,112188.02,1559,29,500.84,0.06,0.28
2025-05,线下门店,磁性珠光,319202.93,2022,188,1242.03,0.05,0.39
2025-05,线下门店,其他,440165.93,1999,159,1706.07,0.04,0.29
2025-05,线下门店,金属彩光系列,302942.63,4551,256,1881.63,0.02,0.13
2025-05,线下门店,超白系列,441638.64,2453,224,1855.62,0.03,0.3
2025-05,线下门店,钻石系列,66751.4,3907,173,981.64,0.03,0.22
2025-05,线下门店,耐候系列,72748.35,4062,260,330.67,0.06,0.11
2025-05,线下门店,着色系列,141282.69,1862,219,3445.92,0.05,0.2
2025-05,线下门店,玻璃变色龙,340744.63,3468,210,1443.83,0.04,0.18
2025-05,线下门店,水晶系列,36770.35,4077,122,200.93,0.05,0.11
2025-05,线下门店,化妆品系列,229341.81,1912,95,807.54,0.02,0.29
2025-05,线下门店,云母粉,474460.12,2800,76,1658.95,0.01,0.32
2025-05,线下门店,银白系列,403182.31,839,180,2122.01,0.06,0.27
2025-05,线下门店,虹彩系列,330916.48,4348,117,1697.01,0.05,0.4
2025-05,线下门店,着色变色龙,420693.04,3340,127,2662.61,0.07,0.37
2025-05,线下门店,玻璃包银系列,172436.04,1866,293,1258.66,0.08,0.11
2025-06,线下门店,金色系列,19813.9,4413,62,74.49,0.04,0.25
2025-06,线下门店,磁性珠光,86903.3,2569,22,684.28,0.05,0.31
2025-06,线下门店,其他,26551.23,1112,203,123.49,0.02,0.32
2025-06,线下门店,金属彩光系列,142299.34,795,49,3027.65,0.05,0.31
2025-06,线下门店,超白系列,368993.03,265,17,1285.69,0.05,0.15
2025-06,线下门店,钻石系列,370577.97,3304,109,2192.77,0.06,0.23
2025-06,线下门店,耐候系列,374306.85,2575,150,1534.04,0.02,0.18
