po_id,sku,category,supplier_id,inspect_date,qty_inspected,qty_defective,defect_rate,defect_type,result,inspector
PO02968,FWD6001,超白系列,SUP054,2025-06-19,2145,14,0.00653,颜色偏差,通过,QC-02
PO02451,FWDV080,玻璃包银系列,SUP051,2025-10-10,1668,10,0.006,无,通过,QC-02
PO01973,FWD421,着色系列,SUP037,2026-02-06,1343,12,0.00894,外观缺陷,通过,QC-03
PO00027,FWD301,金色系列,SUP039,2025-09-09,1155,8,0.00693,无,通过,QC-02
PO02366,FWDD28L,钻石系列,SUP046,2025-02-08,1617,5,0.00309,无,通过,QC-03
PO00688,FWDV550,玻璃包银系列,SUP033,2025-05-28,213,1,0.00469,颜色偏差,通过,QC-01
PO01654,FWD524,金属彩光系列,SUP010,2024-11-06,1158,1,0.00086,无,通过,QC-01
PO02139,FWD6007,超白系列,SUP040,2026-01-17,3226,6,0.00186,颜色偏差,通过,QC-01
PO02323,FWD235WR,耐候系列,SUP034,2025-07-03,2019,13,0.00644,尺寸偏差,不通过,QC-02
PO02167,BHC9234BOH,化妆品系列,SUP060,2026-02-22,2136,15,0.00702,外观缺陷,通过,QC-03
PO00511,FWD6002T,超白系列,SUP060,2025-01-06,264,1,0.00379,尺寸偏差,通过,QC-01
PO00586,FWDV080B,玻璃包银系列,SUP054,2025-01-27,4879,36,0.00738,颜色偏差,通过,QC-02
PO02712,BHC9233POH,化妆品系列,SUP051,2025-07-02,3861,33,0.00855,无,通过,QC-02
PO00370,FWD6910,水晶系列,SUP032,2025-11-26,352,2,0.00568,无,通过,QC-01
PO00411,FWDD10Y,钻石系列,SUP036,2024-11-19,2630,7,0.00266,无,通过,QC-02
PO02924,FWDV150B,玻璃包银系列,SUP044,2025-11-03,4909,6,0.00122,无,通过,QC-02
PO02211,FWD6883,水晶系列,SUP008,2024-11-10,3029,1,0.00033,尺寸偏差,通过,QC-01
PO01299,FWD355,金色系列,SUP060,2025-01-30,4810,35,0.00728,无,通过,QC-01
PO02295,BHC9328GR,玻璃变色龙,SUP054,2025-10-27,1204,2,0.00166,无,通过,QC-02
PO02189,FWD535,金属彩光系列,SUP013,2025-09-11,732,1,0.00137,尺寸偏差,通过,QC-03
PO01366,FWD201WR,耐候系列,SUP031,2025-11-14,4955,29,0.00585,外观缺陷,通过,QC-03
PO00897,FWD506,金属彩光系列,SUP054,2025-02-26,3812,2,0.00052,无,通过,QC-01
PO00844,FWD307,金色系列,SUP041,2025-07-16,2083,8,0.00384,无,通过,QC-01
PO02466,FWDV060B,玻璃包银系列,SUP050,2024-11-11,4039,21,0.0052,无,通过,QC-01
PO02599,FWD325,金色系列,SUP021,2025-09-26,244,0,0.0,无,通过,QC-02
PO02833,FWD323,金色系列,SUP015,2025-12-04,1181,10,0.00847,无,不通过,QC-03
PO00669,FWD7331,其他,SUP011,2025-08-15,1112,6,0.0054,无,通过,QC-03
PO02433,FWD3504,金属彩光系列,SUP008,2025-10-28,271,0,0.0,无,通过,QC-01
PO01515,BHC9235BVH,化妆品系列,SUP054,2024-11-01,2046,8,0.00391,颜色偏差,通过,QC-02
PO01795,FWD301,金色系列,SUP052,2025-07-20,3880,13,0.00335,外观缺陷,通过,QC-02
PO02816,FWD430,着色系列,SUP049,2025-10-28,3292,5,0.00152,颜色偏差,通过,QC-03
PO02217,FWD5870B,钻石系列,SUP043,2025-07-05,890,6,0.00674,颜色偏差,通过,QC-03
PO01584,FWD508WR,耐候系列,SUP001,2025-04-10,2332,20,0.00858,颜色偏差,通过,QC-03
PO02901,FWD522WR,耐候系列,SUP034,2025-12-12,1128,9,0.00798,无,通过,QC-02
PO01421,FWD5519,金属彩光系列,SUP028,2024-12-27,1704,3,0.00176,外观缺陷,通过,QC-03
PO00074,BHC9234BOH,化妆品系列,SUP041,2025-11-07,1923,0,0.0,无,通过,QC-03
PO02460,BHC9323PG,玻璃变色龙,SUP028,2025-01-29,1926,6,0.00312,无,通过,QC-02
PO01414,FWD901KSW,耐候系列,SUP014,2026-01-30,2920,24,0.00822,无,通过,QC-01
PO02705,FWD305,金色系列,SUP003,2025-02-20,835,4,0.00479,外观缺陷,通过,QC-03
PO02647,FWD508,金属彩光系列,SUP035,2025-05-18,2619,15,0.00573,无,通过,QC-01
PO00537,FWD405B,着色系列,SUP050,2025-02-05,2243,21,0.00936,颜色偏差,通过,QC-01
PO01308,FWD6500A,水晶系列,SUP041,2025-11-02,3411,18,0.00528,颜色偏差,通过,QC-03
PO01612,FWD307,金色系列,SUP022,2025-02-17,370,3,0.00811,颜色偏差,通过,QC-03
PO00872,FWDV015,玻璃包银系列,SUP004,2025-06-17,4274,1,0.00023,无,通过,QC-03
PO00247,FWD6860,水晶系列,SUP013,2025-01-11,326,0,0.0,无,通过,QC-03
PO02971,FWD111M,银白系列,SUP040,2025-07-11,3360,9,0.00268,颜色偏差,通过,QC-03
PO00023,FWDD21X,钻石系列,SUP048,2025-02-26,3101,19,0.00613,无,通过,QC-01
PO00203,FWDD27M,钻石系列,SUP059,2026-01-23,1723,17,0.00987,外观缺陷,通过,QC-03
PO00146,FWD173,银白系列,SUP031,2025-12-09,605,3,0.00496,外观缺陷,不通过,QC-02
PO00151,FWDD27X,钻石系列,SUP027,2025-08-23,712,4,0.00562,外观缺陷,通过,QC-01
PO00976,FWD6500,水晶系列,SUP017,2025-07-16,4474,34,0.0076,尺寸偏差,通过,QC-03
PO02829,FWD5518WR,耐候系列,SUP059,2025-07-29,3336,10,0.003,外观缺陷,通过,QC-03
PO02241,FWD4012,着色系列,SUP007,2025-11-21,2991,13,0.00435,尺寸偏差,通过,QC-01
PO00450,FWD424,着色系列,SUP023,2025-09-25,1433,10,0.00698,外观缺陷,通过,QC-03
PO00104,FWD7322,其他,SUP042,2024-12-17,4574,44,0.00962,无,通过,QC-01
PO01854,FWD6885,水晶系列,SUP057,2025-02-06,3231,24,0.00743,无,通过,QC-03
PO01118,FWDD29L,钻石系列,SUP035,2024-12-30,1477,10,0.00677,无,通过,QC-01
PO00451,FWD001,其他,SUP025,2024-12-17,3597,3,0.00083,颜色偏差,通过,QC-02
PO00713,FWD3500,金属彩光系列,SUP041,2025-08-09,3516,25,0.00711,无,通过,QC-02
PO01776,FWD5870B,钻石系列,SUP013,2025-05-28,2503,10,0.004,颜色偏差,通过,QC-03
PO02672,FWD205A,虹彩系列,SUP060,2025-09-12,1451,12,0.00827,颜色偏差,通过,QC-02
PO00197,FWD5891,钻石系列,SUP041,2025-11-11,4031,29,0.00719,尺寸偏差,通过,QC-01
PO00038,FWD201WR,耐候系列,SUP033,2026-01-25,3835,37,0.00965,外观缺陷,通过,QC-02
PO02534,FWD173,银白系列,SUP038,2025-05-21,2551,13,0.0051,无,通过,QC-03
PO00367,FWD5874A,钻石系列,SUP042,2025-11-03,3321,30,0.00903,外观缺陷,通过,QC-01
PO00218,FWDV155,玻璃包银系列,SUP051,2026-01-07,4145,35,0.00844,颜色偏差,通过,QC-01
PO00916,FWD7305WR,耐候系列,SUP006,2025-01-20,3230,2,0.00062,无,通过,QC-02
PO00302,FWDD28X,钻石系列,SUP033,2025-11-29,4871,40,0.00821,尺寸偏差,通过,QC-03
PO00569,FWD6003TWR,耐候系列,SUP009,2025-07-05,4049,5,0.00123,颜色偏差,通过,QC-02
PO02157,FWD417,着色系列,SUP004,2025-04-08,712,0,0.0,无,通过,QC-03
PO00191,FWDD10X,钻石系列,SUP048,2025-12-18,2530,3,0.00119,尺寸偏差,通过,QC-03
PO01828,FWD6003,超白系列,SUP034,2026-02-06,1903,12,0.00631,无,通过,QC-03
PO02735,FWDV040,玻璃包银系列,SUP023,2025-12-06,3077,14,0.00455,无,通过,QC-02
PO02568,FWD5895,钻石系列,SUP051,2025-08-31,3897,33,0.00847,外观缺陷,通过,QC-02
PO00583,BHC9234BOH,化妆品系列,SUP019,2025-01-24,2767,25,0.00904,尺寸偏差,通过,QC-02
PO02435,FWD6504A,水晶系列,SUP053,2026-01-01,2177,15,0.00689,外观缺陷,通过,QC-01
PO02898,BHC89234BG,着色变色龙,SUP014,2025-10-14,1675,6,0.00358,颜色偏差,通过,QC-02
PO02500,FWD103TWR,耐候系列,SUP038,2025-01-04,3470,10,0.00288,无,通过,QC-03
PO02808,FWD5895,钻石系列,SUP021,2025-09-08,2844,18,0.00633,无,通过,QC-01
PO01244,FWD223WR,耐候系列,SUP016,2025-04-14,275,0,0.0,外观缺陷,通过,QC-01
PO02673,FWD302WR,耐候系列,SUP059,2025-07-26,473,1,0.00211,颜色偏差,通过,QC-02
PO01153,FWD5892,钻石系列,SUP007,2026-02-04,271,2,0.00738,外观缺陷,通过,QC-01
PO01850,FWD5872C,钻石系列,SUP003,2025-02-11,4192,19,0.00453,颜色偏差,通过,QC-03
PO01044,FWDD28L,钻石系列,SUP048,2025-07-06,1692,8,0.00473,无,不通过,QC-03
PO01566,FWD6602,磁性珠光,SUP046,2025-05-09,456,1,0.00219,无,通过,QC-02
PO00662,FWDD23X,钻石系列,SUP034,2025-05-11,4009,23,0.00574,外观缺陷,通过,QC-01
PO00727,BHC9225BMTH,化妆品系列,SUP012,2025-06-29,4012,25,0.00623,无,通过,QC-02
PO01662,FWD7322,其他,SUP001,2024-11-24,4780,23,0.00481,无,通过,QC-01
PO02544,FWD5800,钻石系列,SUP024,2025-03-07,1789,13,0.00727,无,通过,QC-03
PO01585,FWD5893,钻石系列,SUP012,2025-12-25,3635,24,0.0066,无,通过,QC-02
PO01166,FWDD29X,钻石系列,SUP032,2025-09-02,2550,21,0.00824,无,通过,QC-03
PO00145,BHC9338GR,玻璃变色龙,SUP015,2025-10-19,3929,27,0.00687,无,通过,QC-01
PO02042,FWD219WR,耐候系列,SUP037,2025-12-05,465,0,0.0,尺寸偏差,通过,QC-03
PO01580,FWD302,金色系列,SUP050,2025-11-27,4135,24,0.0058,尺寸偏差,通过,QC-01
PO00993,FWD520,金属彩光系列,SUP028,2025-10-20,4712,14,0.00297,无,通过,QC-02
PO02233,FWD231WR,耐候系列,SUP028,2025-10-23,274,2,0.0073,无,通过,QC-01
PO01596,FWDD10L,钻石系列,SUP007,2025-01-18,3697,28,0.00757,颜色偏差,通过,QC-02
PO00914,FWD504,金属彩光系列,SUP057,2025-09-11,3464,2,0.00058,尺寸偏差,通过,QC-03
PO02579,FWDD10X,钻石系列,SUP043,2025-09-08,2657,22,0.00828,无,通过,QC-02
PO00359,FWDD10Y,钻石系列,SUP042,2024-11-27,3517,29,0.00825,外观缺陷,通过,QC-02
PO02093,FWD4012,着色系列,SUP031,2025-05-09,4299,4,0.00093,外观缺陷,通过,QC-02
PO01640,FWD3302,金色系列,SUP037,2025-12-17,759,3,0.00395,无,通过,QC-02
PO00932,FWDD29X,钻石系列,SUP060,2025-02-23,4537,3,0.00066,无,通过,QC-03
PO01046,FWD323M,金色系列,SUP020,2025-06-30,2643,8,0.00303,无,通过,QC-03
PO01373,FWD355,金色系列,SUP054,2025-12-06,4091,26,0.00636,颜色偏差,通过,QC-02
PO01492,FWD123TS,银白系列,SUP055,2025-11-11,3623,26,0.00718,颜色偏差,通过,QC-01
PO01287,FWD5800,钻石系列,SUP005,2025-10-13,2405,7,0.00291,无,通过,QC-03
PO01242,FWD305,金色系列,SUP049,2025-09-27,2503,14,0.00559,无,通过,QC-02
PO01932,FWD8503WR,耐候系列,SUP008,2025-02-18,1198,9,0.00751,无,通过,QC-02
PO00050,FWD320,金色系列,SUP019,2025-08-30,4291,15,0.0035,颜色偏差,通过,QC-01
PO01704,FWD235WR,耐候系列,SUP042,2025-10-23,2727,4,0.00147,无,通过,QC-02
PO00144,FWD235WR,耐候系列,SUP036,2024-12-26,730,6,0.00822,无,通过,QC-03
PO02589,FWD355,金色系列,SUP016,2025-07-12,139,0,0.0,无,通过,QC-02
PO02025,FWD304,金色系列,SUP051,2025-12-13,562,1,0.00178,颜色偏差,通过,QC-01
PO02049,BHC9235BVH,化妆品系列,SUP055,2025-02-12,1905,17,0.00892,颜色偏差,通过,QC-03
PO00221,FWD249,虹彩系列,SUP053,2025-04-22,1696,2,0.00118,无,通过,QC-02
PO01500,FWDV020,玻璃包银系列,SUP042,2025-01-17,2618,8,0.00306,颜色偏差,通过,QC-02
PO01274,FWD103TWR,耐候系列,SUP053,2024-12-08,3348,31,0.00926,无,通过,QC-01
PO00019,FWD510,金属彩光系列,SUP039,2025-08-05,626,6,0.00958,尺寸偏差,通过,QC-03
PO01811,FWDV080B,玻璃包银系列,SUP002,2025-02-24,1638,15,0.00916,外观缺陷,通过,QC-03
PO00462,FWD215,虹彩系列,SUP044,2025-05-08,4269,7,0.00164,外观缺陷,通过,QC-03
PO00691,FWD425,着色系列,SUP008,2025-04-17,3128,14,0.00448,无,通过,QC-03
PO02423,FWDD25X,钻石系列,SUP042,2024-11-09,889,1,0.00112,外观缺陷,通过,QC-01
PO02142,FWDV550,玻璃包银系列,SUP050,2024-11-08,191,1,0.00524,无,不通过,QC-03
PO02917,FWDV040,玻璃包银系列,SUP058,2025-01-08,2340,11,0.0047,无,通过,QC-01
PO02953,FWD5872C,钻石系列,SUP035,2025-08-13,276,2,0.00725,无,不通过,QC-02
PO01995,FWD5870A,钻石系列,SUP041,2026-01-25,2584,25,0.00967,尺寸偏差,通过,QC-02
PO02321,FWDV040,玻璃包银系列,SUP016,2024-12-27,2510,5,0.00199,颜色偏差,通过,QC-02
PO00036,FWD532,金属彩光系列,SUP018,2025-10-01,3857,22,0.0057,无,通过,QC-01
PO00448,FWD235WR,耐候系列,SUP010,2025-06-20,1565,11,0.00703,无,通过,QC-02
PO00331,FWD6215,水晶系列,SUP021,2025-01-12,539,2,0.00371,尺寸偏差,通过,QC-01
PO02011,FWDV095,玻璃包银系列,SUP033,2025-12-22,2852,25,0.00877,无,不通过,QC-02
PO01747,FWD6603,磁性珠光,SUP033,2025-11-09,4803,48,0.00999,无,通过,QC-02
PO00589,FWD231,虹彩系列,SUP006,2026-01-25,3336,20,0.006,无,通过,QC-01
PO00335,FWD6504T,水晶系列,SUP026,2025-02-24,2668,13,0.00487,无,通过,QC-02
PO01375,FWD534WR,耐候系列,SUP043,2025-09-21,1921,18,0.00937,外观缺陷,通过,QC-02
PO02056,FWDD27X,钻石系列,SUP028,2025-12-29,2123,2,0.00094,颜色偏差,通过,QC-01
PO02105,FWD231WR,耐候系列,SUP022,2025-06-18,2449,23,0.00939,尺寸偏差,通过,QC-01
PO01922,FWD419B,着色系列,SUP037,2025-08-03,2584,15,0.0058,尺寸偏差,通过,QC-03
PO00956,BHC9338GR,玻璃变色龙,SUP058,2025-02-21,669,4,0.00598,无,通过,QC-03
PO00341,FWD534WR,耐候系列,SUP003,2025-04-01,4061,15,0.00369,尺寸偏差,通过,QC-03
PO01131,FWD211WR,耐候系列,SUP017,2025-10-21,1891,11,0.00582,无,通过,QC-02
PO01313,FWD123,银白系列,SUP059,2025-05-18,3367,30,0.00891,无,通过,QC-02
PO02755,FWD5871A,钻石系列,SUP055,2025-07-17,4505,17,0.00377,无,通过,QC-03
PO00166,FWD259,虹彩系列,SUP034,2025-09-16,1256,12,0.00955,颜色偏差,通过,QC-02
PO02703,FWD6500,水晶系列,SUP006,2025-04-23,1771,2,0.00113,外观缺陷,通过,QC-01
PO00949,HM010AS,云母粉,SUP002,2024-12-12,2289,9,0.00393,无,通过,QC-02
PO01019,FWD6219,水晶系列,SUP001,2026-01-06,4324,30,0.00694,外观缺陷,通过,QC-01
PO02851,FWDD29M,钻石系列,SUP024,2025-10-01,776,0,0.0,外观缺陷,通过,QC-03
PO01518,FWD421,着色系列,SUP013,2025-11-08,3015,26,0.00862,外观缺陷,通过,QC-01
PO00552,FWDD28X,钻石系列,SUP060,2025-01-16,569,5,0.00879,无,通过,QC-01
PO00864,BHC89233BR,着色变色龙,SUP046,2025-10-09,4179,17,0.00407,无,通过,QC-03
PO01493,FWD6002,超白系列,SUP045,2025-09-24,2544,2,0.00079,无,通过,QC-02
PO00694,BHC89233BR,着色变色龙,SUP042,2025-03-13,590,3,0.00508,无,通过,QC-01
PO02788,FWD219WR,耐候系列,SUP033,2025-08-16,2969,29,0.00977,无,通过,QC-01
PO01327,FWD8205WR,耐候系列,SUP047,2025-08-05,4466,29,0.00649,无,通过,QC-02
PO00806,FWD6005T,超白系列,SUP054,2024-12-21,710,4,0.00563,颜色偏差,通过,QC-02
PO00744,FWD5516,金属彩光系列,SUP055,2024-11-19,2777,5,0.0018,无,通过,QC-01
PO00607,FWD6860,水晶系列,SUP049,2025-04-30,1926,10,0.00519,无,通过,QC-01
PO00142,FWD259,虹彩系列,SUP035,2025-01-26,2455,16,0.00652,外观缺陷,通过,QC-01
PO02270,FWD5873A,钻石系列,SUP017,2025-01-27,3293,2,0.00061,外观缺陷,通过,QC-01
PO02581,FWD307,金色系列,SUP046,2024-12-10,783,5,0.00639,尺寸偏差,通过,QC-03
PO02761,FWD5873A,钻石系列,SUP027,2025-04-16,2015,11,0.00546,尺寸偏差,通过,QC-02
PO00375,FWDV040B,玻璃包银系列,SUP047,2025-07-27,3012,7,0.00232,无,通过,QC-02
PO00759,FWD6001,超白系列,SUP060,2025-04-26,709,1,0.00141,无,通过,QC-03
PO02798,FWD410,着色系列,SUP047,2025-07-17,1491,6,0.00402,无,通过,QC-02
PO02038,FWDD21X,钻石系列,SUP031,2024-12-09,3792,18,0.00475,无,通过,QC-02
PO01278,FWD435,着色系列,SUP055,2026-01-26,253,0,0.0,颜色偏差,通过,QC-01
PO02484,FWD6860,水晶系列,SUP047,2025-06-01,2474,16,0.00647,颜色偏差,通过,QC-03
PO02438,FWD6005T,超白系列,SUP028,2025-10-11,4784,23,0.00481,无,通过,QC-01
PO00988,FWD6504A,水晶系列,SUP036,2025-02-14,1326,7,0.00528,无,通过,QC-03
PO02905,FWDD10X,钻石系列,SUP051,2025-08-03,1250,11,0.0088,颜色偏差,通过,QC-02
PO00322,FWD522WR,耐候系列,SUP023,2026-01-14,3192,3,0.00094,无,通过,QC-03
PO02461,FWDD27M,钻石系列,SUP018,2025-10-24,463,3,0.00648,无,通过,QC-01
PO00214,FWD122,银白系列,SUP051,2025-04-22,2113,11,0.00521,无,通过,QC-02
PO00029,FWD6850,水晶系列,SUP033,2025-06-09,2713,25,0.00921,无,通过,QC-01
PO00397,FWD6002AWR,耐候系列,SUP005,2025-02-02,206,0,0.0,尺寸偏差,通过,QC-02
PO00381,FWD6603,磁性珠光,SUP016,2025-08-13,729,6,0.00823,颜色偏差,通过,QC-01
PO00536,FWDD29L,钻石系列,SUP052,2025-09-13,1318,3,0.00228,外观缺陷,通过,QC-03
PO02100,FWD351WR,耐候系列,SUP049,2025-05-26,4290,6,0.0014,无,通过,QC-02
PO01102,FWDV095B,玻璃包银系列,SUP025,2025-11-30,3893,3,0.00077,颜色偏差,通过,QC-01
PO00222,BHC89232BR,着色变色龙,SUP032,2025-03-07,1553,7,0.00451,无,通过,QC-02
PO00404,BHC9227GOH,化妆品系列,SUP048,2026-01-12,3773,14,0.00371,颜色偏差,通过,QC-03
PO02030,FWD5871C,钻石系列,SUP060,2025-01-13,4956,46,0.00928,无,通过,QC-01
PO00575,FWD001,其他,SUP007,2025-02-14,2920,9,0.00308,尺寸偏差,通过,QC-02
PO00911,FWD211,虹彩系列,SUP019,2025-06-19,2251,8,0.00355,外观缺陷,通过,QC-02
PO01067,FWD6002,超白系列,SUP049,2025-03-19,250,2,0.008,外观缺陷,通过,QC-01
PO02794,FWD6820,水晶系列,SUP021,2025-04-17,209,1,0.00478,无,通过,QC-03
PO01611,FWD6683T,磁性珠光,SUP021,2025-07-10,2524,11,0.00436,外观缺陷,通过,QC-01
PO02043,FWD219WR,耐候系列,SUP027,2025-07-25,770,6,0.00779,外观缺陷,通过,QC-01
PO01994,FWD223WR,耐候系列,SUP009,2025-03-27,4316,26,0.00602,颜色偏差,通过,QC-02
PO02585,FWD400B,着色系列,SUP045,2025-04-22,1020,9,0.00882,外观缺陷,通过,QC-02
PO02574,FWD223WR,耐候系列,SUP002,2025-11-28,3239,29,0.00895,颜色偏差,通过,QC-02
PO02352,FWD413,着色系列,SUP002,2024-12-24,419,0,0.0,尺寸偏差,通过,QC-02
PO02658,FWD5516,金属彩光系列,SUP001,2025-10-25,3716,28,0.00753,外观缺陷,通过,QC-02
PO01497,FWD6235,水晶系列,SUP027,2025-07-01,2408,1,0.00042,无,通过,QC-02
PO00671,FWDD25M,钻石系列,SUP001,2025-07-15,2480,15,0.00605,无,通过,QC-01
PO01629,FWD6300,水晶系列,SUP041,2025-01-16,4804,8,0.00167,颜色偏差,通过,QC-03
PO02998,FWD6003,超白系列,SUP015,2025-05-31,2899,3,0.00103,无,通过,QC-03
PO02410,FWDV040B,玻璃包银系列,SUP006,2024-12-04,511,4,0.00783,颜色偏差,通过,QC-01
PO00177,FWD8503WR,耐候系列,SUP057,2025-05-21,1647,4,0.00243,外观缺陷,通过,QC-02
PO02180,FWD7352,其他,SUP049,2026-01-14,1037,4,0.00386,无,通过,QC-01
PO00642,FWD901KSW,耐候系列,SUP016,2025-05-10,4005,5,0.00125,尺寸偏差,通过,QC-01
PO01653,FWD235WR,耐候系列,SUP007,2025-02-08,741,7,0.00945,无,通过,QC-03
PO02096,FWDV015,玻璃包银系列,SUP047,2025-10-16,2861,13,0.00454,无,通过,QC-01
PO00350,FWD5870C,钻石系列,SUP024,2025-01-28,711,6,0.00844,外观缺陷,通过,QC-02
PO01302,FWDD29X,钻石系列,SUP057,2025-06-05,3234,31,0.00959,颜色偏差,不通过,QC-03
PO01078,FWD6307A,水晶系列,SUP019,2025-06-23,3640,3,0.00082,无,通过,QC-03
PO00623,FWD5890,钻石系列,SUP011,2024-12-28,3458,19,0.00549,无,通过,QC-03
PO00973,BHC9326BM ,玻璃变色龙,SUP039,2025-08-07,715,4,0.00559,外观缺陷,通过,QC-02
PO02223,FWDD29L,钻石系列,SUP057,2025-04-30,4795,10,0.00209,无,通过,QC-03
PO00737,FWD231,虹彩系列,SUP054,2025-06-20,3995,17,0.00426,外观缺陷,通过,QC-03
PO02386,FWDD29L,钻石系列,SUP053,2025-02-25,4529,36,0.00795,无,通过,QC-02
PO00327,FWD5518WR,耐候系列,SUP017,2025-04-05,287,0,0.0,无,通过,QC-01
PO02424,FWD6910,水晶系列,SUP054,2025-03-31,362,2,0.00552,无,通过,QC-02
PO01707,FWDD25X,钻石系列,SUP054,2025-07-05,1381,8,0.00579,无,通过,QC-02
PO02493,FWD5892,钻石系列,SUP057,2025-07-30,4675,9,0.00193,无,通过,QC-02
PO02083,FWD6002T,超白系列,SUP054,2025-05-21,1869,11,0.00589,尺寸偏差,通过,QC-02
PO02245,FWDD23X,钻石系列,SUP036,2025-05-16,1227,10,0.00815,尺寸偏差,通过,QC-03
PO00173,FWD353,金色系列,SUP016,2025-07-04,2881,25,0.00868,无,通过,QC-01
PO01147,FWDD21L,钻石系列,SUP042,2025-03-25,3626,25,0.00689,外观缺陷,通过,QC-03
PO02368,FWD6885,水晶系列,SUP017,2025-07-24,888,7,0.00788,尺寸偏差,通过,QC-03
PO00292,FWD205WR,耐候系列,SUP023,2025-03-13,654,1,0.00153,外观缺陷,通过,QC-01
PO02441,FWD224,虹彩系列,SUP012,2026-01-19,1366,2,0.00146,无,通过,QC-01
PO02247,FWD119,银白系列,SUP039,2025-09-28,4475,23,0.00514,尺寸偏差,通过,QC-02
PO02661,FWD306,金色系列,SUP036,2025-02-25,4869,43,0.00883,无,通过,QC-03
PO00275,FWD505,金属彩光系列,SUP033,2025-10-11,4905,16,0.00326,尺寸偏差,通过,QC-03
PO01982,FWD7305,其他,SUP032,2025-07-13,4107,3,0.00073,尺寸偏差,通过,QC-02
PO00015,FWD151,银白系列,SUP035,2025-07-24,2024,0,0.0,无,通过,QC-01
PO02662,FWD7305,其他,SUP047,2025-08-25,1826,14,0.00767,无,通过,QC-01
PO00071,FWD534WR,耐候系列,SUP057,2026-01-04,4963,41,0.00826,无,通过,QC-01
PO00478,FWD306WR,耐候系列,SUP033,2025-07-24,4333,22,0.00508,无,通过,QC-03
PO01533,FWDV080B,玻璃包银系列,SUP024,2025-06-07,392,2,0.0051,无,通过,QC-03
PO02479,FWD6884,水晶系列,SUP009,2025-05-16,4837,26,0.00538,尺寸偏差,通过,QC-01
PO00468,FWD6300,水晶系列,SUP036,2025-04-24,1364,0,0.0,外观缺陷,通过,QC-02
PO02354,FWD5800,钻石系列,SUP030,2025-11-28,2877,11,0.00382,无,通过,QC-02
PO01907,FWD325,金色系列,SUP009,2025-09-25,1624,14,0.00862,无,通过,QC-01
PO01835,HM010AS,云母粉,SUP002,2025-05-26,2075,0,0.0,无,通过,QC-03
PO02852,FWD123T,银白系列,SUP013,2025-04-26,426,3,0.00704,颜色偏差,通过,QC-01
PO01846,FWD306WR,耐候系列,SUP058,2025-07-01,3521,31,0.0088,无,通过,QC-03
PO01222,FWDD28M,钻石系列,SUP027,2025-06-14,642,6,0.00935,颜色偏差,通过,QC-01
PO01111,BHC9323PG,玻璃变色龙,SUP050,2024-12-28,1783,8,0.00449,无,通过,QC-02
PO00918,FWD6602,磁性珠光,SUP044,2025-10-01,3467,16,0.00461,无,通过,QC-03
PO02882,FWD6502A,水晶系列,SUP047,2025-10-12,3765,15,0.00398,尺寸偏差,通过,QC-01
PO02736,FWD6002AWR,耐候系列,SUP022,2025-06-28,2019,6,0.00297,无,通过,QC-01
PO01063,FWD6002,超白系列,SUP030,2025-05-06,3650,36,0.00986,无,通过,QC-02
PO01938,FWD429,着色系列,SUP029,2026-01-23,2194,5,0.00228,无,通过,QC-02
