shipment_id,month,ship_date,expected_delivery,actual_delivery,warehouse,carrier,destination,sku,category,qty,weight_kg,freight_cost_rmb,revenue_rmb,on_time
SHP00016,2025-03,2025-03-27,2025-04-06,2025-04-11,广州仓,京东物流,Tokyo,FWD6005,超白系列,1485,14.85,383.82,62370.0,False
SHP00017,2024-10,2024-10-07,2024-10-16,2024-10-20,广州仓,顺丰,上海,FWD221,虹彩系列,1421,14.21,960.77,53287.5,True
SHP00018,2025-11,2025-11-07,2025-11-11,2025-11-15,上海仓,FedEx,Frankfurt,FWD425B,着色系列,1948,19.48,1732.95,116880.0,True
SHP00019,2025-06,2025-06-21,2025-07-01,2025-07-02,深圳仓,FedEx,武汉,BHC5518,化妆品系列,550,5.5,1773.44,41250.0,True
SHP00020,2025-02,2025-02-05,2025-02-18,2025-02-23,上海仓,FedEx,南京,FWD6500A,水晶系列,1343,0.0,265.34,73865.0,True
SHP00021,2025-02,2025-02-16,2025-02-21,2025-02-20,上海仓,DHL,Seoul,FWD231WR,耐候系列,17,0.17,438.74,1530.0,True
SHP00022,2025-11,2025-11-08,2025-11-15,2025-11-16,成都仓,德邦,上海,FWD520WR,耐候系列,598,11.96,1506.5,53820.0,False
SHP00023,2025-06,2025-06-06,2025-06-15,2025-06-14,广州仓,顺丰,Tokyo,FWD302WR,耐候系列,1328,13.28,163.24,119520.0,True
SHP00024,2025-04,2025-04-04,2025-04-18,2025-04-18,深圳仓,京东物流,南京,FWD6504,水晶系列,512,5.12,453.15,43520.0,True
SHP00025,2025-03,2025-03-24,2025-03-25,2025-03-25,深圳仓,顺丰,Singapore,FWDD25X,钻石系列,863,0.0,1483.53,215750.0,True
SHP00026,2025-06,2025-06-21,2025-07-01,2025-07-05,上海仓,顺丰,上海,FWD500,金属彩光系列,1383,13.83,1010.21,47022.0,True
SHP00027,2025-04,2025-04-17,2025-04-21,2025-04-24,深圳仓,京东物流,西安,FWD259,虹彩系列,1786,35.72,1521.39,66975.0,False
SHP00028,2025-11,2025-11-15,2025-11-18,2025-11-20,深圳仓,德邦,Tokyo,FWD405B,着色系列,973,9.73,320.51,42812.0,True
SHP00029,2025-11,2025-11-24,2025-12-05,2025-12-05,上海仓,FedEx,Frankfurt,FWDD25M,钻石系列,1496,14.96,1437.18,418880.0,True
SHP00030,2025-02,2025-02-08,2025-02-12,2025-02-13,成都仓,中外运,Frankfurt,FWD408,着色系列,1042,20.84,1092.89,62520.0,True
SHP00031,2025-02,2025-02-04,2025-02-08,2025-02-09,深圳仓,DHL,Singapore,FWD121WR,耐候系列,1693,16.93,244.48,101580.0,True
SHP00032,2025-01,2025-01-03,2025-01-05,2025-01-04,广州仓,顺丰,杭州,FWD6504A,水晶系列,1208,12.08,518.04,66440.0,True
SHP00033,2025-06,2025-06-04,2025-06-07,2025-06-06,上海仓,中外运,成都,FWDD27L,钻石系列,1853,0.0,1834.74,518840.0,True
SHP00034,2024-11,2024-11-17,2024-11-28,2024-11-28,广州仓,FedEx,Los Angeles,BHC5518,化妆品系列,1944,19.44,1604.97,145800.0,False
SHP00035,2025-02,2025-02-12,2025-02-16,2025-02-16,成都仓,FedEx,Seoul,FWD413,着色系列,767,7.67,1786.84,46020.0,True
SHP00036,2025-05,2025-05-08,2025-05-15,2025-05-18,上海仓,DHL,Seoul,FWD299,虹彩系列,229,0.0,637.24,8587.5,False
SHP00037,2025-04,2025-04-21,2025-04-25,2025-04-28,广州仓,德邦,Tokyo,FWD5800,钻石系列,1373,13.73,1860.17,185355.0,True
SHP00038,2025-08,2025-08-16,2025-08-29,2025-08-29,广州仓,中外运,西安,FWD5870C,钻石系列,1352,13.52,1579.52,243360.0,True
SHP00039,2025-02,2025-02-21,2025-02-22,2025-02-25,成都仓,京东物流,Tokyo,FWDD23L,钻石系列,1132,11.32,790.15,316960.0,True
SHP00040,2025-03,2025-03-17,2025-03-30,2025-04-03,深圳仓,中外运,Los Angeles,FWD205A,虹彩系列,59,1.18,1342.19,2212.5,True
SHP00041,2025-07,2025-07-23,2025-07-30,2025-07-31,上海仓,顺丰,北京,BHC9337GP,玻璃变色龙,1948,0.0,1315.98,974000.0,True
SHP00042,2025-06,2025-06-05,2025-06-16,2025-06-17,上海仓,中外运,深圳,FWD001,其他,491,9.82,675.56,51555.0,True
SHP00043,2024-11,2024-11-19,2024-12-04,2024-12-09,上海仓,FedEx,杭州,FWDV015,玻璃包银系列,430,4.3,815.53,3444300.0,True
SHP00044,2025-03,2025-03-01,2025-03-02,2025-03-01,广州仓,京东物流,Singapore,FWD305,金色系列,1082,0.0,681.24,40575.0,False
SHP00045,2025-09,2025-09-01,2025-09-12,2025-09-16,成都仓,京东物流,重庆,FWDD10M,钻石系列,835,0.0,782.03,100200.0,True
SHP00046,2025-08,2025-08-23,2025-08-30,2025-08-29,广州仓,顺丰,Seoul,FWDD28L,钻石系列,1161,11.61,397.59,325080.0,True
SHP00047,2024-11,2024-11-01,2024-11-06,2024-11-05,成都仓,德邦,Seoul,FWD6219,水晶系列,816,16.32,1484.18,44880.0,True
SHP00048,2025-03,2025-03-05,2025-03-15,2025-03-16,广州仓,京东物流,成都,FWD201,虹彩系列,596,5.96,1766.61,22350.0,True
SHP00049,2025-06,2025-06-03,2025-06-14,2025-06-14,成都仓,FedEx,杭州,FWD435,着色系列,73,1.46,397.69,4380.0,True
SHP00050,2025-03,2025-03-06,2025-03-10,2025-03-11,广州仓,德邦,成都,FWD6602,磁性珠光,28,0.0,1466.02,4200.0,True
SHP00051,2024-11,2024-11-19,2024-11-26,2024-11-26,成都仓,中外运,Seoul,BHC89234BG,着色变色龙,1580,15.8,1864.62,790000.0,True
SHP00052,2025-05,2025-05-07,2025-05-17,2025-05-19,深圳仓,京东物流,Singapore,FWD6683T,磁性珠光,793,7.93,844.79,237900.0,True
SHP00053,2025-07,2025-07-23,2025-08-02,2025-08-06,上海仓,中外运,上海,FWD6005,超白系列,1160,11.6,1839.84,48720.0,True
SHP00054,2024-10,2024-10-17,2024-10-19,2024-10-20,广州仓,FedEx,Los Angeles,FWD111WR,耐候系列,1451,29.02,1577.29,87060.0,True
SHP00055,2025-02,2025-02-24,2025-03-01,2025-03-01,深圳仓,德邦,南京,FWD5519WR,耐候系列,1599,0.0,349.27,191880.0,True
SHP00056,2025-07,2025-07-12,2025-07-21,2025-07-21,上海仓,DHL,广州,FWDD28L,钻石系列,1467,14.67,1372.98,410760.0,True
SHP00057,2025-11,2025-11-15,2025-11-19,2025-11-18,上海仓,德邦,深圳,BHC9233POH,化妆品系列,1278,25.56,614.13,281160.0,False
SHP00058,2024-12,2024-12-05,2024-12-10,2024-12-11,深圳仓,顺丰,Los Angeles,BHC9337GP,玻璃变色龙,598,11.96,1713.39,299000.0,True
SHP00059,2024-10,2024-10-24,2024-10-25,2024-10-30,上海仓,中外运,广州,FWD215,虹彩系列,1388,27.76,1683.25,52050.0,True
SHP00060,2025-11,2025-11-13,2025-11-22,2025-11-25,成都仓,德邦,Seoul,FWD6002AWR,耐候系列,808,16.16,1639.99,64640.0,True
SHP00061,2025-06,2025-06-11,2025-06-14,2025-06-13,深圳仓,德邦,Frankfurt,BHC89232BR,着色变色龙,156,1.56,1117.99,78000.0,True
SHP00062,2025-06,2025-06-05,2025-06-19,2025-06-24,广州仓,DHL,成都,FWD525,金属彩光系列,820,8.2,994.47,27880.0,True
SHP00063,2025-09,2025-09-20,2025-09-30,2025-10-05,上海仓,顺丰,武汉,FWD530,金属彩光系列,1331,13.31,822.25,45254.0,True
SHP00064,2025-11,2025-11-13,2025-11-19,2025-11-23,广州仓,京东物流,Seoul,FWDV015,玻璃包银系列,337,0.0,1013.12,2699370.0,True
SHP00065,2025-01,2025-01-12,2025-01-21,2025-01-25,深圳仓,中外运,上海,FWD7352,其他,1749,0.0,776.14,104940.0,True
SHP00066,2025-09,2025-09-20,2025-10-04,2025-10-05,成都仓,FedEx,Tokyo,FWD522WR,耐候系列,1844,18.44,1530.2,165960.0,True
SHP00067,2024-12,2024-12-28,2025-01-08,2025-01-13,广州仓,DHL,深圳,FWD600,其他,1418,14.18,636.55,70900.0,True
SHP00068,2025-05,2025-05-02,2025-05-04,2025-05-06,广州仓,顺丰,西安,FWD5800D,钻石系列,1496,14.96,1859.29,179520.0,False
SHP00069,2025-04,2025-04-13,2025-04-22,2025-04-26,上海仓,FedEx,Tokyo,FWD308,金色系列,68,0.68,1082.59,2550.0,False
SHP00070,2024-12,2024-12-02,2024-12-15,2024-12-14,深圳仓,FedEx,Seoul,HM010AS,云母粉,265,2.65,601.95,6625.0,True
SHP00071,2024-12,2024-12-28,2025-01-06,2025-01-06,广州仓,京东物流,深圳,FWD6005,超白系列,1720,17.2,1521.05,72240.0,True
SHP00072,2025-09,2025-09-14,2025-09-15,2025-09-17,成都仓,京东物流,北京,FWD101WR,耐候系列,528,10.56,1287.8,31680.0,True
SHP00073,2025-07,2025-07-06,2025-07-21,2025-07-25,成都仓,京东物流,重庆,FWD502WR,耐候系列,316,3.16,515.28,28440.0,False
SHP00074,2024-11,2024-11-18,2024-11-28,2024-11-30,上海仓,京东物流,Tokyo,FWD304,金色系列,1568,31.36,1357.49,58800.0,True
SHP00075,2025-08,2025-08-27,2025-08-29,2025-09-01,成都仓,德邦,Los Angeles,FWDD29M,钻石系列,1380,13.8,1126.68,483000.0,True
SHP00076,2025-03,2025-03-05,2025-03-15,2025-03-16,上海仓,京东物流,杭州,FWD5870A,钻石系列,1386,0.0,1483.64,249480.0,False
SHP00077,2025-03,2025-03-19,2025-03-20,2025-03-21,广州仓,FedEx,Singapore,FWD6504,水晶系列,1065,10.65,1445.35,90525.0,True
SHP00078,2025-03,2025-03-18,2025-04-02,2025-04-06,深圳仓,FedEx,南京,FWD302,金色系列,75,0.75,900.81,2812.5,True
SHP00079,2025-03,2025-03-19,2025-04-01,2025-03-31,上海仓,DHL,武汉,HM010AS,云母粉,1306,13.06,245.8,32650.0,True
SHP00080,2025-01,2025-01-01,2025-01-07,2025-01-06,成都仓,京东物流,Frankfurt,FWD302WR,耐候系列,1950,39.0,1129.12,175500.0,True
SHP00081,2024-10,2024-10-19,2024-10-20,2024-10-22,上海仓,顺丰,Los Angeles,FWD506,金属彩光系列,1964,19.64,1508.63,54992.0,True
SHP00082,2024-10,2024-10-10,2024-10-20,2024-10-21,广州仓,德邦,Seoul,FWD415Y,着色系列,215,2.15,1050.92,9460.0,True
SHP00083,2024-10,2024-10-08,2024-10-22,2024-10-21,上海仓,德邦,西安,FWD201WR,耐候系列,615,6.15,1317.25,55350.0,True
SHP00084,2025-03,2025-03-04,2025-03-16,2025-03-16,成都仓,中外运,深圳,FWD5893,钻石系列,1936,19.36,425.78,484000.0,True
SHP00085,2025-07,2025-07-06,2025-07-10,2025-07-10,成都仓,京东物流,Singapore,FWD123TS,银白系列,1893,37.86,566.54,71934.0,True
SHP00086,2025-01,2025-01-01,2025-01-11,2025-01-14,成都仓,顺丰,Seoul,FWD6883,水晶系列,1812,0.0,1400.83,99660.0,True
SHP00087,2025-05,2025-05-08,2025-05-20,2025-05-19,上海仓,FedEx,Tokyo,FWDD29X,钻石系列,917,9.17,773.72,320950.0,True
SHP00088,2025-07,2025-07-01,2025-07-07,2025-07-12,成都仓,顺丰,西安,FWD120,银白系列,1371,27.42,1919.29,38388.0,True
SHP00089,2025-04,2025-04-25,2025-05-01,2025-05-04,上海仓,京东物流,Los Angeles,FWDV095,玻璃包银系列,1405,28.1,481.52,3006700.0,True
SHP00090,2025-01,2025-01-01,2025-01-05,2025-01-10,上海仓,京东物流,杭州,FWD151WR,耐候系列,1818,18.18,1429.44,109080.0,False
SHP00091,2025-07,2025-07-05,2025-07-18,2025-07-21,深圳仓,德邦,Los Angeles,FWD415Y,着色系列,1248,12.48,928.05,54912.0,True
SHP00092,2025-05,2025-05-03,2025-05-04,2025-05-03,深圳仓,DHL,Frankfurt,FWD429,着色系列,1891,0.0,1490.09,113460.0,True
SHP00093,2025-11,2025-11-03,2025-11-09,2025-11-10,上海仓,顺丰,南京,FWD6601,磁性珠光,677,6.77,1948.91,101550.0,True
SHP00094,2025-11,2025-11-17,2025-11-23,2025-11-26,上海仓,京东物流,西安,FWDD28L,钻石系列,935,0.0,1291.16,261800.0,True
SHP00095,2024-11,2024-11-25,2024-11-29,2024-11-30,上海仓,京东物流,北京,BHC9234BOH,化妆品系列,1934,38.68,918.58,425480.0,True
SHP00096,2025-06,2025-06-13,2025-06-18,2025-06-17,成都仓,京东物流,Tokyo,FWD303,金色系列,1941,19.41,1575.2,72787.5,True
SHP00097,2025-07,2025-07-25,2025-08-03,2025-08-07,深圳仓,京东物流,北京,FWD6002T,超白系列,889,0.0,568.03,33337.5,True
SHP00098,2025-10,2025-10-17,2025-10-21,2025-10-24,成都仓,京东物流,武汉,FWD211,虹彩系列,1933,19.33,908.32,72487.5,True
SHP00099,2024-10,2024-10-15,2024-10-22,2024-10-24,深圳仓,中外运,重庆,FWD103TWR,耐候系列,920,9.2,1308.43,55200.0,True
SHP00100,2025-02,2025-02-12,2025-02-22,2025-02-21,上海仓,FedEx,广州,FWD224,虹彩系列,1614,32.28,1144.26,60525.0,True
SHP00101,2024-11,2024-11-11,2024-11-12,2024-11-13,深圳仓,京东物流,深圳,FWD3112,金色系列,1716,17.16,1704.0,68640.0,True
SHP00102,2024-10,2024-10-03,2024-10-10,2024-10-14,上海仓,中外运,南京,FWD400B,着色系列,244,0.0,881.2,10736.0,True
SHP00103,2024-11,2024-11-18,2024-11-20,2024-11-22,成都仓,中外运,上海,FWD103TWR,耐候系列,545,5.45,1767.19,32700.0,True
SHP00104,2025-02,2025-02-23,2025-02-26,2025-02-26,深圳仓,德邦,Los Angeles,FWD305,金色系列,345,0.0,1481.34,12937.5,True
SHP00105,2024-10,2024-10-25,2024-11-03,2024-11-08,广州仓,京东物流,杭州,FWD491,着色系列,447,8.94,1493.2,26820.0,True
SHP00106,2025-01,2025-01-27,2025-02-01,2025-02-04,深圳仓,顺丰,深圳,FWD219WR,耐候系列,903,9.03,1637.34,81270.0,True
SHP00107,2025-07,2025-07-16,2025-07-30,2025-08-01,上海仓,顺丰,深圳,BHC9275BOH,化妆品系列,1711,17.11,1404.32,376420.0,True
SHP00108,2024-12,2024-12-17,2024-12-26,2024-12-29,广州仓,FedEx,西安,FWD6225,水晶系列,1930,19.3,78.4,106150.0,True
SHP00109,2025-05,2025-05-17,2025-05-19,2025-05-19,成都仓,顺丰,Seoul,FWD6003,超白系列,1216,12.16,1945.49,59584.0,False
SHP00110,2025-10,2025-10-25,2025-11-09,2025-11-09,深圳仓,顺丰,南京,FWD425B,着色系列,855,0.0,1024.13,51300.0,True
SHP00111,2025-03,2025-03-15,2025-03-17,2025-03-21,上海仓,DHL,北京,FWD225,虹彩系列,1820,36.4,1725.63,68250.0,True
SHP00112,2025-06,2025-06-05,2025-06-16,2025-06-21,广州仓,DHL,深圳,FWD308,金色系列,38,0.0,189.02,1425.0,True
SHP00113,2024-10,2024-10-05,2024-10-20,2024-10-23,成都仓,中外运,深圳,FWD6910,水晶系列,1480,29.6,1405.58,81400.0,True
SHP00114,2025-02,2025-02-04,2025-02-10,2025-02-09,深圳仓,德邦,广州,FWD424,着色系列,1011,10.11,670.84,60660.0,True
SHP00115,2025-07,2025-07-27,2025-08-08,2025-08-13,成都仓,京东物流,西安,FWD100,银白系列,1018,20.36,1876.91,25450.0,True
SHP00116,2024-10,2024-10-12,2024-10-26,2024-10-31,成都仓,京东物流,深圳,FWD235,虹彩系列,189,1.89,928.13,7087.5,True
SHP00117,2025-02,2025-02-15,2025-02-28,2025-03-04,深圳仓,德邦,重庆,FWDD29M,钻石系列,1559,15.59,971.74,545650.0,True
SHP00118,2025-11,2025-11-22,2025-11-24,2025-11-29,成都仓,京东物流,杭州,FWD302,金色系列,94,0.94,1840.39,3525.0,True
SHP00119,2025-03,2025-03-28,2025-04-02,2025-04-02,广州仓,京东物流,广州,FWDV080B,玻璃包银系列,758,7.58,1083.63,3206340.0,True
SHP00120,2025-04,2025-04-28,2025-05-05,2025-05-06,深圳仓,中外运,重庆,FWD6820,水晶系列,1938,38.76,863.23,164730.0,True
SHP00121,2024-11,2024-11-09,2024-11-12,2024-11-13,上海仓,FedEx,武汉,FWD6002T,超白系列,1784,17.84,1179.72,66900.0,False
SHP00122,2025-03,2025-03-10,2025-03-13,2025-03-13,上海仓,顺丰,Singapore,BHC9234BOH,化妆品系列,1071,10.71,398.91,235620.0,True
SHP00123,2025-07,2025-07-18,2025-07-29,2025-07-31,成都仓,中外运,Frankfurt,FWD6001,超白系列,795,15.9,1978.94,29812.5,True
SHP00124,2025-08,2025-08-28,2025-09-06,2025-09-10,上海仓,德邦,Los Angeles,FWD6005,超白系列,1433,28.66,566.73,60186.0,True
SHP00125,2025-04,2025-04-17,2025-04-28,2025-04-29,成都仓,FedEx,南京,FWD8205WR,耐候系列,1407,28.14,258.19,309540.0,True
SHP00126,2025-08,2025-08-12,2025-08-21,2025-08-22,广州仓,FedEx,杭州,FWD123TS,银白系列,1778,35.56,529.41,67564.0,True
SHP00127,2025-02,2025-02-09,2025-02-11,2025-02-15,上海仓,中外运,北京,FWD510,金属彩光系列,379,3.79,1315.36,12886.0,True
SHP00128,2024-10,2024-10-24,2024-11-08,2024-11-13,上海仓,DHL,广州,BHC9327GP,玻璃变色龙,1401,28.02,650.14,700500.0,True
SHP00129,2024-10,2024-10-14,2024-10-23,2024-10-22,成都仓,FedEx,北京,FWD6601A,磁性珠光,1458,14.58,1680.56,218700.0,True
SHP00130,2025-02,2025-02-14,2025-02-19,2025-02-20,广州仓,顺丰,Seoul,FWD600,其他,332,6.64,986.43,16600.0,True
SHP00131,2025-04,2025-04-25,2025-05-05,2025-05-10,广州仓,DHL,西安,HM010AS,云母粉,1695,16.95,597.62,42375.0,True
SHP00132,2025-10,2025-10-24,2025-10-29,2025-11-03,上海仓,顺丰,武汉,FWD215WR,耐候系列,1005,10.05,898.36,90450.0,True
SHP00133,2025-03,2025-03-19,2025-03-28,2025-03-31,上海仓,顺丰,成都,FWD289,虹彩系列,578,5.78,1915.81,21675.0,True
SHP00134,2025-05,2025-05-10,2025-05-24,2025-05-28,广州仓,京东物流,Seoul,FWD235WR,耐候系列,62,0.62,1442.58,5580.0,True
SHP00135,2025-06,2025-06-22,2025-06-24,2025-06-23,上海仓,FedEx,西安,FWD6601,磁性珠光,1773,35.46,1861.93,265950.0,True
SHP00136,2025-01,2025-01-21,2025-01-22,2025-01-22,深圳仓,FedEx,重庆,FWD403,着色系列,227,2.27,492.8,9988.0,True
SHP00137,2024-10,2024-10-19,2024-11-02,2024-11-07,上海仓,德邦,北京,FWD7305,其他,590,5.9,1755.31,35400.0,True
SHP00138,2024-11,2024-11-16,2024-11-21,2024-11-20,深圳仓,FedEx,成都,FWDD21X,钻石系列,664,6.64,490.09,166000.0,True
SHP00139,2025-09,2025-09-03,2025-09-07,2025-09-10,深圳仓,顺丰,Seoul,FWD5870D,钻石系列,1255,25.1,1645.38,225900.0,True
SHP00140,2025-01,2025-01-27,2025-01-30,2025-01-29,成都仓,DHL,北京,FWDD23X,钻石系列,1899,18.99,142.79,474750.0,True
SHP00141,2025-07,2025-07-11,2025-07-22,2025-07-22,成都仓,德邦,南京,FWD5892,钻石系列,1076,21.52,603.41,269000.0,False
SHP00142,2025-05,2025-05-04,2025-05-08,2025-05-09,广州仓,京东物流,深圳,FWD411,着色系列,1912,0.0,1957.94,114720.0,True
SHP00143,2025-09,2025-09-04,2025-09-08,2025-09-08,成都仓,京东物流,上海,FWD424,着色系列,355,7.1,1259.64,21300.0,True
SHP00144,2024-12,2024-12-15,2024-12-24,2024-12-28,成都仓,DHL,南京,FWD306,金色系列,503,5.03,1752.2,18862.5,False
SHP00145,2025-03,2025-03-18,2025-03-30,2025-04-02,上海仓,德邦,Los Angeles,FWD6005,超白系列,1075,10.75,298.66,45150.0,True
SHP00146,2025-10,2025-10-14,2025-10-17,2025-10-20,广州仓,顺丰,北京,FWD6005T,超白系列,973,0.0,751.0,36487.5,True
SHP00147,2025-01,2025-01-21,2025-01-30,2025-02-03,深圳仓,FedEx,成都,FWD410,着色系列,568,5.68,1665.15,34080.0,True
SHP00148,2024-10,2024-10-26,2024-10-30,2024-10-31,深圳仓,顺丰,Frankfurt,FWD520WR,耐候系列,482,4.82,1723.84,43380.0,True
SHP00149,2025-09,2025-09-20,2025-10-01,2025-10-06,广州仓,顺丰,Los Angeles,FWD7352,其他,1309,26.18,1911.32,78540.0,True
SHP00150,2025-02,2025-02-12,2025-02-17,2025-02-22,上海仓,顺丰,成都,FWD5870C,钻石系列,1601,32.02,1321.18,288180.0,True
SHP00151,2025-02,2025-02-06,2025-02-10,2025-02-12,上海仓,FedEx,广州,FWD6009,超白系列,1477,0.0,1039.76,66465.0,True
SHP00152,2025-09,2025-09-27,2025-10-09,2025-10-14,深圳仓,DHL,Tokyo,BHC9232MGH,化妆品系列,1995,0.0,1959.45,438900.0,True
SHP00153,2025-06,2025-06-01,2025-06-11,2025-06-12,深圳仓,FedEx,北京,FWD6003T,超白系列,872,8.72,1131.39,32700.0,True
SHP00154,2024-10,2024-10-25,2024-11-02,2024-11-04,深圳仓,DHL,Singapore,FWD300,金色系列,766,0.0,129.46,28725.0,True
SHP00155,2025-02,2025-02-26,2025-03-06,2025-03-09,成都仓,DHL,深圳,FWD330,金色系列,509,0.0,782.31,19087.5,True
SHP00156,2025-09,2025-09-12,2025-09-25,2025-09-30,广州仓,中外运,成都,FWD101,银白系列,1425,14.25,1525.34,35625.0,True
SHP00157,2025-11,2025-11-24,2025-12-05,2025-12-06,上海仓,京东物流,南京,FWD6215,水晶系列,210,2.1,439.0,11550.0,True
SHP00158,2025-07,2025-07-12,2025-07-21,2025-07-22,上海仓,京东物流,Los Angeles,FWDV095B,玻璃包银系列,1073,0.0,1357.11,1909940.0,False
SHP00159,2025-10,2025-10-13,2025-10-14,2025-10-14,深圳仓,FedEx,Singapore,FWD500,金属彩光系列,1215,12.15,1888.05,41310.0,True
SHP00160,2025-05,2025-05-28,2025-06-01,2025-06-04,上海仓,德邦,武汉,FWD403,着色系列,1303,26.06,278.74,57332.0,True
SHP00161,2024-12,2024-12-04,2024-12-07,2024-12-12,成都仓,京东物流,重庆,FWD525,金属彩光系列,1960,19.6,1279.57,66640.0,True
SHP00162,2025-08,2025-08-18,2025-08-27,2025-08-29,广州仓,中外运,重庆,FWD502WR,耐候系列,512,0.0,680.51,46080.0,True
SHP00163,2025-09,2025-09-22,2025-09-30,2025-09-29,上海仓,中外运,武汉,FWD901KSW,耐候系列,1954,19.54,58.12,254020.0,True
SHP00164,2025-10,2025-10-19,2025-11-01,2025-11-03,成都仓,京东物流,西安,FWD6500A,水晶系列,974,9.74,1352.89,53570.0,True
SHP00165,2024-10,2024-10-12,2024-10-24,2024-10-23,广州仓,中外运,上海,FWD5800A,钻石系列,138,1.38,1290.53,16560.0,True
SHP00166,2024-11,2024-11-19,2024-11-24,2024-11-25,上海仓,德邦,上海,FWDD25L,钻石系列,484,4.84,1757.61,135520.0,True
SHP00167,2024-12,2024-12-05,2024-12-06,2024-12-09,上海仓,德邦,Los Angeles,FWDD21X,钻石系列,1872,0.0,824.94,468000.0,True
SHP00168,2025-10,2025-10-02,2025-10-16,2025-10-20,深圳仓,中外运,Tokyo,FWD302WR,耐候系列,1952,19.52,667.0,175680.0,True
SHP00169,2025-11,2025-11-06,2025-11-21,2025-11-25,上海仓,顺丰,成都,FWDV060,玻璃包银系列,1200,0.0,207.37,7008000.0,True
SHP00170,2025-03,2025-03-25,2025-04-05,2025-04-07,上海仓,德邦,武汉,FWDV040,玻璃包银系列,816,0.0,1844.86,5748720.0,True
SHP00171,2025-04,2025-04-15,2025-04-27,2025-04-30,深圳仓,顺丰,杭州,FWD500,金属彩光系列,1409,14.09,1145.65,47906.0,True
SHP00172,2024-11,2024-11-06,2024-11-07,2024-11-12,成都仓,FedEx,上海,FWD303WR,耐候系列,180,3.6,1949.88,16200.0,True
SHP00173,2025-10,2025-10-01,2025-10-11,2025-10-15,深圳仓,京东物流,重庆,FWD6225,水晶系列,971,19.42,1717.42,53405.0,True
SHP00174,2025-11,2025-11-14,2025-11-24,2025-11-27,深圳仓,顺丰,深圳,FWDV580,玻璃包银系列,1180,23.6,1978.77,1545800.0,True
SHP00175,2024-12,2024-12-03,2024-12-09,2024-12-12,上海仓,顺丰,Tokyo,FWD223WR,耐候系列,266,2.66,296.87,23940.0,True
SHP00176,2025-09,2025-09-20,2025-09-26,2025-10-01,上海仓,德邦,西安,FWD6860,水晶系列,1289,12.89,686.88,109565.0,True
SHP00177,2025-10,2025-10-21,2025-10-29,2025-10-30,广州仓,顺丰,西安,FWDV580,玻璃包银系列,851,8.51,1604.16,1114810.0,True
SHP00178,2025-10,2025-10-22,2025-10-27,2025-10-31,上海仓,顺丰,深圳,FWD249,虹彩系列,1748,17.48,1939.15,65550.0,True
SHP00179,2025-04,2025-04-28,2025-04-30,2025-05-05,成都仓,DHL,北京,BHC9323PG,玻璃变色龙,533,10.66,1319.01,266500.0,True
SHP00180,2024-12,2024-12-28,2025-01-01,2025-01-01,广州仓,中外运,Singapore,FWD6018,超白系列,1294,12.94,654.62,48525.0,True
