month,sku,category,supplier_id,unit_cost_rmb,currency,exchange_rate,tariff_rate,landed_cost_rmb
2025-05,FWD111M,银白系列,SUP033,22.185,CNY,7.29,0.01,22.8505
2025-06,FWD111M,银白系列,SUP013,23.2725,CNY,7.16,0.04,24.9016
2025-07,FWD111M,银白系列,SUP054,21.5325,CNY,6.94,0.02,24.3317
2025-08,FWD111M,银白系列,SUP014,23.055,CNY,6.82,0.07,25.8216
2025-09,FWD111M,银白系列,SUP040,21.9675,CNY,7.09,0.1,23.0659
2025-10,FWD111M,银白系列,SUP023,21.75,CNY,6.84,0.03,24.1425
2025-11,FWD111M,银白系列,SUP043,23.055,CNY,6.88,0.06,24.4383
2024-10,FWD111MT,银白系列,SUP021,22.62,CNY,7.22,0.1,24.882
2024-11,FWD111MT,银白系列,SUP047,21.0975,CNY,7.09,0.07,22.7853
2024-12,FWD111MT,银白系列,SUP002,22.185,CNY,7.13,0.12,23.9598
2025-01,FWD111MT,银白系列,SUP056,21.5325,CNY,6.87,0.03,24.3317
2025-02,FWD111MT,银白系列,SUP047,22.62,CNY,6.87,0.05,25.7868
2025-03,FWD111MT,银白系列,SUP028,23.2725,CNY,6.86,0.13,23.9707
2025-04,FWD111MT,银白系列,SUP013,22.185,CNY,7.18,0.07,23.0724
2025-05,FWD111MT,银白系列,SUP051,22.185,CNY,7.05,0.01,24.8472
2025-06,FWD111MT,银白系列,SUP042,21.0975,CNY,7.29,0.0,22.3634
2025-07,FWD111MT,银白系列,SUP035,23.2725,CNY,6.91,0.04,23.9707
2025-08,FWD111MT,银白系列,SUP046,21.0975,CNY,7.24,0.11,23.2073
2025-09,FWD111MT,银白系列,SUP031,22.4025,CNY,7.11,0.05,23.7467
2025-10,FWD111MT,银白系列,SUP002,21.315,CNY,6.83,0.06,23.2334
2025-11,FWD111MT,银白系列,SUP020,22.4025,CNY,6.91,0.11,23.2986
2024-10,FWD119,银白系列,SUP040,22.725,CNY,6.84,0.0,24.543
2024-11,FWD119,银白系列,SUP022,22.725,CNY,7.27,0.05,25.452
2024-12,FWD119,银白系列,SUP012,22.05,CNY,7.13,0.11,22.491
2025-01,FWD119,银白系列,SUP026,22.95,CNY,7.2,0.08,23.868
2025-02,FWD119,银白系列,SUP009,21.6,CNY,7.22,0.08,22.464
2025-03,FWD119,银白系列,SUP030,24.075,CNY,7.25,0.0,25.038
2025-04,FWD119,银白系列,SUP019,24.075,CNY,7.05,0.04,27.6863
2025-05,FWD119,银白系列,SUP031,22.05,CNY,6.87,0.04,24.0345
2025-06,FWD119,银白系列,SUP047,22.05,CNY,6.83,0.0,23.373
2025-07,FWD119,银白系列,SUP036,23.625,CNY,7.14,0.12,25.0425
2025-08,FWD119,银白系列,SUP037,21.6,CNY,6.91,0.05,22.896
2025-09,FWD119,银白系列,SUP020,23.4,CNY,6.91,0.0,25.74
2025-10,FWD119,银白系列,SUP060,23.625,CNY,6.87,0.07,25.515
2025-11,FWD119,银白系列,SUP034,22.275,CNY,6.91,0.05,22.9432
2024-10,FWD120,银白系列,SUP057,21.84,CNY,7.04,0.07,23.5872
2024-11,FWD120,银白系列,SUP048,19.95,CNY,7.1,0.06,21.7455
2024-12,FWD120,银白系列,SUP017,21.63,CNY,7.08,0.02,22.7115
2025-01,FWD120,银白系列,SUP017,19.95,CNY,6.87,0.07,20.349
2025-02,FWD120,银白系列,SUP004,21.21,CNY,6.85,0.06,22.4826
2025-03,FWD120,银白系列,SUP003,22.26,CNY,6.91,0.01,23.8182
2025-04,FWD120,银白系列,SUP045,21.63,CNY,7.22,0.07,23.1441
2025-05,FWD120,银白系列,SUP028,20.37,CNY,6.96,0.0,23.4255
2025-06,FWD120,银白系列,SUP036,22.05,CNY,6.8,0.02,22.491
2025-07,FWD120,银白系列,SUP056,21.42,CNY,7.07,0.12,23.7762
2025-08,FWD120,银白系列,SUP004,21.21,CNY,7.14,0.06,22.4826
2025-09,FWD120,银白系列,SUP019,21.63,CNY,7.24,0.04,22.0626
2025-10,FWD120,银白系列,SUP033,21.42,CNY,6.97,0.0,23.9904
2025-11,FWD120,银白系列,SUP059,20.37,CNY,7.2,0.03,21.5922
2024-10,FWD122,银白系列,SUP051,21.6,CNY,6.81,0.08,23.544
2024-11,FWD122,银白系列,SUP027,23.175,CNY,6.81,0.09,24.7973
2024-12,FWD122,银白系列,SUP051,21.6,CNY,7.08,0.03,23.544
2025-01,FWD122,银白系列,SUP011,22.05,CNY,6.85,0.1,23.1525
2025-02,FWD122,银白系列,SUP058,24.3,CNY,6.9,0.08,26.973
2025-03,FWD122,银白系列,SUP033,22.5,CNY,6.87,0.05,25.425
2025-04,FWD122,银白系列,SUP022,22.95,CNY,7.18,0.06,26.163
2025-05,FWD122,银白系列,SUP051,23.4,CNY,7.12,0.08,26.676
2025-06,FWD122,银白系列,SUP023,23.625,CNY,6.96,0.1,25.7513
2025-07,FWD122,银白系列,SUP028,22.5,CNY,7.26,0.09,23.625
2025-08,FWD122,银白系列,SUP037,21.825,CNY,7.21,0.13,23.571
2025-09,FWD122,银白系列,SUP056,23.85,CNY,6.93,0.02,25.758
2025-10,FWD122,银白系列,SUP050,21.825,CNY,6.8,0.12,25.0987
2025-11,FWD122,银白系列,SUP008,24.075,CNY,7.19,0.03,26.964
2024-10,FWD123,银白系列,SUP001,24.075,CNY,7.13,0.02,27.2048
2024-11,FWD123,银白系列,SUP034,23.4,CNY,7.05,0.07,25.974
2024-12,FWD123,银白系列,SUP044,23.625,CNY,6.89,0.09,25.515
2025-01,FWD123,银白系列,SUP023,21.6,CNY,6.87,0.06,24.192
2025-02,FWD123,银白系列,SUP054,21.375,CNY,7.06,0.01,21.8025
2025-03,FWD123,银白系列,SUP049,23.625,CNY,7.09,0.09,25.515
2025-04,FWD123,银白系列,SUP030,23.4,CNY,6.97,0.12,24.57
2025-05,FWD123,银白系列,SUP043,22.5,CNY,7.12,0.06,25.65
2025-06,FWD123,银白系列,SUP010,23.625,CNY,6.86,0.07,26.2238
2025-07,FWD123,银白系列,SUP043,23.85,CNY,7.04,0.11,25.9965
2025-08,FWD123,银白系列,SUP002,23.4,CNY,7.21,0.03,25.974
2025-09,FWD123,银白系列,SUP006,22.5,CNY,7.02,0.1,25.65
2025-10,FWD123,银白系列,SUP014,21.825,CNY,7.08,0.01,24.8805
2025-11,FWD123,银白系列,SUP039,22.95,CNY,7.24,0.08,23.6385
2024-10,FWD123T,银白系列,SUP057,23.76,CNY,7.07,0.12,25.1856
2024-11,FWD123T,银白系列,SUP009,24.5025,CNY,7.16,0.1,26.9528
2024-12,FWD123T,银白系列,SUP001,24.9975,CNY,7.24,0.03,25.7474
2025-01,FWD123T,银白系列,SUP048,23.5125,CNY,6.9,0.11,26.334
2025-02,FWD123T,银白系列,SUP019,25.245,CNY,7.27,0.01,28.5268
2025-03,FWD123T,银白系列,SUP031,24.0075,CNY,7.13,0.03,26.1682
2025-04,FWD123T,银白系列,SUP047,24.255,CNY,6.84,0.03,26.923
2025-05,FWD123T,银白系列,SUP028,26.4825,CNY,7.13,0.08,29.6604
2025-06,FWD123T,银白系列,SUP021,24.9975,CNY,7.03,0.06,27.2473
2025-07,FWD123T,银白系列,SUP038,24.9975,CNY,7.13,0.01,25.4975
2025-08,FWD123T,银白系列,SUP006,23.76,CNY,7.07,0.12,25.1856
2025-09,FWD123T,银白系列,SUP032,24.75,CNY,7.18,0.04,26.73
2025-10,FWD123T,银白系列,SUP015,23.5125,CNY,7.25,0.01,26.8042
2025-11,FWD123T,银白系列,SUP053,23.76,CNY,6.93,0.04,26.8488
2024-10,FWD123TS,银白系列,SUP054,27.075,CNY,7.19,0.08,28.4288
2024-11,FWD123TS,银白系列,SUP013,29.07,CNY,6.92,0.06,31.1049
2024-12,FWD123TS,银白系列,SUP045,27.93,CNY,6.97,0.06,29.0472
2025-01,FWD123TS,银白系列,SUP045,30.495,CNY,6.83,0.11,31.7148
2025-02,FWD123TS,银白系列,SUP053,30.495,CNY,7.26,0.03,34.4594
2025-03,FWD123TS,银白系列,SUP052,29.64,CNY,7.05,0.04,33.7896
2025-04,FWD123TS,银白系列,SUP034,29.355,CNY,7.02,0.05,32.2905
2025-05,FWD123TS,银白系列,SUP014,30.495,CNY,7.09,0.12,33.2396
2025-06,FWD123TS,银白系列,SUP009,28.215,CNY,6.93,0.09,31.0365
2025-07,FWD123TS,银白系列,SUP056,29.355,CNY,6.9,0.03,31.4099
2025-08,FWD123TS,银白系列,SUP050,29.925,CNY,6.88,0.03,34.1145
2025-09,FWD123TS,银白系列,SUP036,27.93,CNY,6.91,0.03,31.8402
2025-10,FWD123TS,银白系列,SUP020,30.21,CNY,6.97,0.11,34.4394
2025-11,FWD123TS,银白系列,SUP001,29.355,CNY,6.84,0.03,31.7034
2024-10,FWD151,银白系列,SUP011,19.6875,CNY,7.08,0.13,20.8688
2024-11,FWD151,银白系列,SUP026,19.6875,CNY,7.17,0.13,22.05
2024-12,FWD151,银白系列,SUP022,18.375,CNY,7.15,0.1,19.845
2025-01,FWD151,银白系列,SUP030,18.1875,CNY,6.85,0.07,19.4606
2025-02,FWD151,银白系列,SUP055,18.75,CNY,6.82,0.06,20.25
2025-03,FWD151,银白系列,SUP005,18.1875,CNY,6.93,0.05,19.2788
2025-04,FWD151,银白系列,SUP010,18.1875,CNY,6.81,0.06,19.4606
2025-05,FWD151,银白系列,SUP028,18.9375,CNY,7.28,0.1,20.2631
2025-06,FWD151,银白系列,SUP014,18.0,CNY,6.95,0.1,19.98
2025-07,FWD151,银白系列,SUP055,18.9375,CNY,7.02,0.1,21.21
2025-08,FWD151,银白系列,SUP046,18.375,CNY,7.15,0.05,20.3963
2025-09,FWD151,银白系列,SUP058,18.9375,CNY,7.28,0.02,21.7781
2025-10,FWD151,银白系列,SUP017,17.8125,CNY,7.28,0.13,19.2375
2025-11,FWD151,银白系列,SUP031,19.6875,CNY,7.22,0.08,22.05
2024-10,FWD152,银白系列,SUP040,19.44,CNY,6.97,0.1,20.8008
2024-11,FWD152,银白系列,SUP042,21.6675,CNY,7.1,0.05,22.3175
2024-12,FWD152,银白系列,SUP043,21.6675,CNY,7.27,0.01,24.0509
2025-01,FWD152,银白系列,SUP051,20.4525,CNY,7.2,0.02,23.1113
2025-02,FWD152,银白系列,SUP036,20.4525,CNY,6.86,0.02,21.2706
2025-03,FWD152,银白系列,SUP001,21.06,CNY,7.19,0.03,22.7448
2025-04,FWD152,银白系列,SUP015,21.6675,CNY,7.25,0.07,23.8343
2025-05,FWD152,银白系列,SUP004,21.2625,CNY,6.88,0.12,23.1761
2025-06,FWD152,银白系列,SUP011,21.6675,CNY,7.14,0.05,24.4843
2025-07,FWD152,银白系列,SUP017,21.465,CNY,7.26,0.03,24.0408
2025-08,FWD152,银白系列,SUP045,19.2375,CNY,7.22,0.06,22.1231
2025-09,FWD152,银白系列,SUP020,20.0475,CNY,7.21,0.02,22.6537
2025-10,FWD152,银白系列,SUP050,19.44,CNY,7.09,0.05,22.1616
2025-11,FWD152,银白系列,SUP027,19.845,CNY,7.07,0.02,20.8373
2024-10,FWD153,银白系列,SUP042,20.865,CNY,7.28,0.12,22.5342
2024-11,FWD153,银白系列,SUP022,18.915,CNY,6.97,0.1,20.8065
2024-12,FWD153,银白系列,SUP031,20.28,CNY,7.18,0.07,21.4968
2025-01,FWD153,银白系列,SUP008,18.525,CNY,6.84,0.01,20.9332
2025-02,FWD153,银白系列,SUP017,18.72,CNY,6.81,0.12,20.2176
2025-03,FWD153,银白系列,SUP034,19.5,CNY,6.99,0.1,21.45
2025-04,FWD153,银白系列,SUP025,19.5,CNY,6.94,0.03,21.255
2025-05,FWD153,银白系列,SUP014,19.695,CNY,6.86,0.1,22.2553
2025-06,FWD153,银白系列,SUP029,20.67,CNY,7.0,0.13,21.2901
2025-07,FWD153,银白系列,SUP030,19.695,CNY,6.9,0.05,20.6798
2025-08,FWD153,银白系列,SUP006,19.5,CNY,6.94,0.04,20.28
2025-09,FWD153,银白系列,SUP024,20.475,CNY,7.04,0.11,22.3178
2025-10,FWD153,银白系列,SUP030,18.525,CNY,7.18,0.01,20.3775
2025-11,FWD153,银白系列,SUP022,20.28,CNY,6.88,0.05,21.0912
2024-10,FWD163,银白系列,SUP034,20.0625,CNY,7.03,0.11,21.2662
2024-11,FWD163,银白系列,SUP026,20.0625,CNY,7.05,0.09,20.4638
2024-12,FWD163,银白系列,SUP044,18.9375,CNY,7.07,0.01,21.7781
2025-01,FWD163,银白系列,SUP051,20.25,CNY,7.17,0.0,22.0725
2025-02,FWD163,银白系列,SUP018,17.8125,CNY,6.85,0.13,18.525
2025-03,FWD163,银白系列,SUP027,18.375,CNY,6.84,0.01,20.0288
2025-04,FWD163,银白系列,SUP024,18.0,CNY,6.9,0.1,19.98
2025-05,FWD163,银白系列,SUP051,18.1875,CNY,7.02,0.07,18.7331
2025-06,FWD163,银白系列,SUP027,19.5,CNY,7.25,0.07,20.865
2025-07,FWD163,银白系列,SUP043,19.6875,CNY,7.2,0.01,22.4437
2025-08,FWD163,银白系列,SUP035,18.1875,CNY,6.96,0.01,20.0063
2025-09,FWD163,银白系列,SUP019,18.375,CNY,6.99,0.0,19.6613
2025-10,FWD163,银白系列,SUP016,19.3125,CNY,6.88,0.1,21.63
2025-11,FWD163,银白系列,SUP021,18.375,CNY,7.04,0.09,20.9475
2024-10,FWD173,银白系列,SUP034,19.305,CNY,7.1,0.02,20.6563
2024-11,FWD173,银白系列,SUP008,20.28,CNY,7.1,0.01,23.1192
2024-12,FWD173,银白系列,SUP016,19.89,CNY,6.85,0.08,22.6746
2025-01,FWD173,银白系列,SUP025,19.695,CNY,7.11,0.07,21.0737
2025-02,FWD173,银白系列,SUP047,19.89,CNY,7.23,0.05,22.0779
2025-03,FWD173,银白系列,SUP030,20.28,CNY,7.14,0.09,22.308
2025-04,FWD173,银白系列,SUP034,19.5,CNY,7.2,0.09,21.255
2025-05,FWD173,银白系列,SUP039,20.475,CNY,7.13,0.05,21.9083
2025-06,FWD173,银白系列,SUP025,18.915,CNY,7.23,0.03,20.9957
2025-07,FWD173,银白系列,SUP034,20.085,CNY,7.04,0.13,21.491
2025-08,FWD173,银白系列,SUP056,19.11,CNY,7.26,0.07,19.8744
2025-09,FWD173,银白系列,SUP008,19.305,CNY,7.12,0.07,21.6216
2025-10,FWD173,银白系列,SUP048,18.915,CNY,7.2,0.12,19.6716
2025-11,FWD173,银白系列,SUP010,18.525,CNY,7.21,0.01,20.1923
2024-10,FWD201,虹彩系列,SUP054,27.8438,CNY,7.29,0.08,31.185
2024-11,FWD201,虹彩系列,SUP045,28.6875,CNY,7.07,0.05,30.6956
2024-12,FWD201,虹彩系列,SUP029,27.2812,CNY,6.92,0.12,31.1006
2025-01,FWD201,虹彩系列,SUP026,27.2812,CNY,7.29,0.0,30.2822
2025-02,FWD201,虹彩系列,SUP026,28.4062,CNY,6.87,0.13,32.3831
2025-03,FWD201,虹彩系列,SUP043,27.0,CNY,7.04,0.09,28.08
2025-04,FWD201,虹彩系列,SUP007,28.125,CNY,6.85,0.12,30.6563
2025-05,FWD201,虹彩系列,SUP039,30.0938,CNY,7.2,0.12,33.4041
2025-06,FWD201,虹彩系列,SUP042,29.5312,CNY,7.09,0.03,30.7125
2025-07,FWD201,虹彩系列,SUP013,27.2812,CNY,7.02,0.09,28.6453
2025-08,FWD201,虹彩系列,SUP044,29.25,CNY,6.93,0.12,30.1275
2025-09,FWD201,虹彩系列,SUP047,29.5312,CNY,7.04,0.02,30.4172
2025-10,FWD201,虹彩系列,SUP055,27.2812,CNY,7.17,0.11,28.3725
2025-11,FWD201,虹彩系列,SUP016,27.0,CNY,7.28,0.06,29.97
2024-10,FWD205,虹彩系列,SUP040,28.9688,CNY,7.1,0.03,31.5759
2024-11,FWD205,虹彩系列,SUP029,27.2812,CNY,6.92,0.13,31.1006
2024-12,FWD205,虹彩系列,SUP046,26.7188,CNY,6.97,0.05,28.3219
2025-01,FWD205,虹彩系列,SUP012,28.4062,CNY,6.92,0.02,31.815
2025-02,FWD205,虹彩系列,SUP009,29.8125,CNY,6.93,0.08,32.7938
2025-03,FWD205,虹彩系列,SUP028,29.8125,CNY,7.29,0.13,33.6881
2025-04,FWD205,虹彩系列,SUP056,28.9688,CNY,7.22,0.04,32.1553
2025-05,FWD205,虹彩系列,SUP014,28.4062,CNY,7.05,0.08,29.2584
2025-06,FWD205,虹彩系列,SUP057,27.2812,CNY,7.3,0.0,30.8278
2025-07,FWD205,虹彩系列,SUP004,28.9688,CNY,7.12,0.11,32.1553
2025-08,FWD205,虹彩系列,SUP002,29.8125,CNY,7.11,0.13,33.9862
2025-09,FWD205,虹彩系列,SUP005,29.25,CNY,6.94,0.06,30.7125
2025-10,FWD205,虹彩系列,SUP025,29.8125,CNY,6.86,0.03,31.3031
2025-11,FWD205,虹彩系列,SUP036,28.6875,CNY,7.1,0.04,31.5563
2024-10,FWD205A,虹彩系列,SUP058,29.25,CNY,7.09,0.06,33.0525
2024-11,FWD205A,虹彩系列,SUP044,29.25,CNY,7.24,0.02,32.76
2024-12,FWD205A,虹彩系列,SUP036,29.25,CNY,7.09,0.02,29.835
2025-01,FWD205A,虹彩系列,SUP057,29.5312,CNY,6.99,0.09,31.0078
2025-02,FWD205A,虹彩系列,SUP044,27.2812,CNY,7.18,0.06,31.1006
2025-03,FWD205A,虹彩系列,SUP002,29.5312,CNY,7.09,0.11,30.4172
2025-04,FWD205A,虹彩系列,SUP026,27.8438,CNY,6.96,0.12,30.6281
2025-05,FWD205A,虹彩系列,SUP022,29.25,CNY,7.14,0.03,32.175
2025-06,FWD205A,虹彩系列,SUP015,27.8438,CNY,7.22,0.12,30.9066
2025-07,FWD205A,虹彩系列,SUP028,29.8125,CNY,6.98,0.11,30.4088
2025-08,FWD205A,虹彩系列,SUP034,27.2812,CNY,6.84,0.04,30.555
2025-09,FWD205A,虹彩系列,SUP041,28.9688,CNY,6.99,0.04,32.7347
2025-10,FWD205A,虹彩系列,SUP056,27.0,CNY,7.23,0.01,27.81
2025-11,FWD205A,虹彩系列,SUP059,28.4062,CNY,7.27,0.07,29.2584
2024-10,FWD205M,虹彩系列,SUP013,29.8125,CNY,6.94,0.07,30.7069
2024-11,FWD205M,虹彩系列,SUP002,28.9688,CNY,6.99,0.05,30.1275
2024-12,FWD205M,虹彩系列,SUP032,29.25,CNY,7.22,0.06,33.6375
2025-01,FWD205M,虹彩系列,SUP014,28.4062,CNY,6.95,0.01,30.6788
2025-02,FWD205M,虹彩系列,SUP046,28.6875,CNY,7.02,0.02,32.13
2025-03,FWD205M,虹彩系列,SUP041,27.8438,CNY,6.9,0.05,30.3497
2025-04,FWD205M,虹彩系列,SUP046,29.25,CNY,6.83,0.06,33.0525
2025-05,FWD205M,虹彩系列,SUP009,27.8438,CNY,6.85,0.12,28.4006
2025-06,FWD205M,虹彩系列,SUP040,29.5312,CNY,7.14,0.03,31.5984
2025-07,FWD205M,虹彩系列,SUP033,30.0938,CNY,6.87,0.11,33.705
2025-08,FWD205M,虹彩系列,SUP037,29.25,CNY,7.27,0.08,31.2975
2025-09,FWD205M,虹彩系列,SUP020,30.375,CNY,6.87,0.08,30.9825
2025-10,FWD205M,虹彩系列,SUP033,28.125,CNY,6.81,0.06,32.0625
2025-11,FWD205M,虹彩系列,SUP011,29.8125,CNY,7.0,0.04,31.8994
2024-10,FWD2205G,虹彩系列,SUP040,29.8125,CNY,7.25,0.11,33.0919
2024-11,FWD2205G,虹彩系列,SUP001,28.6875,CNY,6.99,0.08,32.7037
2024-12,FWD2205G,虹彩系列,SUP026,29.5312,CNY,6.86,0.11,33.6656
2025-01,FWD2205G,虹彩系列,SUP041,28.9688,CNY,7.27,0.11,30.7069
2025-02,FWD2205G,虹彩系列,SUP002,26.7188,CNY,6.85,0.07,29.3906
2025-03,FWD2205G,虹彩系列,SUP040,26.7188,CNY,7.2,0.07,28.8563
2025-04,FWD2205G,虹彩系列,SUP056,28.125,CNY,7.01,0.06,30.0938
2025-05,FWD2205G,虹彩系列,SUP052,28.4062,CNY,6.86,0.0,30.9628
2025-06,FWD2205G,虹彩系列,SUP047,30.0938,CNY,7.22,0.04,31.5984
2025-07,FWD2205G,虹彩系列,SUP032,28.125,CNY,7.17,0.03,30.375
2025-08,FWD2205G,虹彩系列,SUP051,27.2812,CNY,7.03,0.04,30.0094
2025-09,FWD2205G,虹彩系列,SUP007,28.6875,CNY,7.11,0.08,30.4088
2025-10,FWD2205G,虹彩系列,SUP032,30.0938,CNY,7.18,0.06,31.8994
2025-11,FWD2205G,虹彩系列,SUP019,28.6875,CNY,7.01,0.11,30.6956
2024-10,FWD211,虹彩系列,SUP008,30.0938,CNY,7.19,0.0,31.5984
2024-11,FWD211,虹彩系列,SUP043,28.9688,CNY,7.08,0.08,30.4172
2024-12,FWD211,虹彩系列,SUP037,28.6875,CNY,7.04,0.11,31.5563
2025-01,FWD211,虹彩系列,SUP056,27.0,CNY,7.26,0.02,30.24
2025-02,FWD211,虹彩系列,SUP023,29.25,CNY,6.87,0.07,33.0525
2025-03,FWD211,虹彩系列,SUP044,28.6875,CNY,7.14,0.02,30.1219
2025-04,FWD211,虹彩系列,SUP043,27.8438,CNY,7.24,0.0,32.0203
2025-05,FWD211,虹彩系列,SUP003,28.125,CNY,6.81,0.02,32.0625
