supplier_id,supplier_name,country,city,contact_person,payment_terms,currency,rating,on_time_rate,defect_rate,min_order_qty,established_year,certified_iso
SUP024,供应商_C24,韩国,上海,Kim Manager,预付30%,USD,5.0,0.94,0.03,2758,1990,True
SUP025,供应商_C25,韩国,首尔,Wang GM,45天,JPY,4.3,0.82,0.04,595,2015,False
SUP026,供应商_C26,中国,上海,Wang GM,45天,USD,4.6,0.89,0.01,1680,2001,True
SUP027,供应商_C27,台湾,宁波,李经理,30天,CNY,3.2,0.88,0.0,4570,2018,False
SUP028,供应商_C28,韩国,苏州,张总,45天,CNY,4.5,0.96,0.03,3128,2004,True
SUP029,供应商_C29,日本,宁波,Wang GM,30天,CNY,3.2,0.92,0.0,1645,1999,True
SUP030,供应商_C30,德国,苏州,张总,30天,USD,3.6,0.97,0.03,3248,1995,True
SUP031,供应商_D31,台湾,广州,Wang GM,60天,USD,5.0,0.75,0.01,1111,2016,True
SUP032,供应商_D32,德国,东京,Wang GM,预付30%,JPY,4.4,0.79,0.03,4766,1999,True
SUP033,供应商_D33,美国,首尔,张总,预付30%,CNY,4.3,0.8,0.02,608,2015,False
SUP034,供应商_D34,德国,首尔,Wang GM,预付30%,EUR,3.1,0.91,0.02,2146,2008,False
SUP035,供应商_D35,台湾,上海,张总,预付30%,JPY,5.0,0.84,0.02,2863,1994,True
SUP036,供应商_D36,德国,东京,张总,45天,CNY,4.8,0.79,0.03,4094,2000,True
SUP037,供应商_D37,中国,苏州,张总,60天,USD,3.5,0.95,0.03,2850,1998,True
SUP038,供应商_D38,日本,深圳,李经理,预付30%,USD,3.7,0.94,0.01,2889,2009,True
SUP039,供应商_D39,德国,苏州,Wang GM,30天,USD,4.3,0.77,0.02,3978,2007,True
SUP040,供应商_D40,韩国,上海,Wang GM,45天,EUR,4.6,0.89,0.01,4891,2017,True
SUP041,供应商_E41,印度,东京,张总,60天,CNY,4.1,0.97,0.01,1024,1999,True
SUP042,供应商_E42,德国,上海,张总,45天,JPY,4.9,0.92,0.02,4828,2008,True
SUP043,供应商_E43,韩国,上海,Wang GM,45天,USD,3.6,0.75,0.01,1429,2016,False
SUP044,供应商_E44,中国,上海,Kim Manager,60天,CNY,3.3,0.9,0.03,2579,2012,True
SUP045,供应商_E45,美国,宁波,Kim Manager,预付30%,CNY,4.2,0.88,0.03,1303,2004,True
SUP046,供应商_E46,台湾,宁波,张总,45天,EUR,3.8,0.96,0.02,933,2003,True
SUP047,供应商_E47,德国,东京,张总,60天,CNY,4.6,0.92,0.03,308,2018,True
SUP048,供应商_E48,中国,深圳,张总,60天,CNY,3.4,0.84,0.04,4471,2014,True
SUP049,供应商_E49,日本,广州,李经理,60天,EUR,5.0,0.92,0.01,2162,2002,True
SUP050,供应商_E50,美国,苏州,张总,45天,CNY,3.0,0.78,0.01,2173,1995,True
SUP051,供应商_F51,韩国,苏州,Kim Manager,30天,USD,4.0,0.76,0.04,1721,2010,False
SUP052,供应商_F52,印度,东京,Kim Manager,预付30%,EUR,3.8,0.86,0.0,4516,2012,True
SUP053,供应商_F53,美国,首尔,李经理,30天,CNY,3.9,0.83,0.04,524,1990,True
SUP054,供应商_F54,台湾,深圳,张总,60天,CNY,3.0,0.91,0.04,4139,1994,True
SUP055,供应商_F55,台湾,苏州,李经理,60天,CNY,3.4,0.83,0.04,3678,2013,False
SUP056,供应商_F56,韩国,宁波,李经理,45天,USD,5.0,0.85,0.04,2016,2008,False
SUP057,供应商_F57,德国,东京,李经理,45天,JPY,4.3,0.94,0.01,4288,2008,True
SUP058,供应商_F58,美国,东京,李经理,45天,USD,4.1,0.85,0.0,425,1998,True
SUP059,供应商_F59,印度,深圳,Wang GM,预付30%,EUR,3.5,0.88,0.03,4841,1997,True
SUP060,供应商_F60,台湾,上海,Kim Manager,45天,EUR,3.2,0.8,0.01,3930,2013,True
