return_id,shipment_id,month,sku,category,return_qty,return_reason,return_date,refund_amount,restockable,carrier
RET00186,SHP00492,2025-01,FWD323M,金色系列,588,规格不符,2025-02-13,22050.0,True,德邦
RET00187,SHP01511,2025-08,FWD491,着色系列,69,发货错误,2025-08-21,4140.0,True,德邦
RET00188,SHP03358,2025-04,FWD122,银白系列,98,规格不符,2025-05-15,2940.0,True,顺丰
RET00189,SHP01324,2025-10,BHC9338GR,玻璃变色龙,253,质量问题,2025-11-05,126500.0,False,中外运
RET00190,SHP02077,2025-07,FWD6504,水晶系列,11,发货错误,2025-07-21,935.0,True,FedEx
RET00191,SHP00224,2024-12,FWD402,着色系列,39,规格不符,2024-12-22,1716.0,True,顺丰
RET00192,SHP00341,2024-12,FWDV150,玻璃包银系列,348,规格不符,2025-01-04,890880.0,True,中外运
RET00193,SHP00483,2025-08,BHC9232MGH,化妆品系列,800,运输损坏,2025-08-08,176000.0,False,德邦
RET00194,SHP01440,2025-03,FWD211WR,耐候系列,85,质量问题,2025-03-21,7650.0,False,顺丰
RET00195,SHP01461,2025-05,FWD320,金色系列,428,客户取消,2025-06-11,16050.0,True,DHL
RET00196,SHP00417,2025-10,FWD425B,着色系列,798,客户取消,2025-10-23,47880.0,True,FedEx
RET00197,SHP02067,2025-11,FWDD23M,钻石系列,1706,发货错误,2025-11-24,477680.0,True,中外运
RET00198,SHP02741,2025-01,FWDD21L,钻石系列,1246,规格不符,2025-01-21,348880.0,True,德邦
RET00199,SHP01782,2025-06,FWD6163,超白系列,794,质量问题,2025-07-10,29775.0,False,中外运
RET00200,SHP03429,2025-05,FWDD10M,钻石系列,799,质量问题,2025-06-04,95880.0,False,顺丰
RET00201,SHP02854,2025-09,FWD5891,钻石系列,509,发货错误,2025-09-17,127250.0,True,顺丰
RET00202,SHP00923,2025-06,BHC9321RY,玻璃变色龙,80,发货错误,2025-06-23,40000.0,True,中外运
RET00203,SHP02809,2025-07,FWD225,虹彩系列,121,客户取消,2025-07-28,4537.5,True,中外运
RET00204,SHP00871,2025-02,BHC9337GP,玻璃变色龙,616,发货错误,2025-02-18,308000.0,True,京东物流
RET00205,SHP02050,2025-02,FWD520,金属彩光系列,329,质量问题,2025-02-10,11186.0,False,顺丰
RET00206,SHP00839,2025-01,FWDD23M,钻石系列,280,质量问题,2025-01-22,78400.0,False,中外运
RET00207,SHP01777,2025-05,FWD6810,水晶系列,708,发货错误,2025-05-26,38940.0,True,京东物流
RET00208,SHP01490,2025-06,FWD535,金属彩光系列,123,质量问题,2025-06-21,4182.0,False,京东物流
RET00209,SHP02560,2025-03,FWDD10X,钻石系列,375,运输损坏,2025-04-05,45000.0,False,中外运
RET00210,SHP01680,2024-11,FWD219,虹彩系列,172,规格不符,2024-11-25,6450.0,True,中外运
RET00211,SHP03434,2024-11,FWD5894,钻石系列,100,运输损坏,2024-11-29,25000.0,False,德邦
RET00212,SHP01253,2025-02,FWD6163,超白系列,1111,运输损坏,2025-02-28,41662.5,False,京东物流
RET00213,SHP00391,2025-07,BHC89234BG,着色变色龙,303,运输损坏,2025-08-07,151500.0,False,顺丰
RET00214,SHP01126,2025-10,FWD402,着色系列,223,客户取消,2025-10-11,9812.0,True,顺丰
RET00215,SHP01506,2025-09,FWD425,着色系列,417,发货错误,2025-09-26,25020.0,True,DHL
RET00216,SHP03330,2025-06,FWD6303A,水晶系列,204,规格不符,2025-07-01,11220.0,True,京东物流
RET00217,SHP02151,2025-10,FWD5894,钻石系列,12,规格不符,2025-10-14,3000.0,True,中外运
RET00218,SHP02589,2025-03,FWD6005,超白系列,1321,规格不符,2025-03-18,55482.0,True,顺丰
RET00219,SHP01068,2025-03,FWD6205,水晶系列,44,运输损坏,2025-03-21,2420.0,False,京东物流
RET00220,SHP03377,2024-11,FWD505,金属彩光系列,216,规格不符,2024-11-17,7344.0,True,京东物流
RET00221,SHP01899,2024-12,FWD205,虹彩系列,1042,发货错误,2024-12-16,39075.0,True,DHL
RET00222,SHP01297,2025-04,FWD215WR,耐候系列,482,运输损坏,2025-04-29,43380.0,False,顺丰
RET00223,SHP02383,2025-09,FWD6860,水晶系列,194,规格不符,2025-09-18,16490.0,True,中外运
RET00224,SHP01457,2025-07,FWD6006,超白系列,3,客户取消,2025-07-19,117.0,True,DHL
RET00225,SHP00653,2025-09,FWD6601,磁性珠光,580,发货错误,2025-09-17,87000.0,True,京东物流
RET00226,SHP00181,2025-05,FWD5891,钻石系列,555,发货错误,2025-06-16,138750.0,True,德邦
RET00227,SHP01910,2025-02,FWD96107SW,耐候系列,351,规格不符,2025-02-18,35100.0,True,顺丰
RET00228,SHP02029,2025-07,FWD305,金色系列,273,客户取消,2025-07-19,10237.5,True,京东物流
RET00229,SHP00678,2025-09,FWD5890,钻石系列,175,规格不符,2025-09-20,21000.0,True,德邦
RET00230,SHP03251,2024-11,FWD7365,其他,282,规格不符,2024-11-25,16920.0,True,顺丰
RET00231,SHP01843,2025-08,FWD500,金属彩光系列,1631,运输损坏,2025-08-30,55454.0,False,德邦
RET00232,SHP00282,2024-11,FWD600,其他,334,质量问题,2024-12-02,16700.0,False,京东物流
RET00233,SHP02856,2025-09,BHC9232MGH,化妆品系列,127,质量问题,2025-09-22,27940.0,False,DHL
RET00234,SHP03176,2024-12,FWD552,金属彩光系列,822,运输损坏,2024-12-27,24660.0,False,京东物流
RET00235,SHP01357,2025-03,FWDD21L,钻石系列,52,发货错误,2025-03-10,14560.0,True,德邦
RET00236,SHP00403,2024-11,FWD425,着色系列,167,质量问题,2024-11-30,10020.0,False,中外运
RET00237,SHP00947,2025-01,BHC89230GY,着色变色龙,6,运输损坏,2025-01-15,3000.0,False,京东物流
RET00238,SHP03051,2025-10,FWD6500A,水晶系列,33,客户取消,2025-11-04,1815.0,True,京东物流
RET00239,SHP00015,2025-08,FWD7365,其他,2,规格不符,2025-09-08,120.0,True,德邦
RET00240,SHP02198,2025-05,BHC9327GP,玻璃变色龙,361,运输损坏,2025-06-09,180500.0,False,FedEx
RET00241,SHP00894,2025-03,FWD6603B,磁性珠光,1289,规格不符,2025-03-12,322250.0,True,FedEx
RET00242,SHP01537,2025-02,BHC5518,化妆品系列,999,发货错误,2025-03-11,74925.0,True,中外运
RET00243,SHP02218,2025-05,FWD306,金色系列,146,客户取消,2025-05-28,5475.0,True,德邦
RET00244,SHP01215,2025-09,FWD505,金属彩光系列,848,规格不符,2025-09-23,28832.0,True,DHL
RET00245,SHP01992,2025-07,FWD5519WR,耐候系列,16,发货错误,2025-07-26,1920.0,True,京东物流
RET00246,SHP01980,2025-04,FWD120,银白系列,652,客户取消,2025-04-15,18256.0,True,DHL
RET00247,SHP00293,2025-05,FWD5519,金属彩光系列,203,客户取消,2025-05-28,12180.0,True,京东物流
RET00248,SHP01988,2025-08,FWD6881,水晶系列,116,规格不符,2025-08-17,6380.0,True,DHL
RET00249,SHP00266,2025-09,FWD6002,超白系列,76,运输损坏,2025-09-30,2850.0,False,顺丰
RET00250,SHP03452,2025-09,BHC89237BG,着色变色龙,88,客户取消,2025-09-18,44000.0,True,DHL
RET00251,SHP02225,2025-01,FWD6810,水晶系列,205,质量问题,2025-02-07,11275.0,False,顺丰
RET00252,SHP02548,2025-01,FWD535,金属彩光系列,30,运输损坏,2025-02-09,1020.0,False,DHL
RET00253,SHP02033,2025-09,FWD411,着色系列,745,运输损坏,2025-09-15,44700.0,False,德邦
RET00254,SHP02300,2025-06,FWD5800D,钻石系列,19,客户取消,2025-06-28,2280.0,True,京东物流
RET00255,SHP00177,2025-10,FWDV580,玻璃包银系列,631,质量问题,2025-10-30,826610.0,False,顺丰
RET00256,SHP02036,2025-11,BHC9321RY,玻璃变色龙,444,质量问题,2025-11-30,222000.0,False,德邦
