po_id,po_date,month,supplier_id,sku,category,qty_ordered,unit_cost_rmb,total_cost_rmb,expected_date,actual_date,status,defect_qty
PO00053,2025-02-07,2025-02,SUP031,FWD5892,钻石系列,3223,204.38,658700.63,2025-03-12,2025-03-16,已收货,21
PO00054,2025-01-13,2025-01,SUP043,FWDD27L,钻石系列,848,233.1,197668.8,2025-02-13,2025-02-12,已收货,1
PO00055,2024-11-27,2024-11,SUP008,FWD6882,水晶系列,994,42.9,42642.6,2025-01-23,2025-02-05,已收货,2
PO00056,2024-10-13,2024-10,SUP026,FWDV095,玻璃包银系列,939,1476.6,1386527.4,2024-10-28,2024-11-12,待发货,3
PO00057,2024-10-26,2024-10,SUP044,FWD5895,钻石系列,1153,168.75,194568.75,2024-11-13,2024-11-17,已收货,2
PO00058,2025-08-28,2025-08,SUP024,FWD302WR,耐候系列,2101,72.23,151744.73,2025-11-04,2025-11-05,待发货,8
PO00059,2025-08-05,2025-08,SUP027,FWD215WR,耐候系列,1082,60.08,65001.15,2025-09-28,2025-09-26,已收货,10
PO00060,2025-10-20,2025-10,SUP027,FWDD23L,钻石系列,2312,224.7,519506.4,2026-01-15,2026-01-12,待发货,8
PO00061,2025-11-27,2025-11,SUP050,FWDD27L,钻石系列,1817,205.8,373938.6,2026-01-22,2026-01-27,待发货,4
PO00062,2025-04-17,2025-04,SUP018,FWD5870A,钻石系列,591,136.35,80582.85,2025-05-17,2025-05-31,待发货,5
PO00063,2025-02-02,2025-02,SUP036,FWD525,金属彩光系列,1194,23.21,27706.77,2025-03-11,2025-03-17,待发货,3
PO00064,2025-11-12,2025-11,SUP048,FWD225,虹彩系列,1789,31.78,56856.66,2026-01-30,2026-02-14,已收货,5
PO00065,2025-06-17,2025-06,SUP032,FWDD21X,钻石系列,329,211.87,69706.87,2025-07-04,2025-07-09,已收货,3
PO00066,2025-09-22,2025-09,SUP058,FWD307,金色系列,4899,29.81,146051.44,2025-12-10,2025-12-25,在途,13
PO00067,2025-03-09,2025-03,SUP046,FWD415Y,着色系列,3033,29.7,90080.1,2025-04-29,2025-05-09,在途,15
PO00068,2025-05-09,2025-05,SUP051,FWD6504,水晶系列,4732,61.84,292615.05,2025-06-28,2025-07-11,已收货,2
PO00069,2025-02-14,2025-02,SUP025,FWD223,虹彩系列,499,27.56,13753.69,2025-04-05,2025-04-18,待发货,4
PO00070,2024-12-13,2024-12,SUP048,BHC9326BM ,玻璃变色龙,3658,13.35,48834.3,2025-02-03,2025-02-12,已收货,23
PO00071,2025-10-07,2025-10,SUP057,FWD534WR,耐候系列,4963,62.1,308202.3,2025-12-23,2026-01-04,已收货,41
PO00072,2025-11-10,2025-11,SUP008,FWD123,银白系列,4874,19.8,96505.2,2026-01-11,2026-01-06,已收货,1
PO00073,2025-05-06,2025-05,SUP039,FWD6850,水晶系列,3001,68.21,204705.71,2025-07-05,2025-07-13,已收货,2
PO00074,2025-10-14,2025-10,SUP041,BHC9234BOH,化妆品系列,1923,146.85,282392.55,2025-11-04,2025-11-07,在途,0
PO00075,2025-05-19,2025-05,SUP058,FWD6603B,磁性珠光,1214,180.0,218520.0,2025-06-20,2025-06-18,在途,4
PO00076,2025-01-04,2025-01,SUP004,FWD231,虹彩系列,1882,25.03,47108.81,2025-03-09,2025-03-24,已收货,18
PO00077,2025-02-08,2025-02,SUP018,FWDV150B,玻璃包银系列,4451,1548.45,6892150.95,2025-05-09,2025-05-08,在途,35
PO00078,2025-07-12,2025-07,SUP055,FWD6163,超白系列,3601,24.75,89124.75,2025-08-14,2025-08-24,待发货,16
PO00079,2025-07-14,2025-07,SUP048,FWDD21X,钻石系列,2609,193.12,503863.12,2025-08-30,2025-09-05,待发货,11
PO00080,2025-11-15,2025-11,SUP013,FWD400B,着色系列,1519,32.34,49124.46,2026-02-01,2026-01-30,在途,9
PO00081,2025-08-24,2025-08,SUP009,FWD302WR,耐候系列,972,68.17,66266.1,2025-09-25,2025-09-24,已收货,0
PO00082,2024-12-07,2024-12,SUP059,FWD5516,金属彩光系列,3328,49.95,166233.6,2025-03-07,2025-03-06,在途,24
PO00083,2024-11-15,2024-11,SUP018,FWD6303,水晶系列,349,68.85,24028.65,2025-01-20,2025-01-16,已收货,3
PO00084,2025-03-22,2025-03,SUP025,FWD325,金色系列,761,26.66,20290.16,2025-05-21,2025-05-23,待发货,1
PO00085,2024-11-01,2024-11,SUP052,FWD110,银白系列,1212,21.46,26015.58,2024-12-29,2024-12-28,待发货,11
PO00086,2025-07-06,2025-07,SUP022,FWD901KSW,耐候系列,2491,102.38,255016.12,2025-07-24,2025-08-06,已收货,5
PO00087,2025-10-17,2025-10,SUP051,FWD351WR,耐候系列,3540,67.5,238950.0,2025-11-17,2025-11-20,已收货,13
PO00088,2025-07-07,2025-07,SUP015,FWD6885,水晶系列,1877,46.2,86717.4,2025-08-30,2025-09-14,在途,6
PO00089,2025-09-26,2025-09,SUP039,FWD323WR,耐候系列,4360,76.95,335502.0,2025-10-27,2025-11-04,待发货,11
PO00090,2024-11-27,2024-11,SUP025,FWD402,着色系列,436,28.05,12229.8,2025-01-24,2025-01-19,在途,3
PO00091,2025-10-06,2025-10,SUP041,FWD6881,水晶系列,1686,46.2,77893.2,2025-10-28,2025-10-31,待发货,12
PO00092,2025-07-22,2025-07,SUP005,FWDD27X,钻石系列,1874,208.13,390026.25,2025-09-22,2025-09-28,已收货,15
PO00093,2025-01-04,2025-01,SUP037,FWD5893,钻石系列,1586,159.38,252768.75,2025-01-21,2025-02-02,已收货,2
PO00094,2025-06-15,2025-06,SUP004,FWD153,银白系列,4755,22.42,106630.87,2025-07-27,2025-08-06,待发货,13
PO00095,2025-11-08,2025-11,SUP009,FWD504WR,耐候系列,1965,59.4,116721.0,2026-01-20,2026-02-03,在途,6
PO00096,2025-02-03,2025-02,SUP050,FWD7331,其他,2884,71.78,206999.1,2025-03-28,2025-03-28,在途,21
PO00097,2025-03-20,2025-03,SUP046,FWD001,其他,1323,76.39,101060.66,2025-04-06,2025-04-01,已收货,9
PO00098,2024-10-16,2024-10,SUP041,FWD502,金属彩光系列,325,26.01,8453.25,2024-11-18,2024-11-28,已收货,1
PO00099,2025-10-04,2025-10,SUP039,FWD6910,水晶系列,2944,37.12,109296.0,2025-12-23,2026-01-07,已收货,18
PO00100,2025-04-25,2025-04,SUP053,FWD415Y,着色系列,2021,30.03,60690.63,2025-05-13,2025-05-18,待发货,19
PO00101,2025-06-24,2025-06,SUP029,FWD5890,钻石系列,1041,89.1,92753.1,2025-09-05,2025-09-19,已收货,3
PO00102,2024-12-07,2024-12,SUP051,BHC89230GY,着色变色龙,4407,378.75,1669151.25,2024-12-22,2024-12-30,已收货,38
PO00103,2025-02-03,2025-02,SUP051,FWDD21X,钻石系列,196,168.75,33075.0,2025-04-17,2025-04-20,已收货,0
PO00104,2024-10-02,2024-10,SUP042,FWD7322,其他,4574,51.45,235332.3,2024-12-11,2024-12-17,待发货,44
PO00105,2025-10-16,2025-10,SUP001,FWDD25X,钻石系列,4533,178.12,807440.62,2025-12-10,2025-12-23,已收货,36
PO00106,2025-10-04,2025-10,SUP054,FWDD10X,钻石系列,453,84.6,38323.8,2025-11-25,2025-12-04,已收货,1
PO00107,2025-04-14,2025-04,SUP033,FWD6602E,磁性珠光,1148,110.25,126567.0,2025-06-04,2025-06-12,已收货,1
PO00108,2025-06-04,2025-06,SUP059,FWD408,着色系列,422,42.3,17850.6,2025-07-24,2025-07-26,待发货,2
PO00109,2025-10-22,2025-10,SUP010,FWD211,虹彩系列,2223,31.5,70024.5,2025-12-16,2025-12-14,在途,12
PO00110,2025-02-22,2025-02,SUP058,FWD6502,水晶系列,1748,45.79,80036.55,2025-04-01,2025-04-05,已收货,13
PO00111,2025-10-23,2025-10,SUP029,FWD502WR,耐候系列,2200,76.95,169290.0,2025-12-24,2026-01-05,待发货,21
PO00112,2025-09-14,2025-09,SUP029,FWD7305,其他,3048,45.45,138531.6,2025-12-09,2025-12-12,待发货,2
PO00113,2025-10-03,2025-10,SUP010,FWD6603,磁性珠光,3677,185.62,682543.12,2025-10-23,2025-10-31,已收货,5
PO00114,2025-06-15,2025-06,SUP058,BHC9275BOH,化妆品系列,3786,166.65,630936.9,2025-07-29,2025-08-03,已收货,29
PO00115,2025-05-02,2025-05,SUP057,FWD429,着色系列,2383,45.9,109379.7,2025-05-25,2025-05-23,在途,23
PO00116,2025-02-12,2025-02,SUP017,FWD7365,其他,1306,50.85,66410.1,2025-05-13,2025-05-15,在途,8
PO00117,2024-10-09,2024-10,SUP041,FWD101,银白系列,2498,16.12,40280.25,2024-12-18,2024-12-31,已收货,12
PO00118,2025-03-03,2025-03,SUP038,FWD500WR,耐候系列,3157,65.47,206704.57,2025-05-21,2025-05-21,在途,8
PO00119,2025-10-02,2025-10,SUP022,FWD429,着色系列,3947,51.3,202481.1,2025-11-13,2025-11-23,已收货,9
PO00120,2025-03-13,2025-03,SUP016,FWD510,金属彩光系列,692,22.95,15881.4,2025-05-27,2025-05-22,已收货,4
PO00121,2025-10-11,2025-10,SUP038,FWDV095B,玻璃包银系列,4819,1268.25,6111696.75,2025-12-22,2025-12-20,已收货,14
PO00122,2024-12-23,2024-12,SUP025,FWD508,金属彩光系列,2888,27.54,79535.52,2025-02-14,2025-02-09,已收货,18
PO00123,2025-06-26,2025-06,SUP014,FWDD29M,钻石系列,4123,286.12,1179693.38,2025-07-10,2025-07-18,待发货,2
PO00124,2025-09-07,2025-09,SUP059,FWD3500,金属彩光系列,2300,22.18,51025.5,2025-09-24,2025-09-26,在途,10
PO00125,2025-08-07,2025-08,SUP060,FWD7322B,其他,2747,51.45,141333.15,2025-09-06,2025-09-18,已收货,19
PO00126,2025-08-20,2025-08,SUP052,FWD323WR,耐候系列,326,72.23,23545.35,2025-10-29,2025-10-25,在途,0
PO00127,2024-10-16,2024-10,SUP051,FWD5872C,钻石系列,913,214.5,195838.5,2024-12-03,2024-12-05,已收货,7
PO00128,2024-10-02,2024-10,SUP058,FWD302,金色系列,4099,32.34,132577.03,2024-11-20,2024-11-24,已收货,24
PO00129,2025-06-15,2025-06,SUP045,FWD5872A,钻石系列,2052,210.0,430920.0,2025-07-09,2025-07-18,在途,5
PO00130,2025-11-03,2025-11,SUP054,FWD901KSW,耐候系列,4112,106.28,437002.8,2026-01-01,2025-12-27,已收货,16
PO00131,2025-03-27,2025-03,SUP010,FWD306WR,耐候系列,3615,60.08,217171.12,2025-06-13,2025-06-17,待发货,31
PO00132,2025-02-03,2025-02,SUP057,FWD500,金属彩光系列,4106,25.5,104703.0,2025-03-24,2025-03-26,已收货,16
PO00133,2024-11-24,2024-11,SUP014,FWDV040B,玻璃包银系列,3951,3948.75,15601511.25,2025-02-10,2025-02-13,待发货,11
PO00134,2024-11-21,2024-11,SUP037,FWD410,着色系列,1778,47.7,84810.6,2024-12-25,2025-01-07,待发货,5
PO00135,2024-11-11,2024-11,SUP053,FWD123TS,银白系列,217,28.21,6122.65,2025-02-05,2025-02-03,已收货,0
PO00136,2025-08-23,2025-08,SUP017,FWD6235,水晶系列,2337,46.61,108933.41,2025-09-06,2025-09-12,在途,14
PO00137,2025-10-16,2025-10,SUP030,FWD5800A,钻石系列,2278,79.2,180417.6,2025-11-08,2025-11-23,在途,12
PO00138,2024-10-10,2024-10,SUP015,FWD223WR,耐候系列,4589,69.53,319050.23,2024-12-03,2024-12-16,已收货,6
PO00139,2025-04-22,2025-04,SUP032,FWD5870B,钻石系列,3705,141.75,525183.75,2025-06-14,2025-06-23,在途,23
PO00140,2025-11-16,2025-11,SUP031,FWD5874A,钻石系列,3383,233.1,788577.3,2026-01-24,2026-01-31,已收货,22
PO00141,2024-12-01,2024-12,SUP020,FWDD27X,钻石系列,1244,193.12,240247.5,2025-02-17,2025-02-22,已收货,2
PO00142,2024-11-16,2024-11,SUP035,FWD259,虹彩系列,2455,28.69,70427.81,2025-01-15,2025-01-26,在途,16
PO00143,2024-12-19,2024-12,SUP030,FWDV040B,玻璃包银系列,4094,5045.62,20656788.75,2025-03-14,2025-03-20,已收货,17
PO00144,2024-12-06,2024-12,SUP036,FWD235WR,耐候系列,730,71.55,52231.5,2024-12-20,2024-12-26,已收货,6
PO00145,2025-07-06,2025-07,SUP015,BHC9338GR,玻璃变色龙,3929,408.75,1605978.75,2025-10-04,2025-10-19,待发货,27
PO00146,2025-10-22,2025-10,SUP031,FWD173,银白系列,605,18.72,11325.6,2025-12-10,2025-12-09,已收货,3
PO00147,2025-11-14,2025-11,SUP056,FWD205,虹彩系列,2113,25.31,53485.31,2025-12-23,2025-12-20,已收货,7
PO00148,2024-10-07,2024-10,SUP053,BHC9325BR,玻璃变色龙,1655,431.25,713718.75,2024-11-01,2024-11-03,已收货,0
PO00149,2024-11-04,2024-11,SUP026,FWDV150B,玻璃包银系列,2253,1748.25,3938807.25,2024-12-02,2024-12-08,已收货,16
PO00150,2025-06-11,2025-06,SUP009,FWD7365,其他,4180,42.75,178695.0,2025-08-07,2025-08-11,已收货,9
PO00151,2025-07-13,2025-07,SUP027,FWDD27X,钻石系列,712,174.38,124155.0,2025-08-09,2025-08-23,在途,4
PO00152,2025-03-15,2025-03,SUP029,FWD5519,金属彩光系列,2699,39.15,105665.85,2025-06-03,2025-06-16,待发货,6
PO00153,2025-08-17,2025-08,SUP026,FWD307,金色系列,2078,26.72,55521.56,2025-10-28,2025-11-05,待发货,13
PO00154,2025-01-22,2025-01,SUP057,BHC9323PG,玻璃变色龙,4811,360.0,1731960.0,2025-03-03,2025-03-15,在途,42
PO00155,2025-02-03,2025-02,SUP044,BHC9337GP,玻璃变色龙,1253,356.25,446381.25,2025-04-17,2025-04-24,已收货,11
PO00156,2024-11-20,2024-11,SUP056,FWD362,金色系列,3640,25.03,91113.75,2025-02-16,2025-02-24,待发货,19
PO00157,2025-08-16,2025-08,SUP052,FWD491,着色系列,4948,40.95,202620.6,2025-10-22,2025-11-03,已收货,8
PO00158,2025-04-17,2025-04,SUP030,FWD400B,着色系列,4075,37.62,153301.5,2025-06-16,2025-06-17,在途,30
PO00159,2025-07-24,2025-07,SUP060,FWD308,金色系列,132,25.03,3304.12,2025-08-13,2025-08-23,已收货,0
PO00160,2025-08-26,2025-08,SUP043,FWD405B,着色系列,173,30.03,5195.19,2025-10-19,2025-10-28,已收货,0
PO00161,2024-12-04,2024-12,SUP018,FWD300,金色系列,4786,24.19,115761.38,2025-02-02,2025-02-08,在途,10
PO00162,2025-11-10,2025-11,SUP007,FWD223WR,耐候系列,1598,60.75,97078.5,2025-12-28,2026-01-04,已收货,13
PO00163,2025-04-07,2025-04,SUP010,FWD5519,金属彩光系列,2990,38.7,115713.0,2025-05-21,2025-05-25,已收货,23
PO00164,2024-12-13,2024-12,SUP006,FWDD21M,钻石系列,2070,220.5,456435.0,2025-01-12,2025-01-15,已收货,7
PO00165,2024-10-21,2024-10,SUP039,FWDD25L,钻石系列,2667,237.3,632879.1,2025-01-06,2025-01-17,已收货,2
PO00166,2025-08-09,2025-08,SUP034,FWD259,虹彩系列,1256,31.5,39564.0,2025-09-12,2025-09-16,已收货,12
PO00167,2025-03-02,2025-03,SUP048,FWD6205,水晶系列,3123,35.06,109500.19,2025-05-17,2025-05-31,已收货,15
PO00168,2024-12-17,2024-12,SUP017,BHC9227GOH,化妆品系列,3914,141.9,555396.6,2025-01-06,2025-01-09,已收货,19
PO00169,2025-10-07,2025-10,SUP007,FWD123TS,银白系列,198,28.21,5586.57,2025-11-01,2025-11-13,已收货,0
PO00170,2025-08-11,2025-08,SUP042,FWD407,着色系列,4105,32.67,134110.35,2025-09-24,2025-09-26,在途,27
PO00171,2025-03-11,2025-03,SUP009,FWD323WR,耐候系列,3359,58.73,197257.27,2025-04-26,2025-05-05,已收货,30
PO00172,2025-01-11,2025-01,SUP019,FWDD21L,钻石系列,4666,237.3,1107241.8,2025-03-07,2025-03-16,已收货,11
PO00173,2025-04-14,2025-04,SUP016,FWD353,金色系列,2881,31.5,90751.5,2025-06-21,2025-07-04,已收货,25
PO00174,2025-10-19,2025-10,SUP004,FWD6300,水晶系列,1568,63.11,98960.4,2025-11-18,2025-11-17,已收货,11
PO00175,2024-10-21,2024-10,SUP015,FWD5516,金属彩光系列,2186,49.5,108207.0,2024-11-16,2024-12-01,已收货,18
PO00176,2024-10-14,2024-10,SUP042,FWD8205WR,耐候系列,4520,188.1,850212.0,2024-11-17,2024-11-22,待发货,11
PO00177,2025-02-26,2025-02,SUP057,FWD8503WR,耐候系列,1647,122.85,202333.95,2025-05-08,2025-05-21,已收货,4
PO00178,2025-07-28,2025-07,SUP045,FWD6002A,超白系列,3785,31.78,120292.03,2025-08-16,2025-08-30,已收货,9
PO00179,2025-05-12,2025-05,SUP024,FWD6163,超白系列,4747,29.81,141519.94,2025-08-10,2025-08-15,在途,42
PO00180,2024-11-10,2024-11,SUP044,FWD305,金色系列,833,27.56,22959.56,2024-12-17,2024-12-17,已收货,0
PO00181,2025-11-23,2025-11,SUP001,FWDD23M,钻石系列,4999,184.8,923815.2,2026-01-26,2026-01-29,已收货,12
PO00182,2025-04-09,2025-04,SUP014,FWD6602,磁性珠光,2287,105.75,241850.25,2025-05-20,2025-05-20,待发货,13
PO00183,2025-07-03,2025-07,SUP060,FWD419B,着色系列,1380,47.7,65826.0,2025-08-18,2025-08-13,已收货,7
PO00184,2025-08-05,2025-08,SUP016,FWD351WR,耐候系列,3360,72.23,242676.0,2025-09-09,2025-09-14,已收货,29
PO00185,2025-06-02,2025-06,SUP031,FWD500WR,耐候系列,4567,64.12,292858.88,2025-08-19,2025-08-17,已收货,38
PO00186,2025-01-07,2025-01,SUP003,FWD5870C,钻石系列,1886,116.1,218964.6,2025-03-31,2025-04-13,已收货,1
PO00187,2025-08-14,2025-08,SUP056,FWD413,着色系列,2902,45.0,130590.0,2025-09-24,2025-10-02,在途,29
PO00188,2025-05-11,2025-05,SUP008,FWD103TWR,耐候系列,3128,45.9,143575.2,2025-06-30,2025-07-10,已收货,19
PO00189,2025-05-21,2025-05,SUP027,FWD6018T,超白系列,2469,26.16,64579.78,2025-06-07,2025-06-22,已收货,7
PO00190,2024-12-23,2024-12,SUP049,FWD5872C,钻石系列,2997,202.8,607791.6,2025-02-11,2025-02-19,待发货,9
PO00191,2025-11-25,2025-11,SUP048,FWDD10X,钻石系列,2530,96.3,243639.0,2025-12-17,2025-12-18,已收货,3
PO00192,2025-05-11,2025-05,SUP049,FWD3502,金属彩光系列,2668,29.07,77558.76,2025-07-27,2025-07-24,待发货,11
PO00193,2024-11-26,2024-11,SUP023,FWD6603,磁性珠光,4760,196.88,937125.0,2025-02-11,2025-02-24,已收货,37
PO00194,2025-04-11,2025-04,SUP041,FWD111MT,银白系列,442,23.71,10478.72,2025-06-16,2025-06-18,已收货,3
PO00195,2025-09-11,2025-09,SUP048,FWD509,金属彩光系列,4764,28.05,133630.2,2025-10-14,2025-10-17,待发货,16
PO00196,2025-08-05,2025-08,SUP057,FWD111,银白系列,4719,19.57,92374.43,2025-08-30,2025-08-29,已收货,5
PO00197,2025-09-09,2025-09,SUP041,FWD5891,钻石系列,4031,211.87,854068.12,2025-11-05,2025-11-11,已收货,29
PO00198,2025-08-05,2025-08,SUP018,FWDV060,玻璃包银系列,3348,4248.6,14224312.8,2025-09-17,2025-09-14,已收货,9
PO00199,2025-04-10,2025-04,SUP031,FWD231,虹彩系列,1614,29.25,47209.5,2025-05-21,2025-05-17,待发货,2
PO00200,2025-01-26,2025-01,SUP010,FWD425B,着色系列,1565,46.35,72537.75,2025-04-12,2025-04-10,已收货,6
PO00201,2025-03-21,2025-03,SUP011,FWDD23L,钻石系列,1658,216.3,358625.4,2025-04-23,2025-05-07,已收货,1
PO00202,2024-11-23,2024-11,SUP036,BHC9230YBH,化妆品系列,3328,184.8,615014.4,2025-01-15,2025-01-18,已收货,29
PO00203,2025-10-14,2025-10,SUP059,FWDD27M,钻石系列,1723,216.3,372684.9,2026-01-11,2026-01-23,在途,17
PO00204,2025-01-22,2025-01,SUP040,FWDV580,玻璃包银系列,3400,972.67,3307095.0,2025-03-14,2025-03-09,已收货,28
PO00205,2025-06-05,2025-06,SUP026,FWD6307A,水晶系列,3370,40.42,136232.25,2025-07-28,2025-08-04,待发货,19
PO00206,2025-09-18,2025-09,SUP037,FWD235WR,耐候系列,139,70.88,9851.62,2025-10-30,2025-11-14,已收货,0
PO00207,2025-06-14,2025-06,SUP002,FWD429,着色系列,3016,50.4,152006.4,2025-08-31,2025-09-11,已收货,10
PO00208,2025-07-06,2025-07,SUP051,FWD219WR,耐候系列,1453,68.85,100039.05,2025-08-31,2025-08-31,在途,6
PO00209,2025-07-25,2025-07,SUP048,FWD5518,金属彩光系列,1269,42.75,54249.75,2025-08-26,2025-08-26,在途,3
