wo_id,month,sku,component,plan_usage_kg,actual_usage_kg,unit_cost_rmb,variance_pct
WO00393,2025-08,FWD323,云母粉,4.7987,4.7987,41.2,-0.06
WO02378,2025-08,FWD6219,合成云母,0.5464,0.562,74.19,0.12
WO02378,2025-08,FWD6219,分散剂,1.8214,1.7,23.06,0.07
WO02378,2025-08,FWD6219,云母粉,0.6292,0.6592,17.67,-0.03
WO01784,2025-08,FWD103TWR,合成云母,7.6323,6.9054,63.7,0.15
WO01784,2025-08,FWD103TWR,包装材料,6.7706,6.7706,41.21,-0.07
WO02363,2024-11,FWDD21L,钛白粉,11.2958,11.1882,37.56,0.03
WO02363,2024-11,FWDD21L,珠光粉基材,10.5188,9.517,49.54,0.03
WO02363,2024-11,FWDD21L,云母粉,2.9883,2.8175,7.0,0.05
WO02485,2025-03,FWDV150,珠光粉基材,4.7697,4.906,49.74,0.13
WO02485,2025-03,FWDV150,色料,1.2092,1.1056,7.33,-0.08
WO02485,2025-03,FWDV150,包装材料,5.3407,5.1881,21.1,0.06
WO02485,2025-03,FWDV150,钛白粉,5.9789,5.6373,75.03,0.06
WO01133,2025-04,BHC9323PG,分散剂,0.2278,0.2343,16.82,0.06
WO01133,2025-04,BHC9323PG,钛白粉,2.2911,2.182,42.96,-0.09
WO00191,2024-12,FWD6683T,钛白粉,0.4219,0.4179,57.19,0.09
WO00191,2024-12,FWD6683T,包装材料,0.4489,0.4531,26.27,0.1
WO00191,2024-12,FWD6683T,珠光粉基材,0.0868,0.0802,57.65,0.04
WO00191,2024-12,FWD6683T,云母粉,0.1466,0.1396,39.21,0.14
WO02293,2025-11,FWD520WR,钛白粉,2.566,2.4194,75.69,-0.05
WO02293,2025-11,FWD520WR,分散剂,0.9038,0.8951,63.61,0.13
WO02293,2025-11,FWD520WR,包装材料,2.3078,2.2638,32.71,-0.0
WO01071,2025-02,FWD211,合成云母,1.4588,1.3337,6.04,-0.07
WO01071,2025-02,FWD211,包装材料,1.8521,1.8521,22.37,0.05
WO01016,2024-10,FWD353,合成云母,2.4564,2.3862,51.11,0.14
WO01016,2024-10,FWD353,色料,9.4044,9.6731,45.55,-0.07
WO01016,2024-10,FWD353,分散剂,5.8251,5.2703,69.58,0.14
WO01596,2025-05,FWD6002AWR,合成云母,0.2666,0.2437,35.6,0.02
WO01596,2025-05,FWD6002AWR,色料,1.7085,1.6434,17.61,-0.02
WO01596,2025-05,FWD6002AWR,珠光粉基材,2.3143,2.3143,33.17,0.11
WO01596,2025-05,FWD6002AWR,包装材料,1.7206,1.7206,26.69,0.1
WO01187,2025-01,FWD111,合成云母,0.3366,0.3141,64.65,0.11
WO01187,2025-01,FWD111,云母粉,1.4179,1.3234,18.9,-0.06
WO01187,2025-01,FWD111,分散剂,0.1289,0.1191,42.97,0.07
WO01391,2025-06,FWD111,色料,0.5805,0.5418,41.49,0.01
WO01391,2025-06,FWD111,包装材料,2.797,2.6371,68.38,-0.06
WO01391,2025-06,FWD111,分散剂,7.3882,6.8957,25.67,0.14
WO01316,2024-11,FWD330,钛白粉,5.3952,5.241,78.91,0.13
WO01316,2024-11,FWD330,分散剂,2.0536,2.0928,49.32,-0.06
WO01316,2024-11,FWD330,色料,6.8571,6.204,20.47,-0.1
WO00041,2025-07,FWD153,包装材料,7.0408,7.1749,29.79,-0.05
WO00041,2025-07,FWD153,色料,2.0999,1.9999,63.64,0.07
WO00041,2025-07,FWD153,钛白粉,6.1761,6.4114,77.04,-0.1
WO01844,2024-11,FWD217,分散剂,13.8388,12.9162,66.0,-0.02
WO01844,2024-11,FWD217,珠光粉基材,2.573,2.3525,21.71,0.03
WO01844,2024-11,FWD217,合成云母,11.3353,10.3637,48.49,-0.06
WO01844,2024-11,FWD217,包装材料,7.5105,6.7952,56.85,0.03
WO00892,2025-10,FWD235,分散剂,0.3104,0.3193,41.19,0.08
WO00892,2025-10,FWD235,合成云母,3.104,2.9858,26.72,-0.09
WO00892,2025-10,FWD235,包装材料,1.3132,1.2007,23.63,0.01
WO00892,2025-10,FWD235,珠光粉基材,1.5043,1.4326,44.6,0.05
WO00652,2025-06,FWD151WR,分散剂,5.8422,6.0091,16.4,0.07
WO00652,2025-06,FWD151WR,云母粉,11.5383,10.6592,9.09,-0.02
WO02137,2025-03,FWD534,云母粉,2.1015,2.2016,28.08,-0.05
WO02137,2025-03,FWD534,合成云母,3.3417,3.469,11.1,0.02
WO02137,2025-03,FWD534,色料,2.756,2.8873,62.4,0.03
WO00505,2024-12,FWD302,珠光粉基材,9.8434,10.0309,5.27,0.1
WO00505,2024-12,FWD302,包装材料,7.7385,7.0752,58.45,-0.06
WO02067,2024-10,FWD6603,珠光粉基材,0.1876,0.1912,27.0,0.15
WO02067,2024-10,FWD6603,合成云母,0.2297,0.2363,6.74,0.08
WO02067,2024-10,FWD6603,包装材料,0.2981,0.3038,46.63,-0.08
WO02067,2024-10,FWD6603,色料,0.2841,0.2787,20.68,0.04
WO01836,2025-02,FWD289,分散剂,4.2408,3.9581,19.21,0.08
WO01836,2025-02,FWD289,色料,5.0563,4.6711,32.6,0.04
WO01836,2025-02,FWD289,钛白粉,9.4602,8.9196,48.14,-0.06
WO01210,2025-02,FWD525WR,色料,0.5519,0.5098,54.04,-0.04
WO01210,2025-02,FWD525WR,分散剂,1.1038,1.0092,72.81,0.04
WO00324,2025-04,FWD201,云母粉,0.69,0.6375,70.03,0.11
WO00324,2025-04,FWD201,色料,0.5878,0.5486,8.67,0.04
WO00324,2025-04,FWD201,包装材料,4.5491,4.2025,65.88,-0.03
WO00324,2025-04,FWD201,分散剂,3.2202,3.2509,13.97,-0.01
WO01873,2025-02,FWD6003TWR,合成云母,11.6151,10.6195,41.12,-0.03
WO01873,2025-02,FWD6003TWR,分散剂,10.0834,10.2755,42.69,-0.08
WO01873,2025-02,FWD6003TWR,包装材料,2.808,2.5406,71.22,0.08
WO01873,2025-02,FWD6003TWR,钛白粉,2.4251,2.5175,75.99,-0.1
WO00877,2024-11,FWD5890,色料,2.4204,2.3282,75.38,-0.01
WO00877,2024-11,FWD5890,云母粉,12.3363,11.5139,25.99,-0.04
WO00877,2024-11,FWD5890,合成云母,2.1081,1.9876,54.7,0.13
WO00877,2024-11,FWD5890,钛白粉,3.045,2.784,63.09,0.12
WO00509,2025-03,FWD111M,包装材料,0.7864,0.8238,53.27,0.02
WO00509,2025-03,FWD111M,分散剂,3.8109,3.9198,11.18,-0.08
WO00531,2025-06,FWD353,钛白粉,3.0815,2.9935,26.98,-0.01
WO00531,2025-06,FWD353,分散剂,3.9584,3.883,25.96,-0.02
WO00531,2025-06,FWD353,云母粉,2.6306,2.6556,69.4,0.02
WO01892,2025-09,FWD418B,色料,2.5364,2.3431,61.04,-0.08
WO01892,2025-09,FWD418B,云母粉,2.4532,2.4299,44.3,0.03
WO01892,2025-09,FWD418B,合成云母,1.2058,1.2403,63.96,0.0
WO01217,2025-05,FWD5892,钛白粉,0.1925,0.1796,31.02,0.13
WO01217,2025-05,FWD5892,珠光粉基材,0.3109,0.3227,11.0,0.02
WO01217,2025-05,FWD5892,分散剂,0.6514,0.6328,20.96,-0.02
WO00945,2025-07,FWD5518,钛白粉,7.1628,7.0946,68.57,-0.06
WO00945,2025-07,FWD5518,包装材料,6.4606,6.153,20.61,-0.08
WO00945,2025-07,FWD5518,珠光粉基材,5.2668,4.9157,59.93,-0.08
WO00945,2025-07,FWD5518,云母粉,7.7246,7.5775,27.04,0.13
WO02349,2025-05,FWDD23M,钛白粉,2.3651,2.3426,33.53,0.02
WO02349,2025-05,FWDD23M,云母粉,4.5216,4.3493,50.06,-0.0
WO02077,2025-06,FWD3502,云母粉,0.7188,0.7462,76.21,0.01
WO02077,2025-06,FWD3502,钛白粉,0.2842,0.2842,34.76,0.12
WO00471,2024-10,FWD6007,钛白粉,7.8575,7.9323,64.13,-0.0
WO00471,2024-10,FWD6007,珠光粉基材,10.4095,10.9052,54.03,-0.05
WO00471,2024-10,FWD6007,色料,3.6265,3.3157,45.81,0.01
WO00471,2024-10,FWD6007,包装材料,12.2228,12.3392,10.73,0.06
WO00173,2025-10,FWD5890,云母粉,11.5974,11.8183,74.06,0.14
WO00173,2025-10,FWD5890,珠光粉基材,9.8793,9.3148,8.68,-0.06
WO00173,2025-10,FWD5890,钛白粉,10.4315,10.1335,37.18,-0.08
WO00173,2025-10,FWD5890,分散剂,3.6817,3.4713,28.36,0.06
WO00198,2025-09,FWD2205G,分散剂,2.3031,2.2154,14.09,0.02
WO00198,2025-09,FWD2205G,包装材料,1.2592,1.2832,51.95,0.08
WO00198,2025-09,FWD2205G,合成云母,2.8499,2.9856,67.01,0.0
WO00198,2025-09,FWD2205G,云母粉,1.7066,1.5766,58.1,0.14
WO01279,2025-05,FWD101WR,云母粉,3.4742,3.3419,56.99,-0.05
WO01279,2025-05,FWD101WR,珠光粉基材,1.5002,1.3716,67.74,-0.1
WO00255,2025-08,FWDD10M,分散剂,2.2469,2.2469,43.45,-0.03
WO00255,2025-08,FWDD10M,珠光粉基材,0.7731,0.7216,64.53,-0.01
WO00255,2025-08,FWDD10M,合成云母,1.1597,1.1376,36.68,0.08
WO00255,2025-08,FWDD10M,包装材料,3.1167,3.0573,73.43,-0.07
WO01089,2025-04,FWDD10Y,合成云母,0.1541,0.1482,39.43,0.1
WO01089,2025-04,FWDD10Y,云母粉,0.7318,0.6969,71.93,-0.05
WO01089,2025-04,FWDD10Y,色料,0.3081,0.314,29.46,-0.05
WO00134,2025-05,FWD901KSW,合成云母,0.3098,0.3069,13.67,0.05
WO00134,2025-05,FWD901KSW,钛白粉,2.3979,2.3751,52.1,0.1
WO00134,2025-05,FWD901KSW,分散剂,1.4819,1.369,77.45,-0.01
WO00134,2025-05,FWD901KSW,色料,2.1824,2.224,55.6,-0.09
WO01961,2025-11,FWD5894,珠光粉基材,1.4162,1.3352,73.49,-0.0
WO01961,2025-11,FWD5894,合成云母,1.5855,1.4647,30.01,0.0
WO01961,2025-11,FWD5894,包装材料,2.6938,2.6938,5.17,-0.09
WO01961,2025-11,FWD5894,云母粉,1.9395,1.9765,13.53,-0.06
WO00882,2025-02,FWD306,合成云母,5.7855,5.7855,73.1,0.03
WO00882,2025-02,FWD306,包装材料,8.1678,7.4677,72.36,0.04
WO00399,2025-03,FWD111,包装材料,2.4631,2.51,15.03,-0.08
WO00399,2025-03,FWD111,分散剂,1.1627,1.1516,70.45,0.05
WO00399,2025-03,FWD111,钛白粉,0.4437,0.4056,54.5,0.0
WO00399,2025-03,FWD111,色料,2.0653,2.0063,27.19,-0.04
WO00209,2025-09,BHC5518,云母粉,2.9461,2.8058,60.15,-0.09
WO00209,2025-09,BHC5518,珠光粉基材,2.346,2.413,32.56,-0.08
WO00276,2025-08,FWD307,钛白粉,4.4925,4.1074,31.69,-0.09
WO00276,2025-08,FWD307,色料,1.2973,1.2232,7.37,0.01
WO00386,2025-03,FWD6018T,包装材料,3.5609,3.4931,57.8,0.06
WO00386,2025-03,FWD6018T,分散剂,12.3361,11.7486,7.08,-0.03
WO00386,2025-03,FWD6018T,云母粉,2.6071,2.6319,10.33,-0.08
WO00386,2025-03,FWD6018T,合成云母,7.249,6.9729,14.69,0.13
WO01095,2025-09,FWD6884,色料,2.8935,2.8109,21.54,-0.04
WO01095,2025-09,FWD6884,珠光粉基材,2.3932,2.3476,57.69,-0.09
WO01095,2025-09,FWD6884,钛白粉,1.5012,1.5155,13.57,-0.04
WO01095,2025-09,FWD6884,云母粉,3.3504,3.0632,19.08,0.03
WO02256,2025-05,FWD524WR,钛白粉,0.5761,0.5377,78.44,0.04
WO02256,2025-05,FWD524WR,包装材料,4.225,3.8628,49.45,0.04
WO02256,2025-05,FWD524WR,珠光粉基材,5.0316,5.1753,38.02,-0.01
WO02132,2025-06,FWD429,色料,0.8291,0.8291,77.83,0.13
WO02132,2025-06,FWD429,包装材料,5.6062,5.6596,18.58,0.1
WO02132,2025-06,FWD429,珠光粉基材,3.5927,3.3532,20.23,0.09
WO02132,2025-06,FWD429,分散剂,1.895,1.7687,28.94,0.08
WO02449,2025-03,FWD6502,色料,1.6485,1.727,8.46,-0.05
WO02449,2025-03,FWD6502,合成云母,0.314,0.296,50.22,0.08
WO02449,2025-03,FWD6502,珠光粉基材,1.9625,1.9438,25.33,-0.03
WO00675,2025-04,FWD506,珠光粉基材,5.064,4.9676,12.67,-0.06
WO00675,2025-04,FWD506,分散剂,1.8548,1.8195,36.67,0.06
WO01058,2024-11,FWD500,色料,8.8277,8.1551,5.54,-0.04
WO01058,2024-11,FWD500,云母粉,5.7352,5.5167,63.28,0.04
WO01058,2024-11,FWD500,珠光粉基材,0.3374,0.3149,33.17,-0.0
WO01058,2024-11,FWD500,合成云母,2.5302,2.482,79.03,-0.03
WO01592,2024-12,FWDV080,珠光粉基材,0.5345,0.504,73.42,-0.02
WO01592,2024-12,FWDV080,分散剂,0.1205,0.1113,55.77,0.12
WO01592,2024-12,FWDV080,钛白粉,0.1506,0.152,38.4,-0.09
WO01592,2024-12,FWDV080,云母粉,0.3313,0.3407,19.35,0.05
WO02390,2025-10,FWDD29M,云母粉,2.6253,2.5503,71.92,-0.04
WO02390,2025-10,FWDD29M,色料,3.5962,3.699,39.96,-0.06
WO00192,2025-11,FWD351,包装材料,0.7155,0.6882,52.35,0.08
WO00192,2025-11,FWD351,钛白粉,0.0814,0.0845,47.92,0.03
WO00192,2025-11,FWD351,色料,0.2967,0.2741,20.58,0.14
WO00192,2025-11,FWD351,云母粉,0.0407,0.0423,46.58,-0.0
WO00311,2024-10,FWD5890,分散剂,0.2339,0.2205,51.1,0.12
WO00311,2024-10,FWD5890,钛白粉,4.4439,4.0206,26.51,0.15
WO00311,2024-10,FWD5890,珠光粉基材,1.7152,1.5845,33.06,-0.05
WO00311,2024-10,FWD5890,色料,2.3389,2.4503,40.36,-0.08
WO00819,2025-01,FWD111,钛白粉,0.2197,0.2239,17.12,-0.04
WO00819,2025-01,FWD111,珠光粉基材,0.6592,0.6781,31.77,-0.07
WO00252,2025-03,FWD6003,包装材料,1.5611,1.6057,71.41,-0.04
WO00252,2025-03,FWD6003,合成云母,1.7098,1.661,43.06,0.04
WO00252,2025-03,FWD6003,色料,0.3866,0.3792,39.04,0.12
WO00252,2025-03,FWD6003,分散剂,2.2302,2.209,70.69,-0.0
WO00848,2025-08,FWD5870D,包装材料,5.8023,5.9128,37.01,-0.01
WO00848,2025-08,FWD5870D,色料,8.6057,8.6876,35.55,0.05
WO00848,2025-08,FWD5870D,钛白粉,7.7581,7.5365,57.17,0.09
WO00848,2025-08,FWD5870D,珠光粉基材,3.1293,3.2187,77.3,-0.06
WO00771,2025-09,FWD6885,云母粉,1.2628,1.2989,58.11,0.11
WO00771,2025-09,FWD6885,色料,0.7435,0.7506,59.71,0.12
WO00771,2025-09,FWD6885,合成云母,0.6609,0.6106,35.13,0.05
WO00869,2025-03,FWD6219,珠光粉基材,0.4961,0.4489,52.92,-0.01
WO00869,2025-03,FWD6219,色料,5.1384,5.2853,20.26,-0.07
WO00869,2025-03,FWD6219,钛白粉,6.4142,6.3531,38.99,0.14
WO01309,2025-10,BHC89235G,钛白粉,4.7578,4.6218,77.55,0.05
WO01309,2025-10,BHC89235G,色料,1.0483,1.0982,25.63,-0.06
WO00811,2025-06,FWD201WR,分散剂,5.4207,5.0593,32.31,0.06
WO00811,2025-06,FWD201WR,珠光粉基材,3.9356,3.8981,7.38,0.11
WO01239,2025-04,FWD524,色料,0.7796,0.787,38.6,-0.0
WO01239,2025-04,FWD524,分散剂,0.0791,0.0731,51.71,0.02
WO01239,2025-04,FWD524,云母粉,1.0394,1.0592,17.09,0.1
WO01239,2025-04,FWD524,包装材料,0.6835,0.6315,47.29,-0.08
WO00365,2025-06,HC010AS,合成云母,2.749,2.7228,69.45,-0.07
WO00365,2025-06,HC010AS,色料,11.1793,11.3922,70.47,0.1
WO00365,2025-06,HC010AS,云母粉,1.0996,1.0787,65.9,0.09
WO00706,2024-11,FWD6820,合成云母,2.5304,2.3376,20.18,0.12
WO00706,2024-11,FWD6820,分散剂,4.8221,4.5465,8.26,0.11
WO00706,2024-11,FWD6820,钛白粉,8.5461,8.0577,74.17,0.14
WO00706,2024-11,FWD6820,珠光粉基材,9.501,9.2295,68.43,-0.01
WO02431,2025-10,FWD7365,包装材料,1.2874,1.2384,61.83,0.06
WO02431,2025-10,FWD7365,合成云母,0.8286,0.8522,58.57,0.05
WO02431,2025-10,FWD7365,分散剂,1.8866,1.7428,64.74,0.12
WO02431,2025-10,FWD7365,钛白粉,1.6189,1.6651,54.11,-0.01
WO01965,2025-10,BHC9327GP,珠光粉基材,0.5796,0.5299,17.56,-0.01
WO01965,2025-10,BHC9327GP,云母粉,2.7821,2.8616,24.95,0.0
WO01036,2025-04,FWD522WR,钛白粉,4.5076,4.0783,56.58,0.06
WO01036,2025-04,FWD522WR,色料,2.9252,2.8137,51.47,-0.01
WO00466,2025-11,FWD424,分散剂,0.5316,0.5417,75.62,0.03
WO00466,2025-11,FWD424,色料,0.4968,0.4684,45.17,0.04
WO00466,2025-11,FWD424,钛白粉,1.4728,1.4027,66.38,-0.09
WO00396,2025-10,FWD235,钛白粉,11.1533,10.1973,7.21,-0.02
WO00396,2025-10,FWD235,合成云母,2.3953,2.4866,8.23,-0.04
WO00396,2025-10,FWD235,分散剂,5.5392,5.17,51.39,-0.03
WO00796,2025-05,FWD219,合成云母,1.08,1.0698,36.56,0.1
WO00796,2025-05,FWD219,云母粉,4.582,4.3202,30.62,0.07
WO00796,2025-05,FWD219,色料,0.5564,0.567,29.27,0.01
WO00796,2025-05,FWD219,珠光粉基材,5.4657,5.2574,13.71,-0.04
WO00532,2025-05,FWD355,钛白粉,0.5037,0.5085,39.41,0.02
WO00532,2025-05,FWD355,包装材料,0.7381,0.71,5.48,0.03
WO00532,2025-05,FWD355,分散剂,0.8279,0.8279,44.4,-0.06
WO00532,2025-05,FWD355,珠光粉基材,0.9776,0.9962,65.4,-0.07
WO02437,2025-04,FWD6003,合成云母,0.8946,0.9202,59.16,-0.0
WO02437,2025-04,FWD6003,珠光粉基材,2.4602,2.343,38.92,-0.01
WO02437,2025-04,FWD6003,色料,2.5794,2.6286,48.3,-0.03
WO02437,2025-04,FWD6003,分散剂,2.7882,2.8147,78.3,-0.05
WO01091,2025-05,FWD415Y,云母粉,3.7983,3.5813,55.05,-0.01
WO01091,2025-05,FWD415Y,钛白粉,7.8433,7.2457,15.48,-0.08
WO00659,2025-01,FWD111,包装材料,4.369,3.9945,75.72,0.11
WO00659,2025-01,FWD111,云母粉,7.9829,8.363,76.68,0.14
WO00659,2025-01,FWD111,色料,7.4975,6.9262,27.87,0.05
WO02225,2025-09,FWD6003,合成云母,0.1407,0.1286,14.72,-0.1
WO02225,2025-09,FWD6003,钛白粉,0.439,0.4599,13.16,0.14
WO02225,2025-09,FWD6003,包装材料,0.076,0.0738,31.19,0.13
WO01709,2024-11,FWD221,合成云母,0.549,0.5647,35.35,0.11
WO01709,2024-11,FWD221,色料,0.4289,0.3962,9.36,-0.02
WO01029,2025-01,FWD5890,云母粉,6.838,6.9683,11.77,0.09
WO01029,2025-01,FWD5890,合成云母,5.8693,5.5339,46.74,0.05
WO00548,2025-10,FWD509,分散剂,0.8177,0.8489,28.72,-0.02
WO00548,2025-10,FWD509,合成云母,0.7969,0.8273,13.79,-0.04
WO00548,2025-10,FWD509,色料,0.1871,0.1853,56.46,0.11
WO00548,2025-10,FWD509,珠光粉基材,0.1594,0.1655,32.71,0.13
WO00221,2025-11,FWD6603B,钛白粉,4.5774,4.4466,20.69,0.06
WO00221,2025-11,FWD6603B,云母粉,5.7378,5.9564,42.72,-0.09
WO00221,2025-11,FWD6603B,珠光粉基材,5.9312,5.8183,73.9,0.07
WO00013,2024-12,FWD3504,珠光粉基材,0.4586,0.4805,66.66,-0.07
WO00013,2024-12,FWD3504,色料,1.2383,1.2029,15.75,-0.06
WO00013,2024-12,FWD3504,钛白粉,1.3071,1.2075,17.0,0.07
WO02399,2025-11,BHC9320YB,分散剂,8.7403,8.2408,8.16,-0.04
WO02399,2025-11,BHC9320YB,包装材料,5.0865,4.7959,36.69,-0.04
WO02399,2025-11,BHC9320YB,色料,13.1104,12.8607,29.91,-0.01
WO01464,2025-06,FWD402,珠光粉基材,3.0657,3.0073,25.05,0.09
WO01464,2025-06,FWD402,钛白粉,5.5592,5.3474,24.82,-0.08
WO01464,2025-06,FWD402,色料,0.7358,0.7428,75.75,0.05
WO00513,2025-11,FWD5870A,钛白粉,1.1381,1.0514,39.57,-0.01
WO00513,2025-11,FWD5870A,珠光粉基材,5.7506,5.8054,14.56,-0.08
WO00513,2025-11,FWD5870A,色料,2.8753,2.6289,46.1,0.0
WO01568,2025-02,FWD289,合成云母,4.823,4.823,20.52,0.06
WO01568,2025-02,FWD289,云母粉,7.0597,6.5891,48.19,0.13
WO01568,2025-02,FWD289,钛白粉,11.1139,11.2197,69.12,0.13
WO00553,2025-01,FWD5873A,钛白粉,2.2041,2.1621,79.45,0.12
WO00553,2025-01,FWD5873A,分散剂,9.4987,8.8655,6.29,-0.05
WO00553,2025-01,FWD5873A,合成云母,1.1021,1.0286,76.15,0.04
WO00108,2024-10,FWD235,分散剂,0.5247,0.4847,47.94,-0.04
WO00108,2024-10,FWD235,云母粉,8.29,8.369,48.33,-0.01
WO01650,2025-06,BHC9230YBH,包装材料,0.7648,0.7866,57.09,0.11
WO01650,2025-06,BHC9230YBH,合成云母,0.1379,0.1379,73.72,0.11
WO01650,2025-06,BHC9230YBH,色料,0.3469,0.3502,17.99,0.14
WO02377,2024-10,FWD3504,合成云母,0.6913,0.7176,38.11,0.13
WO02377,2024-10,FWD3504,分散剂,0.869,0.8276,62.92,0.14
WO00561,2025-06,FWDD23X,色料,3.6653,3.7352,58.48,-0.04
WO00561,2025-06,FWDD23X,包装材料,1.4661,1.4522,33.42,0.03
WO01926,2025-07,FWD100,分散剂,3.7678,3.6601,42.47,0.14
WO01926,2025-07,FWD100,云母粉,4.9292,5.117,16.47,0.08
WO01926,2025-07,FWD100,钛白粉,1.1048,1.1469,60.93,0.03
WO01317,2025-02,FWD413,包装材料,2.4803,2.4803,8.95,0.1
WO01317,2025-02,FWD413,珠光粉基材,2.6803,2.6038,73.88,-0.02
WO01317,2025-02,FWD413,分散剂,3.9005,3.6776,71.83,-0.01
WO00979,2024-10,FWD299,包装材料,0.485,0.485,14.93,-0.09
WO00979,2024-10,FWD299,云母粉,0.6594,0.6531,71.07,0.07
WO00979,2024-10,FWD299,珠光粉基材,0.0926,0.0847,32.31,0.09
WO00979,2024-10,FWD299,合成云母,0.9755,1.0033,10.79,0.09
WO01063,2025-11,FWD5870A,合成云母,2.8626,2.7536,16.52,0.14
WO01063,2025-11,FWD5870A,分散剂,1.1074,1.0758,22.19,0.09
WO02275,2025-03,FWD7305,分散剂,3.4663,3.4663,36.5,0.11
WO02275,2025-03,FWD7305,合成云母,1.8569,1.7154,73.55,0.07
WO02275,2025-03,FWD7305,色料,1.8569,1.7685,77.21,-0.06
WO00470,2025-01,FWD421,分散剂,2.3981,2.4438,67.17,-0.05
WO00470,2025-01,FWD421,云母粉,4.9352,5.0292,79.63,-0.03
WO00857,2025-09,FWD205A,包装材料,1.8673,1.8318,49.96,0.13
WO00857,2025-09,FWD205A,钛白粉,0.2457,0.241,7.7,-0.02
WO00857,2025-09,FWD205A,分散剂,1.5823,1.5672,61.51,0.14
WO01233,2025-01,BHC89234BG,合成云母,12.8113,11.7132,18.29,-0.02
WO01233,2025-01,BHC89234BG,珠光粉基材,12.1778,12.0618,39.86,-0.1
WO01233,2025-01,BHC89234BG,分散剂,7.18,7.3167,26.74,-0.05
