month,sku,category,base_price,observed_price,elasticity_coef,demand_index,competitor_price_index
2025-04,FWD111,银白系列,29.0,24.65,-0.5,1.97,0.99
2025-05,FWD111,银白系列,29.0,24.07,-2.49,0.79,1.11
2025-06,FWD111,银白系列,29.0,32.77,-0.94,0.54,1.27
2025-07,FWD111,银白系列,29.0,23.78,-2.06,1.47,0.84
2025-08,FWD111,银白系列,29.0,24.07,-1.43,1.61,0.83
2025-09,FWD111,银白系列,29.0,25.23,-1.98,1.44,0.9
2025-10,FWD111,银白系列,29.0,28.42,-1.54,1.12,0.87
2025-11,FWD111,银白系列,29.0,25.81,-1.18,0.92,0.81
2024-10,FWD111M,银白系列,29.0,28.42,-1.76,0.92,0.88
2024-11,FWD111M,银白系列,29.0,28.42,-1.21,0.71,1.0
2024-12,FWD111M,银白系列,29.0,31.03,-0.84,1.39,0.97
2025-01,FWD111M,银白系列,29.0,24.36,-1.61,1.81,1.16
2025-02,FWD111M,银白系列,29.0,33.93,-0.93,1.88,1.29
2025-03,FWD111M,银白系列,29.0,33.93,-1.59,0.6,1.19
2025-04,FWD111M,银白系列,29.0,33.93,-2.94,1.51,0.93
2025-05,FWD111M,银白系列,29.0,25.52,-0.57,1.18,0.84
2025-06,FWD111M,银白系列,29.0,33.93,-2.67,1.04,1.27
2025-07,FWD111M,银白系列,29.0,33.93,-2.49,1.1,1.03
2025-08,FWD111M,银白系列,29.0,28.71,-0.68,0.81,1.3
2025-09,FWD111M,银白系列,29.0,31.03,-0.73,0.62,0.88
2025-10,FWD111M,银白系列,29.0,25.81,-2.05,1.13,1.21
2025-11,FWD111M,银白系列,29.0,26.97,-0.55,1.2,1.07
2024-10,FWD111MT,银白系列,29.0,27.55,-0.56,0.79,1.02
2024-11,FWD111MT,银白系列,29.0,29.58,-0.77,0.96,1.1
2024-12,FWD111MT,银白系列,29.0,25.23,-1.19,1.37,0.82
2025-01,FWD111MT,银白系列,29.0,26.68,-0.84,0.56,1.21
2025-02,FWD111MT,银白系列,29.0,26.39,-1.92,0.58,1.03
2025-03,FWD111MT,银白系列,29.0,32.77,-1.29,1.1,1.07
2025-04,FWD111MT,银白系列,29.0,33.64,-0.68,1.61,1.05
2025-05,FWD111MT,银白系列,29.0,33.93,-1.72,0.61,1.22
2025-06,FWD111MT,银白系列,29.0,33.35,-1.4,1.84,1.09
2025-07,FWD111MT,银白系列,29.0,24.36,-0.93,0.79,1.06
2025-08,FWD111MT,银白系列,29.0,25.23,-0.57,1.32,1.17
2025-09,FWD111MT,银白系列,29.0,31.61,-1.77,1.41,0.92
2025-10,FWD111MT,银白系列,29.0,32.77,-1.93,1.81,1.07
2025-11,FWD111MT,银白系列,29.0,33.06,-0.81,0.77,1.14
2024-10,FWD119,银白系列,30.0,24.3,-2.2,0.84,1.18
2024-11,FWD119,银白系列,30.0,24.3,-0.6,1.68,1.09
2024-12,FWD119,银白系列,30.0,29.1,-1.2,1.52,1.3
2025-01,FWD119,银白系列,30.0,32.4,-1.87,1.1,1.27
2025-02,FWD119,银白系列,30.0,28.8,-2.41,1.67,0.87
2025-03,FWD119,银白系列,30.0,28.5,-1.02,0.5,1.07
2025-04,FWD119,银白系列,30.0,34.2,-2.79,0.77,1.11
2025-05,FWD119,银白系列,30.0,25.8,-2.18,1.99,1.14
2025-06,FWD119,银白系列,30.0,24.3,-1.35,1.0,1.29
2025-07,FWD119,银白系列,30.0,32.1,-0.66,1.11,0.88
2025-08,FWD119,银白系列,30.0,31.8,-2.82,1.91,0.84
2025-09,FWD119,银白系列,30.0,27.9,-1.57,1.1,1.03
2025-10,FWD119,银白系列,30.0,24.6,-1.51,1.39,1.19
2025-11,FWD119,银白系列,30.0,29.1,-2.33,1.41,0.94
2024-10,FWD120,银白系列,28.0,22.68,-1.63,0.74,1.25
2024-11,FWD120,银白系列,28.0,26.04,-2.91,0.55,1.1
2024-12,FWD120,银白系列,28.0,29.68,-1.18,1.31,1.29
2025-01,FWD120,银白系列,28.0,30.24,-1.5,1.26,0.95
2025-02,FWD120,银白系列,28.0,32.2,-2.68,1.01,1.17
2025-03,FWD120,银白系列,28.0,29.4,-1.72,1.47,0.94
2025-04,FWD120,银白系列,28.0,28.56,-1.87,1.19,1.21
2025-05,FWD120,银白系列,28.0,30.24,-0.72,1.16,0.98
2025-06,FWD120,银白系列,28.0,32.48,-2.55,1.1,1.0
2025-07,FWD120,银白系列,28.0,31.08,-2.51,1.49,0.81
2025-08,FWD120,银白系列,28.0,25.48,-1.46,1.67,1.28
2025-09,FWD120,银白系列,28.0,29.4,-2.84,1.96,1.05
2025-10,FWD120,银白系列,28.0,26.6,-1.67,0.72,1.11
2025-11,FWD120,银白系列,28.0,28.0,-0.71,1.58,0.88
2024-10,FWD122,银白系列,30.0,27.9,-0.91,1.37,1.05
2024-11,FWD122,银白系列,30.0,33.6,-1.13,1.3,1.14
2024-12,FWD122,银白系列,30.0,31.8,-3.0,1.52,1.2
2025-01,FWD122,银白系列,30.0,32.4,-2.08,1.82,1.13
2025-02,FWD122,银白系列,30.0,33.0,-0.83,1.09,1.16
2025-03,FWD122,银白系列,30.0,29.4,-2.17,0.56,1.14
2025-04,FWD122,银白系列,30.0,34.8,-2.58,0.76,1.17
2025-05,FWD122,银白系列,30.0,27.3,-0.87,0.77,1.06
2025-06,FWD122,银白系列,30.0,28.8,-1.85,0.71,1.21
2025-07,FWD122,银白系列,30.0,26.1,-1.47,0.87,1.28
2025-08,FWD122,银白系列,30.0,33.0,-1.29,1.77,1.19
2025-09,FWD122,银白系列,30.0,26.7,-0.92,1.91,1.07
2025-10,FWD122,银白系列,30.0,30.9,-0.75,0.65,1.0
2025-11,FWD122,银白系列,30.0,32.1,-2.35,1.87,0.89
2024-10,FWD123,银白系列,30.0,32.7,-1.1,1.9,0.89
2024-11,FWD123,银白系列,30.0,28.8,-0.64,1.95,0.89
2024-12,FWD123,银白系列,30.0,26.7,-0.63,1.54,0.97
2025-01,FWD123,银白系列,30.0,32.1,-1.48,0.65,1.23
2025-02,FWD123,银白系列,30.0,25.2,-0.65,1.57,0.98
2025-03,FWD123,银白系列,30.0,31.8,-2.94,1.28,1.28
2025-04,FWD123,银白系列,30.0,30.6,-0.63,0.52,0.96
2025-05,FWD123,银白系列,30.0,32.1,-1.78,1.74,0.91
2025-06,FWD123,银白系列,30.0,31.5,-2.51,0.68,1.14
2025-07,FWD123,银白系列,30.0,30.9,-1.72,1.89,0.86
2025-08,FWD123,银白系列,30.0,29.7,-1.8,0.57,1.06
2025-09,FWD123,银白系列,30.0,30.9,-1.24,0.9,0.82
2025-10,FWD123,银白系列,30.0,26.4,-0.9,0.96,0.96
2025-11,FWD123,银白系列,30.0,27.9,-1.87,0.99,0.85
2024-10,FWD123T,银白系列,33.0,31.35,-1.18,1.83,1.21
2024-11,FWD123T,银白系列,33.0,37.62,-1.81,1.29,0.92
2024-12,FWD123T,银白系列,33.0,37.62,-1.93,0.57,1.28
2025-01,FWD123T,银白系列,33.0,37.62,-2.34,1.55,1.12
2025-02,FWD123T,银白系列,33.0,38.94,-2.73,1.69,0.82
2025-03,FWD123T,银白系列,33.0,32.34,-2.12,1.42,1.27
2025-04,FWD123T,银白系列,33.0,34.32,-2.69,1.21,0.83
2025-05,FWD123T,银白系列,33.0,28.05,-1.17,1.22,0.94
2025-06,FWD123T,银白系列,33.0,37.62,-2.68,1.29,1.23
2025-07,FWD123T,银白系列,33.0,28.71,-2.13,0.71,0.97
2025-08,FWD123T,银白系列,33.0,36.96,-0.98,1.14,0.83
2025-09,FWD123T,银白系列,33.0,36.63,-2.19,1.26,1.2
2025-10,FWD123T,银白系列,33.0,32.34,-1.88,0.95,0.88
2025-11,FWD123T,银白系列,33.0,31.02,-1.77,1.01,1.17
2024-10,FWD123TS,银白系列,38.0,38.76,-1.33,1.01,1.09
2024-11,FWD123TS,银白系列,38.0,42.56,-0.59,0.98,1.16
2024-12,FWD123TS,银白系列,38.0,33.06,-1.47,0.69,1.28
2025-01,FWD123TS,银白系列,38.0,45.22,-0.72,1.72,1.01
2025-02,FWD123TS,银白系列,38.0,32.3,-2.17,1.78,1.24
2025-03,FWD123TS,银白系列,38.0,42.56,-2.89,1.06,0.91
2025-04,FWD123TS,银白系列,38.0,33.82,-1.38,1.94,0.87
2025-05,FWD123TS,银白系列,38.0,43.7,-0.81,1.74,1.2
2025-06,FWD123TS,银白系列,38.0,31.54,-0.83,0.51,0.97
2025-07,FWD123TS,银白系列,38.0,33.44,-2.92,1.45,1.08
2025-08,FWD123TS,银白系列,38.0,31.92,-2.54,0.95,1.23
2025-09,FWD123TS,银白系列,38.0,36.1,-1.69,1.38,1.3
2025-10,FWD123TS,银白系列,38.0,38.0,-1.77,1.78,1.3
2025-11,FWD123TS,银白系列,38.0,37.24,-2.44,1.46,1.02
2024-10,FWD151,银白系列,25.0,26.5,-0.63,0.72,0.8
2024-11,FWD151,银白系列,25.0,25.25,-2.08,1.61,0.88
2024-12,FWD151,银白系列,25.0,22.0,-2.08,1.94,1.06
2025-01,FWD151,银白系列,25.0,21.75,-0.99,1.32,1.21
2025-02,FWD151,银白系列,25.0,22.0,-1.16,0.59,0.9
2025-03,FWD151,银白系列,25.0,28.5,-2.64,0.51,0.95
2025-04,FWD151,银白系列,25.0,23.75,-2.77,0.51,0.84
2025-05,FWD151,银白系列,25.0,22.5,-2.39,0.74,1.16
2025-06,FWD151,银白系列,25.0,20.25,-1.84,0.75,1.04
2025-07,FWD151,银白系列,25.0,20.75,-1.7,1.18,1.19
2025-08,FWD151,银白系列,25.0,24.75,-0.75,0.98,1.17
2025-09,FWD151,银白系列,25.0,26.25,-2.09,1.23,0.99
2025-10,FWD151,银白系列,25.0,29.5,-0.84,0.99,1.11
2025-11,FWD151,银白系列,25.0,27.75,-1.72,1.5,1.03
2024-10,FWD152,银白系列,27.0,27.54,-0.75,1.59,1.0
2024-11,FWD152,银白系列,27.0,23.49,-1.63,1.16,0.86
2024-12,FWD152,银白系列,27.0,22.41,-1.83,1.53,0.9
2025-01,FWD152,银白系列,27.0,29.43,-1.03,1.89,1.13
2025-02,FWD152,银白系列,27.0,31.86,-0.58,1.89,0.96
2025-03,FWD152,银白系列,27.0,27.81,-2.57,1.35,1.11
2025-04,FWD152,银白系列,27.0,31.05,-1.15,1.93,1.17
2025-05,FWD152,银白系列,27.0,28.62,-1.0,1.38,1.12
2025-06,FWD152,银白系列,27.0,27.54,-2.41,0.85,0.88
2025-07,FWD152,银白系列,27.0,29.16,-1.37,0.87,1.09
2025-08,FWD152,银白系列,27.0,23.76,-0.76,1.33,0.95
2025-09,FWD152,银白系列,27.0,27.0,-1.96,1.47,1.17
2025-10,FWD152,银白系列,27.0,24.03,-0.79,1.71,0.94
2025-11,FWD152,银白系列,27.0,27.81,-0.65,0.89,0.93
2024-10,FWD153,银白系列,26.0,28.86,-0.97,1.42,1.16
2024-11,FWD153,银白系列,26.0,25.48,-2.55,1.74,1.23
2024-12,FWD153,银白系列,26.0,22.62,-1.9,0.76,0.83
2025-01,FWD153,银白系列,26.0,23.4,-2.86,1.85,1.03
2025-02,FWD153,银白系列,26.0,26.0,-1.68,0.67,1.05
2025-03,FWD153,银白系列,26.0,24.18,-0.76,1.37,1.08
2025-04,FWD153,银白系列,26.0,23.4,-0.71,0.72,1.21
2025-05,FWD153,银白系列,26.0,21.84,-1.12,1.69,1.0
2025-06,FWD153,银白系列,26.0,29.9,-1.02,1.32,0.89
2025-07,FWD153,银白系列,26.0,23.66,-0.79,1.33,1.1
2025-08,FWD153,银白系列,26.0,29.9,-0.65,1.28,1.05
2025-09,FWD153,银白系列,26.0,24.44,-1.58,0.82,1.17
2025-10,FWD153,银白系列,26.0,24.7,-1.24,1.27,0.89
2025-11,FWD153,银白系列,26.0,24.96,-1.41,0.59,1.22
2024-10,FWD163,银白系列,25.0,30.0,-1.12,1.65,0.9
2024-11,FWD163,银白系列,25.0,23.0,-2.3,1.88,1.12
2024-12,FWD163,银白系列,25.0,28.5,-0.96,1.36,0.85
2025-01,FWD163,银白系列,25.0,28.25,-2.83,0.74,0.91
2025-02,FWD163,银白系列,25.0,29.0,-1.18,1.8,0.81
2025-03,FWD163,银白系列,25.0,25.75,-2.63,1.67,1.16
2025-04,FWD163,银白系列,25.0,23.5,-1.53,0.54,0.95
2025-05,FWD163,银白系列,25.0,26.5,-1.81,1.6,0.9
2025-06,FWD163,银白系列,25.0,22.0,-1.47,0.51,1.01
2025-07,FWD163,银白系列,25.0,22.0,-1.82,1.39,0.85
2025-08,FWD163,银白系列,25.0,21.5,-0.58,0.57,0.88
2025-09,FWD163,银白系列,25.0,22.0,-2.62,0.68,1.14
2025-10,FWD163,银白系列,25.0,24.5,-1.25,1.2,1.13
2025-11,FWD163,银白系列,25.0,26.0,-2.87,1.62,0.84
2024-10,FWD173,银白系列,26.0,24.96,-2.72,0.69,0.89
2024-11,FWD173,银白系列,26.0,28.34,-2.7,1.17,1.16
2024-12,FWD173,银白系列,26.0,30.42,-1.35,1.64,1.27
2025-01,FWD173,银白系列,26.0,27.3,-2.51,1.59,0.82
2025-02,FWD173,银白系列,26.0,25.22,-1.57,1.01,1.07
2025-03,FWD173,银白系列,26.0,25.48,-1.35,1.82,1.21
2025-04,FWD173,银白系列,26.0,21.84,-1.06,1.65,0.94
2025-05,FWD173,银白系列,26.0,23.66,-2.75,1.68,1.14
2025-06,FWD173,银白系列,26.0,22.36,-1.44,1.01,0.8
2025-07,FWD173,银白系列,26.0,30.94,-1.34,0.73,0.94
2025-08,FWD173,银白系列,26.0,29.64,-2.68,1.39,1.15
2025-09,FWD173,银白系列,26.0,30.94,-2.08,1.58,1.22
2025-10,FWD173,银白系列,26.0,28.6,-2.83,1.48,1.2
2025-11,FWD173,银白系列,26.0,27.82,-2.46,1.39,0.86
2024-10,FWD201,虹彩系列,37.5,37.5,-1.26,0.53,0.85
2024-11,FWD201,虹彩系列,37.5,31.88,-0.58,0.91,1.01
2024-12,FWD201,虹彩系列,37.5,34.88,-2.1,1.05,0.95
2025-01,FWD201,虹彩系列,37.5,33.0,-0.69,0.54,1.27
2025-02,FWD201,虹彩系列,37.5,41.63,-0.78,0.54,1.3
2025-03,FWD201,虹彩系列,37.5,36.38,-0.67,1.04,0.88
2025-04,FWD201,虹彩系列,37.5,37.5,-2.42,0.59,1.1
2025-05,FWD201,虹彩系列,37.5,40.88,-2.85,1.95,1.02
2025-06,FWD201,虹彩系列,37.5,30.38,-0.85,0.84,0.86
2025-07,FWD201,虹彩系列,37.5,39.75,-2.3,1.85,0.97
2025-08,FWD201,虹彩系列,37.5,43.12,-2.35,1.74,1.14
2025-09,FWD201,虹彩系列,37.5,33.38,-1.39,1.57,0.94
2025-10,FWD201,虹彩系列,37.5,31.88,-2.38,1.42,1.25
2025-11,FWD201,虹彩系列,37.5,37.5,-1.99,1.87,1.12
2024-10,FWD205,虹彩系列,37.5,43.5,-2.08,0.96,0.83
2024-11,FWD205,虹彩系列,37.5,40.12,-1.89,2.0,0.99
2024-12,FWD205,虹彩系列,37.5,32.62,-1.94,0.87,1.04
2025-01,FWD205,虹彩系列,37.5,42.37,-2.73,0.88,1.02
2025-02,FWD205,虹彩系列,37.5,38.25,-2.72,1.65,1.2
2025-03,FWD205,虹彩系列,37.5,30.75,-1.71,0.54,1.26
2025-04,FWD205,虹彩系列,37.5,38.25,-1.02,0.65,1.0
2025-05,FWD205,虹彩系列,37.5,31.5,-1.09,0.74,1.06
2025-06,FWD205,虹彩系列,37.5,37.88,-1.64,1.72,1.14
2025-07,FWD205,虹彩系列,37.5,32.25,-1.88,0.55,1.16
2025-08,FWD205,虹彩系列,37.5,40.5,-0.56,1.2,0.9
2025-09,FWD205,虹彩系列,37.5,36.75,-2.89,0.87,1.03
2025-10,FWD205,虹彩系列,37.5,31.12,-2.43,0.57,1.24
2025-11,FWD205,虹彩系列,37.5,37.88,-2.1,0.91,0.95
2024-10,FWD205A,虹彩系列,37.5,32.62,-1.0,1.56,0.81
2024-11,FWD205A,虹彩系列,37.5,32.62,-1.59,1.3,1.06
2024-12,FWD205A,虹彩系列,37.5,36.38,-2.11,1.14,0.93
2025-01,FWD205A,虹彩系列,37.5,31.88,-2.93,0.51,0.9
2025-02,FWD205A,虹彩系列,37.5,43.12,-1.32,0.8,1.0
2025-03,FWD205A,虹彩系列,37.5,43.88,-0.94,1.16,0.93
2025-04,FWD205A,虹彩系列,37.5,36.0,-1.91,1.73,0.84
2025-05,FWD205A,虹彩系列,37.5,37.88,-1.54,1.75,1.15
2025-06,FWD205A,虹彩系列,37.5,30.38,-1.81,1.97,1.0
2025-07,FWD205A,虹彩系列,37.5,34.5,-1.94,1.0,1.09
2025-08,FWD205A,虹彩系列,37.5,42.0,-1.11,0.58,1.09
2025-09,FWD205A,虹彩系列,37.5,31.88,-1.33,0.88,0.81
2025-10,FWD205A,虹彩系列,37.5,38.62,-1.36,1.32,1.27
2025-11,FWD205A,虹彩系列,37.5,40.88,-2.83,1.64,1.23
2024-10,FWD205M,虹彩系列,37.5,34.12,-1.42,0.5,0.92
2024-11,FWD205M,虹彩系列,37.5,31.12,-0.51,1.68,0.82
2024-12,FWD205M,虹彩系列,37.5,37.5,-1.47,1.71,0.95
2025-01,FWD205M,虹彩系列,37.5,42.37,-0.92,1.89,1.0
2025-02,FWD205M,虹彩系列,37.5,45.0,-1.48,1.46,1.12
2025-03,FWD205M,虹彩系列,37.5,39.0,-2.5,1.53,1.21
2025-04,FWD205M,虹彩系列,37.5,38.25,-2.04,0.94,1.01
2025-05,FWD205M,虹彩系列,37.5,31.5,-2.04,0.82,0.94
2025-06,FWD205M,虹彩系列,37.5,37.12,-2.88,0.9,0.92
2025-07,FWD205M,虹彩系列,37.5,34.88,-2.56,0.77,1.17
2025-08,FWD205M,虹彩系列,37.5,40.12,-0.58,1.39,1.09
2025-09,FWD205M,虹彩系列,37.5,45.0,-0.72,1.17,0.81
2025-10,FWD205M,虹彩系列,37.5,43.5,-1.22,0.75,1.02
2025-11,FWD205M,虹彩系列,37.5,39.75,-0.53,0.54,1.03
2024-10,FWD2205G,虹彩系列,37.5,42.37,-1.71,1.31,0.89
2024-11,FWD2205G,虹彩系列,37.5,30.75,-2.78,0.74,1.13
2024-12,FWD2205G,虹彩系列,37.5,42.0,-2.93,1.44,0.85
2025-01,FWD2205G,虹彩系列,37.5,43.88,-0.67,1.92,1.2
2025-02,FWD2205G,虹彩系列,37.5,40.12,-2.41,1.63,1.09
2025-03,FWD2205G,虹彩系列,37.5,43.12,-1.51,1.67,1.02
2025-04,FWD2205G,虹彩系列,37.5,31.5,-2.63,1.96,1.28
2025-05,FWD2205G,虹彩系列,37.5,38.25,-1.17,1.44,1.28
2025-06,FWD2205G,虹彩系列,37.5,37.5,-0.68,1.72,1.23
2025-07,FWD2205G,虹彩系列,37.5,43.88,-0.57,1.84,0.95
2025-08,FWD2205G,虹彩系列,37.5,41.25,-2.65,1.18,1.24
2025-09,FWD2205G,虹彩系列,37.5,37.88,-2.11,1.89,1.09
2025-10,FWD2205G,虹彩系列,37.5,37.5,-1.9,1.16,0.81
2025-11,FWD2205G,虹彩系列,37.5,42.0,-2.57,0.89,0.82
2024-10,FWD211,虹彩系列,37.5,37.12,-1.81,0.64,1.22
2024-11,FWD211,虹彩系列,37.5,35.62,-0.89,0.63,1.1
2024-12,FWD211,虹彩系列,37.5,39.75,-2.77,0.63,0.88
2025-01,FWD211,虹彩系列,37.5,40.12,-0.77,1.39,1.2
2025-02,FWD211,虹彩系列,37.5,36.38,-1.5,1.86,0.88
2025-03,FWD211,虹彩系列,37.5,36.0,-1.18,1.91,1.14
2025-04,FWD211,虹彩系列,37.5,40.12,-0.88,0.58,0.82
2025-05,FWD211,虹彩系列,37.5,40.88,-2.11,0.89,1.2
2025-06,FWD211,虹彩系列,37.5,36.38,-1.02,1.03,0.82
2025-07,FWD211,虹彩系列,37.5,39.75,-0.75,0.77,0.94
2025-08,FWD211,虹彩系列,37.5,40.5,-0.77,1.34,0.97
2025-09,FWD211,虹彩系列,37.5,31.5,-2.06,1.9,1.09
2025-10,FWD211,虹彩系列,37.5,39.75,-0.85,1.46,0.89
2025-11,FWD211,虹彩系列,37.5,43.12,-1.4,1.89,1.15
2024-10,FWD215,虹彩系列,37.5,39.0,-2.29,1.08,0.92
2024-11,FWD215,虹彩系列,37.5,39.0,-2.34,0.54,1.03
2024-12,FWD215,虹彩系列,37.5,31.12,-2.22,0.52,1.08
2025-01,FWD215,虹彩系列,37.5,32.25,-2.74,1.97,0.98
2025-02,FWD215,虹彩系列,37.5,42.37,-1.1,1.11,1.07
2025-03,FWD215,虹彩系列,37.5,37.5,-2.69,1.36,1.19
2025-04,FWD215,虹彩系列,37.5,37.88,-2.44,1.3,1.05
2025-05,FWD215,虹彩系列,37.5,43.12,-1.46,0.71,0.93
2025-06,FWD215,虹彩系列,37.5,45.0,-1.8,1.63,1.02
2025-07,FWD215,虹彩系列,37.5,36.38,-1.56,1.43,0.83
2025-08,FWD215,虹彩系列,37.5,33.38,-2.25,1.74,1.09
2025-09,FWD215,虹彩系列,37.5,40.88,-1.11,1.04,1.18
2025-10,FWD215,虹彩系列,37.5,42.37,-1.5,2.0,1.24
2025-11,FWD215,虹彩系列,37.5,31.5,-1.21,0.82,1.16
2024-10,FWD219,虹彩系列,37.5,35.25,-0.76,1.97,0.82
2024-11,FWD219,虹彩系列,37.5,38.25,-2.36,0.64,0.97
2024-12,FWD219,虹彩系列,37.5,30.38,-0.92,0.75,1.25
2025-01,FWD219,虹彩系列,37.5,34.5,-2.3,0.72,0.86
2025-02,FWD219,虹彩系列,37.5,34.88,-2.76,0.55,0.9
2025-03,FWD219,虹彩系列,37.5,30.38,-2.28,1.35,1.0
2025-04,FWD219,虹彩系列,37.5,41.25,-2.84,1.23,1.26
2025-05,FWD219,虹彩系列,37.5,41.63,-1.13,0.69,0.93
2025-06,FWD219,虹彩系列,37.5,41.25,-1.65,1.45,1.07
2025-07,FWD219,虹彩系列,37.5,40.88,-0.61,1.8,1.03
2025-08,FWD219,虹彩系列,37.5,31.5,-1.62,0.62,0.94
2025-09,FWD219,虹彩系列,37.5,45.0,-1.71,1.68,1.22
2025-10,FWD219,虹彩系列,37.5,43.88,-1.44,1.44,1.27
2025-11,FWD219,虹彩系列,37.5,39.38,-1.64,1.31,1.2
2024-10,FWD221,虹彩系列,37.5,44.62,-2.38,1.09,1.11
2024-11,FWD221,虹彩系列,37.5,43.88,-1.9,1.07,0.96
2024-12,FWD221,虹彩系列,37.5,31.5,-0.77,1.01,0.93
2025-01,FWD221,虹彩系列,37.5,39.75,-2.22,0.67,1.11
2025-02,FWD221,虹彩系列,37.5,40.12,-1.19,0.59,1.14
2025-03,FWD221,虹彩系列,37.5,35.25,-1.81,1.55,0.99
2025-04,FWD221,虹彩系列,37.5,35.25,-1.26,0.61,0.84
2025-05,FWD221,虹彩系列,37.5,30.75,-1.29,1.75,1.07
2025-06,FWD221,虹彩系列,37.5,42.0,-1.07,0.81,0.96
2025-07,FWD221,虹彩系列,37.5,40.5,-1.97,0.69,1.06
2025-08,FWD221,虹彩系列,37.5,35.62,-2.35,0.58,1.04
2025-09,FWD221,虹彩系列,37.5,39.0,-2.88,1.48,0.95
