month,warehouse,carrier,destination,shipment_count,total_weight_kg,total_cost_rmb,cost_per_kg,fuel_surcharge_rmb
2024-12,上海仓,德邦,Singapore,25,11.92,959.56,27.18,193.31
2024-12,上海仓,德邦,杭州,35,25.5,3901.5,11.98,117.32
2025-01,上海仓,德邦,上海,15,11.25,401.25,18.93,20.72
2025-01,上海仓,德邦,成都,34,8.36,1279.08,12.69,50.82
2025-01,上海仓,德邦,广州,42,17.06,3710.55,19.77,114.02
2025-01,上海仓,德邦,Frankfurt,14,9.5,1681.5,20.46,165.06
2025-02,上海仓,德邦,Seoul,24,5.38,640.22,6.27,117.14
2025-02,上海仓,德邦,南京,12,15.1,4137.4,3.99,179.52
2025-02,上海仓,德邦,Tokyo,21,8.65,3139.95,18.83,125.33
2025-03,上海仓,德邦,上海,10,28.4,1810.5,6.64,152.71
2025-03,上海仓,德邦,南京,35,21.45,3303.3,21.07,77.39
2025-03,上海仓,德邦,Singapore,29,20.94,6365.76,12.39,158.17
2025-03,上海仓,德邦,北京,37,2.42,880.88,13.77,117.61
2025-03,上海仓,德邦,武汉,35,19.18,9331.07,15.82,45.83
2025-04,上海仓,德邦,北京,16,1.82,899.99,29.3,170.0
2025-04,上海仓,德邦,Frankfurt,15,34.5,5126.7,10.57,170.76
2025-05,上海仓,德邦,北京,15,9.89,4559.29,17.97,80.87
2025-05,上海仓,德邦,成都,11,8.88,1776.0,26.48,173.65
2025-06,上海仓,德邦,南京,21,2.37,692.04,12.23,97.58
2025-06,上海仓,德邦,Singapore,50,2.38,909.16,19.95,104.33
2025-06,上海仓,德邦,Seoul,32,8.96,4659.2,10.14,132.62
2025-06,上海仓,德邦,Los Angeles,33,8.08,674.68,14.2,127.01
2025-07,上海仓,德邦,杭州,6,6.32,2945.12,10.7,82.99
2025-07,上海仓,德邦,Seoul,10,4.96,868.0,9.59,130.83
2025-07,上海仓,德邦,上海,17,14.61,3452.83,17.9,150.32
2025-07,上海仓,德邦,Singapore,46,16.04,3765.39,4.36,128.74
2025-07,上海仓,德邦,重庆,9,18.93,1274.62,26.55,118.32
2025-08,上海仓,德邦,重庆,6,12.72,3975.0,6.06,161.2
2025-08,上海仓,德邦,Los Angeles,15,2.76,1079.16,17.04,60.19
2025-08,上海仓,德邦,Frankfurt,32,2.2,167.75,17.05,3.93
2025-08,上海仓,德邦,北京,49,21.48,1347.87,13.17,1.26
2025-09,上海仓,德邦,Frankfurt,9,11.15,1422.74,27.03,146.34
2025-09,上海仓,德邦,南京,5,5.01,813.29,17.61,165.93
2025-09,上海仓,德邦,武汉,50,8.68,687.89,24.0,87.25
2025-09,上海仓,德邦,北京,26,12.09,2490.54,12.4,189.85
2025-09,上海仓,德邦,杭州,11,17.86,3902.41,26.22,57.79
2025-10,上海仓,德邦,北京,28,15.66,1894.86,12.16,164.12
2025-10,上海仓,德邦,重庆,12,11.32,1774.41,3.47,44.82
2025-10,上海仓,德邦,杭州,19,23.56,4759.12,25.03,144.93
2025-10,上海仓,德邦,成都,41,8.6,294.55,6.81,160.66
2025-10,上海仓,德邦,南京,38,1.25,290.0,25.14,41.2
2025-11,上海仓,德邦,广州,37,2.46,657.64,26.83,77.77
2025-11,上海仓,德邦,重庆,23,28.52,819.95,24.63,191.31
2025-11,上海仓,德邦,深圳,34,7.29,1883.25,17.35,193.29
2024-10,上海仓,京东物流,南京,47,9.0,405.0,4.55,133.91
2024-10,上海仓,京东物流,重庆,36,6.05,663.08,16.15,132.71
2024-10,上海仓,京东物流,Tokyo,24,13.44,1971.2,25.43,80.47
2024-10,上海仓,京东物流,深圳,35,15.12,3076.92,21.12,97.24
2024-10,上海仓,京东物流,北京,35,14.5,388.6,10.12,137.42
2024-11,上海仓,京东物流,西安,25,0.86,697.46,17.79,56.19
2024-11,上海仓,京东物流,深圳,50,6.13,2960.79,21.22,30.6
2024-11,上海仓,京东物流,重庆,10,30.72,7142.4,5.54,18.06
2024-11,上海仓,京东物流,Singapore,33,27.78,5741.2,6.58,84.48
2024-12,上海仓,京东物流,南京,42,1.44,534.24,2.24,58.16
2024-12,上海仓,京东物流,Frankfurt,6,12.87,3161.73,15.88,79.11
2024-12,上海仓,京东物流,北京,6,46.3,2416.86,6.83,156.31
2024-12,上海仓,京东物流,杭州,40,8.84,1608.88,24.8,28.82
2024-12,上海仓,京东物流,重庆,18,37.04,3416.94,11.94,40.95
2025-01,上海仓,京东物流,杭州,35,22.52,4205.61,9.95,149.43
2025-01,上海仓,京东物流,Los Angeles,13,0.91,357.63,16.67,110.16
2025-01,上海仓,京东物流,南京,32,9.08,7254.92,13.95,44.88
2025-02,上海仓,京东物流,北京,34,19.42,9438.12,4.4,144.14
2025-02,上海仓,京东物流,上海,13,6.76,280.54,11.4,88.52
2025-02,上海仓,京东物流,Frankfurt,31,34.16,5790.12,27.43,147.2
2025-02,上海仓,京东物流,Seoul,28,39.55,4358.41,9.86,27.63
2025-02,上海仓,京东物流,Singapore,9,3.72,912.64,9.03,169.0
2025-03,上海仓,京东物流,北京,30,43.05,3108.21,12.29,91.78
2025-03,上海仓,京东物流,深圳,31,5.21,911.75,12.43,103.69
2025-03,上海仓,京东物流,重庆,13,19.06,4145.55,17.09,119.91
2025-03,上海仓,京东物流,上海,13,27.12,6515.58,5.25,77.47
2025-03,上海仓,京东物流,Singapore,32,5.6,2200.8,22.59,135.0
2025-04,上海仓,京东物流,Frankfurt,22,22.55,2052.05,4.61,34.96
2025-04,上海仓,京东物流,重庆,11,29.19,8708.35,13.18,188.3
2025-04,上海仓,京东物流,杭州,33,1.86,272.8,7.7,95.38
2025-05,上海仓,京东物流,重庆,37,6.28,1400.44,9.46,172.29
2025-05,上海仓,京东物流,上海,31,16.65,5522.25,9.24,76.39
2025-05,上海仓,京东物流,南京,5,26.16,4172.52,8.48,149.92
2025-06,上海仓,京东物流,上海,16,15.04,1428.8,26.58,129.39
2025-06,上海仓,京东物流,Frankfurt,6,23.16,3829.12,10.8,44.24
2025-06,上海仓,京东物流,武汉,26,10.84,5262.82,21.82,188.81
2025-06,上海仓,京东物流,西安,42,2.54,1040.13,21.05,165.27
2025-07,上海仓,京东物流,南京,36,18.03,3425.7,21.35,8.72
2025-07,上海仓,京东物流,Tokyo,46,19.45,478.47,12.9,87.68
2025-07,上海仓,京东物流,广州,35,42.75,1470.6,13.85,117.99
2025-07,上海仓,京东物流,Los Angeles,6,3.57,2113.44,25.54,183.22
2025-08,上海仓,京东物流,南京,8,11.8,616.55,2.31,6.41
2025-08,上海仓,京东物流,武汉,39,16.52,3770.69,5.18,34.77
2025-08,上海仓,京东物流,上海,20,10.24,1346.56,27.34,157.76
2025-08,上海仓,京东物流,Los Angeles,32,19.35,4211.85,11.98,16.94
2025-08,上海仓,京东物流,北京,39,13.74,4424.28,26.73,184.4
2025-09,上海仓,京东物流,Seoul,43,1.47,194.04,6.96,173.67
2025-09,上海仓,京东物流,上海,44,18.1,1764.75,23.31,89.0
2025-09,上海仓,京东物流,南京,34,17.12,2469.56,6.85,187.86
2025-09,上海仓,京东物流,重庆,33,2.84,152.65,9.91,65.87
2025-09,上海仓,京东物流,武汉,43,4.7,2951.6,27.36,46.37
2025-10,上海仓,京东物流,北京,5,14.32,2262.56,22.32,165.57
2025-10,上海仓,京东物流,Seoul,25,25.38,6471.9,22.01,135.51
2025-10,上海仓,京东物流,Los Angeles,18,4.91,3353.53,4.29,152.47
2025-11,上海仓,京东物流,南京,48,10.23,1036.64,24.83,11.01
2025-11,上海仓,京东物流,Tokyo,14,4.7,371.3,17.95,117.35
2024-10,上海仓,中外运,Tokyo,46,15.9,7457.1,27.86,180.64
2024-10,上海仓,中外运,西安,36,9.6,1656.0,22.95,75.94
2024-11,上海仓,中外运,Frankfurt,16,7.27,1577.59,18.87,190.98
2024-11,上海仓,中外运,上海,9,6.44,1027.18,22.99,11.84
2024-11,上海仓,中外运,武汉,35,24.25,1687.8,16.46,143.99
2024-11,上海仓,中外运,杭州,26,1.72,839.36,10.36,40.38
2024-11,上海仓,中外运,Seoul,15,13.92,1005.72,23.61,167.59
2024-12,上海仓,中外运,Frankfurt,43,4.58,3260.96,22.83,115.77
2024-12,上海仓,中外运,Singapore,43,19.23,2570.41,11.41,1.74
2024-12,上海仓,中外运,南京,23,4.14,695.52,19.3,113.86
2025-01,上海仓,中外运,Frankfurt,18,11.04,1391.04,12.82,7.13
2025-01,上海仓,中外运,重庆,11,4.79,3899.06,3.07,11.5
2025-01,上海仓,中外运,Tokyo,42,13.58,1928.36,22.24,44.26
2025-01,上海仓,中外运,西安,19,2.05,1203.35,15.38,32.33
2025-02,上海仓,中外运,南京,49,8.19,2462.46,27.65,197.48
2025-02,上海仓,中外运,西安,8,8.01,2667.33,21.11,3.52
2025-03,上海仓,中外运,Tokyo,32,22.75,1838.2,26.66,197.98
2025-03,上海仓,中外运,Frankfurt,40,21.03,4486.4,21.32,117.34
2025-03,上海仓,中外运,北京,48,32.75,5429.95,8.57,59.14
2025-03,上海仓,中外运,杭州,28,3.08,745.36,26.13,173.71
2025-04,上海仓,中外运,武汉,18,21.3,5175.9,12.71,137.9
2025-04,上海仓,中外运,Singapore,45,11.3,2401.25,20.36,190.26
2025-05,上海仓,中外运,杭州,37,3.6,439.2,14.96,155.57
2025-05,上海仓,中外运,武汉,5,7.32,872.91,13.02,55.46
2025-05,上海仓,中外运,北京,36,39.12,3501.24,9.12,95.28
2025-05,上海仓,中外运,Frankfurt,17,19.5,2433.6,9.2,69.45
2025-05,上海仓,中外运,上海,10,12.36,1952.88,16.25,75.73
2025-06,上海仓,中外运,南京,32,6.74,2645.45,16.05,110.51
2025-06,上海仓,中外运,Singapore,45,31.08,3783.99,10.39,158.33
2025-06,上海仓,中外运,深圳,45,4.8,426.0,4.22,138.71
2025-06,上海仓,中外运,武汉,20,5.3,3556.3,2.47,11.58
2025-06,上海仓,中外运,西安,36,25.65,1318.41,21.08,83.95
2025-07,上海仓,中外运,南京,7,5.73,3495.3,21.37,139.27
2025-07,上海仓,中外运,广州,40,18.57,3714.0,12.34,37.15
2025-07,上海仓,中外运,Los Angeles,48,35.16,4438.95,21.71,55.84
2025-07,上海仓,中外运,Frankfurt,12,32.84,6346.33,5.88,190.15
2025-08,上海仓,中外运,重庆,27,7.84,1187.76,28.57,181.06
2025-08,上海仓,中外运,上海,16,50.0,7110.0,5.49,131.29
2025-08,上海仓,中外运,杭州,47,24.45,2689.5,19.84,136.66
2025-09,上海仓,中外运,广州,25,1.6,1188.8,24.75,139.52
2025-09,上海仓,中外运,Frankfurt,5,1.65,85.25,26.22,173.72
2025-10,上海仓,中外运,Singapore,16,1.43,730.73,10.32,194.01
2025-10,上海仓,中外运,西安,22,25.23,4919.85,22.76,177.91
2025-10,上海仓,中外运,Tokyo,10,1.84,839.04,3.94,80.3
2025-10,上海仓,中外运,Seoul,21,3.27,1814.85,22.09,4.33
2025-11,上海仓,中外运,杭州,7,3.61,397.1,11.64,100.61
2025-11,上海仓,中外运,成都,17,2.87,967.19,24.21,76.8
2025-11,上海仓,中外运,广州,39,6.31,4297.11,24.31,163.8
2025-11,上海仓,中外运,重庆,13,16.92,4246.92,26.07,11.43
2024-10,上海仓,DHL,深圳,42,13.08,1742.91,17.81,139.33
2024-10,上海仓,DHL,Frankfurt,37,26.85,8296.65,27.32,148.44
2024-10,上海仓,DHL,武汉,41,8.08,1712.96,26.97,113.56
2024-11,上海仓,DHL,西安,27,22.76,756.77,7.12,30.43
2024-11,上海仓,DHL,Singapore,29,5.04,2530.08,25.36,23.15
2024-11,上海仓,DHL,广州,44,11.04,1442.56,9.68,126.62
2024-12,上海仓,DHL,深圳,15,14.18,5310.41,25.32,129.68
2024-12,上海仓,DHL,Frankfurt,45,16.68,2693.82,6.25,23.05
2025-01,上海仓,DHL,Seoul,40,19.96,2170.65,5.98,38.51
2025-01,上海仓,DHL,重庆,22,5.58,4547.7,7.88,27.37
2025-02,上海仓,DHL,Frankfurt,20,45.05,6775.52,8.88,33.65
2025-02,上海仓,DHL,广州,43,8.83,2534.21,23.01,40.88
2025-02,上海仓,DHL,成都,48,17.15,661.99,18.86,179.97
2025-02,上海仓,DHL,西安,41,13.12,5352.96,7.18,38.59
2025-02,上海仓,DHL,杭州,27,5.72,1916.2,10.88,183.2
2025-03,上海仓,DHL,武汉,6,31.92,5226.9,27.35,198.23
2025-03,上海仓,DHL,广州,42,23.15,1801.07,20.16,110.95
2025-04,上海仓,DHL,Tokyo,10,3.98,505.46,17.82,119.15
2025-04,上海仓,DHL,Singapore,18,32.96,4836.88,19.86,37.81
2025-04,上海仓,DHL,南京,21,3.09,595.34,26.55,66.36
2025-04,上海仓,DHL,广州,26,3.04,243.2,24.43,74.3
2025-04,上海仓,DHL,Seoul,47,20.88,2282.88,28.89,107.92
2025-05,上海仓,DHL,Singapore,42,37.0,5920.0,11.35,120.59
2025-05,上海仓,DHL,北京,21,14.22,6804.27,28.78,70.89
2025-06,上海仓,DHL,杭州,9,11.48,955.71,8.7,156.95
2025-06,上海仓,DHL,Los Angeles,15,4.12,141.11,15.97,63.65
2025-06,上海仓,DHL,武汉,18,11.02,4694.52,20.31,134.36
2025-06,上海仓,DHL,西安,12,5.12,2478.08,29.08,65.69
2025-07,上海仓,DHL,西安,23,16.04,3556.87,29.59,151.92
2025-07,上海仓,DHL,Los Angeles,10,18.74,8648.51,19.21,110.31
2025-07,上海仓,DHL,Singapore,39,2.81,843.0,6.17,128.18
2025-07,上海仓,DHL,Frankfurt,21,19.14,740.08,18.1,158.74
2025-08,上海仓,DHL,上海,12,8.9,8027.8,14.21,55.74
2025-08,上海仓,DHL,广州,12,16.86,4796.67,14.28,169.29
2025-08,上海仓,DHL,杭州,21,4.52,1030.56,10.99,121.03
2025-08,上海仓,DHL,Los Angeles,16,2.55,2476.05,11.77,128.03
2025-08,上海仓,DHL,Singapore,38,21.76,935.68,12.13,26.36
2025-09,上海仓,DHL,武汉,8,14.0,2698.5,18.55,90.31
2025-09,上海仓,DHL,Los Angeles,46,6.08,5168.0,17.5,117.46
2025-10,上海仓,DHL,深圳,47,9.42,1469.52,13.02,20.32
2025-10,上海仓,DHL,Los Angeles,44,2.96,2507.12,16.68,58.2
2025-11,上海仓,DHL,上海,34,10.65,430.26,13.72,110.9
2025-11,上海仓,DHL,重庆,34,2.97,633.6,7.87,25.22
2024-10,上海仓,FedEx,Singapore,38,2.12,449.44,19.03,64.44
2024-10,上海仓,FedEx,北京,42,1.74,1209.3,22.15,141.81
2024-10,上海仓,FedEx,Tokyo,45,5.73,2440.98,11.36,197.79
2024-10,上海仓,FedEx,南京,50,8.44,1057.11,8.12,46.02
2024-11,上海仓,FedEx,广州,39,13.6,6249.2,11.91,120.82
2024-11,上海仓,FedEx,北京,50,24.39,1504.05,21.15,165.56
2024-12,上海仓,FedEx,北京,41,38.88,7037.28,27.92,68.42
2024-12,上海仓,FedEx,Singapore,23,3.77,3317.6,2.67,173.91
2024-12,上海仓,FedEx,Frankfurt,8,19.5,4764.5,22.36,190.53
2024-12,上海仓,FedEx,西安,25,6.54,624.57,26.62,36.47
2025-01,上海仓,FedEx,上海,28,16.92,7520.94,13.16,122.43
2025-01,上海仓,FedEx,北京,17,18.54,8982.63,4.91,173.24
2025-02,上海仓,FedEx,北京,44,9.74,3496.66,20.09,179.71
2025-02,上海仓,FedEx,Tokyo,38,18.16,3877.16,7.4,12.85
2025-02,上海仓,FedEx,Frankfurt,9,3.66,1515.24,5.24,105.59
2025-02,上海仓,FedEx,Seoul,7,4.97,2972.06,10.55,73.25
2025-03,上海仓,FedEx,武汉,21,27.84,4377.84,3.43,78.01
2025-03,上海仓,FedEx,Los Angeles,32,27.25,3673.3,13.39,178.11
2025-03,上海仓,FedEx,Seoul,42,35.75,2431.0,22.74,89.71
2025-03,上海仓,FedEx,Tokyo,27,31.92,5961.06,2.25,116.69
2025-04,上海仓,FedEx,Seoul,18,17.56,4829.0,22.98,32.64
2025-04,上海仓,FedEx,西安,35,14.2,303.88,22.65,15.93
2025-04,上海仓,FedEx,杭州,34,39.4,1034.25,4.24,70.75
2025-04,上海仓,FedEx,深圳,27,39.32,6861.34,16.74,45.1
2025-05,上海仓,FedEx,Singapore,19,31.64,4129.02,16.63,25.07
2025-05,上海仓,FedEx,成都,24,9.66,2357.04,18.57,146.87
2025-05,上海仓,FedEx,广州,22,21.51,5391.84,21.66,162.17
2025-06,上海仓,FedEx,Singapore,37,12.0,447.0,11.12,73.21
2025-06,上海仓,FedEx,重庆,33,31.84,2260.64,27.72,110.21
2025-06,上海仓,FedEx,Frankfurt,44,8.67,2560.54,24.79,42.25
2025-06,上海仓,FedEx,Tokyo,40,2.26,1328.88,12.2,41.51
2025-07,上海仓,FedEx,Frankfurt,5,29.91,1714.84,4.21,173.97
2025-07,上海仓,FedEx,武汉,35,2.25,243.0,28.46,159.78
2025-07,上海仓,FedEx,Singapore,11,43.75,7840.0,18.3,73.94
2025-07,上海仓,FedEx,北京,25,2.86,893.75,18.55,108.28
2025-07,上海仓,FedEx,深圳,27,6.81,1872.75,7.41,39.85
2025-08,上海仓,FedEx,Tokyo,37,29.95,2707.48,2.65,132.46
2025-08,上海仓,FedEx,武汉,34,4.68,1361.88,15.0,73.92
2025-08,上海仓,FedEx,广州,16,9.81,5375.88,5.07,122.85
2025-08,上海仓,FedEx,Frankfurt,29,1.3,477.1,4.29,14.8
2025-09,上海仓,FedEx,北京,8,5.64,1214.48,20.2,54.12
2025-09,上海仓,FedEx,Tokyo,12,8.42,846.21,26.0,185.33
2025-09,上海仓,FedEx,Los Angeles,33,3.91,981.41,3.38,25.18
2025-10,上海仓,FedEx,武汉,11,4.35,172.55,22.86,67.28
2025-10,上海仓,FedEx,Singapore,33,17.61,2007.54,24.48,98.38
2025-10,上海仓,FedEx,南京,28,6.98,3147.98,28.15,1.78
2025-10,上海仓,FedEx,上海,31,9.1,1195.74,7.87,0.96
2025-10,上海仓,FedEx,Tokyo,11,14.55,596.55,27.76,95.66
2025-11,上海仓,FedEx,上海,21,13.3,1941.8,27.41,22.46
2025-11,上海仓,FedEx,西安,45,13.98,5060.76,28.0,0.46
2025-11,上海仓,FedEx,武汉,9,26.19,4033.26,22.73,182.08
2024-10,深圳仓,顺丰,上海,46,6.58,2816.24,7.13,185.71
2024-10,深圳仓,顺丰,Frankfurt,5,9.66,8249.64,27.72,189.76
2024-10,深圳仓,顺丰,西安,26,40.15,5492.52,10.89,146.15
2024-10,深圳仓,顺丰,广州,16,3.22,436.31,2.19,133.0
2024-10,深圳仓,顺丰,Los Angeles,16,23.01,3282.76,22.33,161.51
2024-11,深圳仓,顺丰,成都,17,26.49,3788.07,5.13,167.41
2024-11,深圳仓,顺丰,杭州,13,12.0,1634.4,22.61,23.03
2024-12,深圳仓,顺丰,Tokyo,38,10.92,1266.72,25.55,103.16
2024-12,深圳仓,顺丰,上海,21,8.58,4890.6,27.58,170.19
2025-01,深圳仓,顺丰,西安,38,29.61,9761.43,23.45,169.87
2025-01,深圳仓,顺丰,Singapore,9,9.2,3174.0,6.19,46.0
2025-02,深圳仓,顺丰,重庆,16,5.58,1798.62,21.12,117.58
2025-02,深圳仓,顺丰,Seoul,8,7.52,4286.4,18.01,108.22
2025-02,深圳仓,顺丰,西安,10,5.48,169.88,5.62,46.94
2025-02,深圳仓,顺丰,Frankfurt,11,9.3,1568.6,6.67,41.95
2025-02,深圳仓,顺丰,深圳,43,15.38,2530.01,11.95,101.63
2025-03,深圳仓,顺丰,Tokyo,47,22.0,1221.0,12.29,193.66
2025-03,深圳仓,顺丰,南京,16,9.75,6971.25,9.05,148.31
2025-03,深圳仓,顺丰,成都,46,13.34,6163.08,26.92,26.3
2025-04,深圳仓,顺丰,上海,9,20.15,2506.66,28.78,15.64
2025-04,深圳仓,顺丰,深圳,9,18.6,627.75,6.78,105.8
2025-04,深圳仓,顺丰,Tokyo,32,20.46,3757.82,2.09,9.58
2025-04,深圳仓,顺丰,成都,28,7.99,4418.47,18.59,1.38
2025-05,深圳仓,顺丰,西安,46,11.3,3147.05,14.08,186.45
2025-05,深圳仓,顺丰,Tokyo,35,7.73,3378.01,10.65,113.48
2025-05,深圳仓,顺丰,重庆,35,12.0,660.0,2.25,139.08
2025-06,深圳仓,顺丰,广州,9,26.92,3472.68,25.33,173.48
2025-06,深圳仓,顺丰,Los Angeles,21,21.36,904.24,22.91,32.5
2025-07,深圳仓,顺丰,上海,8,12.18,3635.73,28.26,25.04
2025-07,深圳仓,顺丰,武汉,46,15.58,3630.14,24.1,178.2
2025-07,深圳仓,顺丰,北京,35,28.08,6984.9,23.96,119.18
2025-08,深圳仓,顺丰,Singapore,14,8.78,6567.44,19.08,137.05
2025-08,深圳仓,顺丰,上海,11,27.78,7639.5,7.98,165.9
2025-09,深圳仓,顺丰,成都,43,4.88,524.6,20.9,60.86
2025-09,深圳仓,顺丰,武汉,48,28.08,5075.46,14.38,14.93
2025-09,深圳仓,顺丰,上海,45,11.98,1952.74,3.29,103.61
2025-10,深圳仓,顺丰,Frankfurt,20,7.9,2535.9,2.86,35.54
2025-10,深圳仓,顺丰,Los Angeles,35,43.3,2052.42,29.05,74.67
2025-10,深圳仓,顺丰,西安,45,14.7,962.85,2.82,23.79
2025-10,深圳仓,顺丰,重庆,45,23.8,728.28,11.99,73.95
2025-10,深圳仓,顺丰,上海,24,22.12,1310.61,5.64,179.39
2025-11,深圳仓,顺丰,Singapore,41,8.3,1701.5,19.2,74.62
2025-11,深圳仓,顺丰,上海,32,14.56,1121.12,28.54,39.46
2024-10,深圳仓,德邦,武汉,33,15.54,5602.17,24.16,139.18
2024-10,深圳仓,德邦,深圳,10,18.64,3103.56,21.75,71.24
2024-11,深圳仓,德邦,深圳,22,1.3,205.4,15.25,85.69
2024-11,深圳仓,德邦,南京,12,17.26,4504.86,24.17,68.13
2024-11,深圳仓,德邦,Frankfurt,45,29.56,4300.98,21.23,108.19
2024-11,深圳仓,德邦,上海,40,6.15,1334.55,26.62,119.91
2024-12,深圳仓,德邦,北京,50,39.6,815.76,27.69,193.94
2024-12,深圳仓,德邦,武汉,25,15.06,2243.94,11.89,116.12
2025-01,深圳仓,德邦,西安,8,1.65,1572.45,23.62,83.5
2025-01,深圳仓,德邦,北京,29,24.0,4904.0,12.21,181.85
2025-01,深圳仓,德邦,深圳,32,33.44,3887.4,10.49,82.75
2025-02,深圳仓,德邦,深圳,33,33.52,7391.16,28.84,70.29
2025-02,深圳仓,德邦,Tokyo,30,9.2,5317.6,14.03,147.62
2025-02,深圳仓,德邦,广州,31,7.12,4976.88,21.62,142.58
2025-02,深圳仓,德邦,上海,43,30.52,1304.73,22.91,89.21
2025-03,深圳仓,德邦,Tokyo,48,2.39,1400.54,6.29,172.43
2025-03,深圳仓,德邦,深圳,44,11.84,1565.84,22.99,39.05
2025-04,深圳仓,德邦,北京,25,4.52,291.54,25.04,50.2
2025-04,深圳仓,德邦,Los Angeles,13,18.04,3053.27,8.08,95.67
2025-04,深圳仓,德邦,深圳,33,36.5,6818.2,25.3,110.56
2025-05,深圳仓,德邦,Los Angeles,26,3.0,734.0,21.34,145.91
2025-05,深圳仓,德邦,Tokyo,26,22.14,1712.16,27.11,171.7
2025-05,深圳仓,德邦,深圳,32,14.8,4765.6,6.49,194.36
2025-05,深圳仓,德邦,杭州,23,1.26,515.34,27.23,36.38
2025-05,深圳仓,德邦,Seoul,50,18.21,1499.29,14.07,107.93
2025-06,深圳仓,德邦,广州,50,3.92,1203.44,8.06,140.99
2025-06,深圳仓,德邦,深圳,10,10.9,5139.35,23.78,125.96
2025-06,深圳仓,德邦,Los Angeles,22,28.95,5321.01,23.33,59.76
2025-06,深圳仓,德邦,Tokyo,7,8.92,713.6,13.4,30.58
2025-06,深圳仓,德邦,北京,16,39.76,8339.66,18.8,102.67
2025-07,深圳仓,德邦,西安,46,14.64,3092.7,5.78,102.64
2025-07,深圳仓,德邦,Los Angeles,37,11.37,617.77,10.14,132.46
2025-07,深圳仓,德邦,Frankfurt,39,14.31,2628.27,7.72,109.07
