month,week,production_line,planned_hours,actual_hours,utilization_rate,downtime_hours,downtime_reason,output_kg
2024-10,1,产线-02,41.5,40.2,0.97,2.0,待料,1544.3
2024-10,2,产线-02,41.9,37.7,0.9,3.4,无,1379.1
2024-10,3,产线-02,38.7,35.6,0.92,1.6,维护,1492.6
2024-10,4,产线-02,39.0,36.2,0.93,3.4,无,1624.3
2024-11,1,产线-02,43.8,42.0,0.96,2.5,无,1895.9
2024-11,2,产线-02,41.4,30.6,0.74,2.7,无,1456.6
2024-11,3,产线-02,38.9,28.8,0.74,0.6,维护,1610.6
2024-11,4,产线-02,39.5,36.7,0.93,2.2,换线,1565.2
2024-12,1,产线-02,46.3,36.6,0.79,0.8,无,1727.1
2024-12,2,产线-02,40.2,33.0,0.82,1.7,无,1324.8
2024-12,3,产线-02,43.5,34.4,0.79,2.3,无,1749.1
2024-12,4,产线-02,40.4,33.9,0.84,1.7,待料,1129.2
2025-01,1,产线-02,44.3,32.3,0.73,0.3,无,1595.6
2025-01,2,产线-02,37.5,28.1,0.75,1.2,无,1425.5
2025-01,3,产线-02,47.3,44.5,0.94,2.2,换线,1521.2
2025-01,4,产线-02,36.5,32.8,0.9,1.1,无,1695.0
2025-02,1,产线-02,45.0,40.1,0.89,3.1,待料,995.7
2025-02,2,产线-02,39.4,38.6,0.98,0.2,无,1447.2
2025-02,3,产线-02,44.5,43.6,0.98,3.4,换线,1473.2
2025-02,4,产线-02,38.3,37.2,0.97,3.0,无,1687.0
2025-03,1,产线-02,37.5,29.2,0.78,0.2,维护,934.9
2025-03,2,产线-02,41.7,31.7,0.76,2.8,无,1525.8
2025-03,3,产线-02,45.3,39.0,0.86,0.4,无,978.6
2025-03,4,产线-02,44.6,34.8,0.78,3.4,换线,1561.3
2025-04,1,产线-02,45.2,36.2,0.8,2.1,无,1922.9
2025-04,2,产线-02,39.1,32.4,0.83,1.5,无,762.7
2025-04,3,产线-02,46.7,42.5,0.91,3.5,维护,2444.0
2025-04,4,产线-02,37.4,35.2,0.94,1.3,无,1419.6
2025-05,1,产线-02,44.4,38.2,0.86,3.6,无,1976.8
2025-05,2,产线-02,46.9,35.6,0.76,3.0,无,1533.5
2025-05,3,产线-02,40.6,39.0,0.96,2.1,无,1644.4
2025-05,4,产线-02,40.8,29.4,0.72,2.1,无,1425.4
2025-06,1,产线-02,47.1,37.7,0.8,1.2,无,1099.4
2025-06,2,产线-02,37.7,33.2,0.88,0.7,待料,1352.3
2025-06,3,产线-02,44.0,41.4,0.94,2.1,无,2157.6
2025-06,4,产线-02,40.7,34.6,0.85,2.5,无,1437.4
2025-07,1,产线-02,44.6,41.0,0.92,2.6,换线,1550.7
2025-07,2,产线-02,46.8,37.0,0.79,3.2,无,1435.8
2025-07,3,产线-02,39.6,33.6,0.85,1.0,换线,1690.7
2025-07,4,产线-02,46.5,43.2,0.93,0.6,待料,879.8
2025-08,1,产线-02,36.2,26.1,0.72,2.8,换线,811.2
2025-08,2,产线-02,39.5,30.8,0.78,2.1,维护,720.3
2025-08,3,产线-02,42.5,31.9,0.75,3.1,无,1713.9
2025-08,4,产线-02,36.6,30.4,0.83,0.4,无,872.4
2025-09,1,产线-02,38.6,37.1,0.96,2.3,维护,2126.8
2025-09,2,产线-02,36.9,29.8,0.81,3.1,换线,1463.8
2025-09,3,产线-02,43.8,38.5,0.88,1.1,换线,1325.4
2025-09,4,产线-02,37.9,26.5,0.7,1.2,维护,1009.7
2025-10,1,产线-02,43.6,33.1,0.76,0.1,无,1264.9
2025-10,2,产线-02,46.5,42.3,0.91,1.2,维护,1462.5
2025-10,3,产线-02,43.9,38.2,0.87,1.8,维护,1761.8
2025-10,4,产线-02,41.3,38.4,0.93,2.2,无,1254.8
2025-11,1,产线-02,38.3,29.9,0.78,2.7,无,1401.6
2025-11,2,产线-02,44.3,35.0,0.79,1.8,无,1406.2
2025-11,3,产线-02,43.4,37.3,0.86,2.6,无,1569.9
2025-11,4,产线-02,44.0,38.3,0.87,0.0,无,2293.2
2024-10,1,产线-03,47.6,45.7,0.96,1.8,维护,1456.6
2024-10,2,产线-03,41.6,32.5,0.78,1.2,无,662.1
2024-10,3,产线-03,46.3,35.6,0.77,1.4,无,2038.7
2024-10,4,产线-03,41.5,31.5,0.76,3.7,待料,1811.1
2024-11,1,产线-03,39.3,37.3,0.95,0.7,维护,1058.9
2024-11,2,产线-03,36.7,28.6,0.78,1.6,无,1272.3
2024-11,3,产线-03,36.7,27.5,0.75,2.1,换线,762.3
2024-11,4,产线-03,39.1,30.9,0.79,2.5,无,972.9
2024-12,1,产线-03,37.9,35.2,0.93,1.7,无,1867.6
2024-12,2,产线-03,41.2,29.7,0.72,1.5,无,1574.2
2024-12,3,产线-03,38.8,31.8,0.82,0.9,维护,1157.1
2024-12,4,产线-03,46.5,41.9,0.9,1.0,待料,928.0
2025-01,1,产线-03,36.6,27.1,0.74,1.2,维护,798.2
2025-01,2,产线-03,47.0,37.6,0.8,2.7,维护,868.9
2025-01,3,产线-03,37.1,28.6,0.77,0.0,维护,1562.9
2025-01,4,产线-03,47.3,42.5,0.9,1.5,无,1227.1
2025-02,1,产线-03,44.2,32.3,0.73,1.6,无,966.5
2025-02,2,产线-03,43.9,32.5,0.74,1.5,无,919.7
2025-02,3,产线-03,40.5,32.4,0.8,3.1,待料,711.9
2025-02,4,产线-03,48.0,48.0,1.0,3.8,无,1505.8
2025-03,1,产线-03,39.4,30.0,0.76,3.9,维护,1152.2
2025-03,2,产线-03,43.8,31.1,0.71,3.2,无,1674.2
2025-03,3,产线-03,39.6,37.2,0.94,0.5,无,1814.1
2025-03,4,产线-03,38.9,31.1,0.8,0.1,换线,1356.4
2025-04,1,产线-03,44.4,33.3,0.75,1.4,无,687.5
2025-04,2,产线-03,39.8,32.7,0.82,3.8,待料,1089.6
2025-04,3,产线-03,37.5,31.8,0.85,2.2,换线,1395.9
2025-04,4,产线-03,38.2,36.7,0.96,0.9,无,1413.3
2025-05,1,产线-03,45.0,32.9,0.73,1.6,换线,1536.4
2025-05,2,产线-03,40.0,28.8,0.72,3.3,换线,1683.4
2025-05,3,产线-03,47.7,44.4,0.93,0.4,无,1459.0
2025-05,4,产线-03,44.7,38.5,0.86,2.7,待料,1968.3
2025-06,1,产线-03,42.1,34.1,0.81,2.8,维护,913.1
2025-06,2,产线-03,43.5,37.4,0.86,0.7,维护,2179.6
2025-06,3,产线-03,47.2,36.8,0.78,4.0,换线,1834.2
2025-06,4,产线-03,36.2,36.2,1.0,0.1,无,1803.3
2025-07,1,产线-03,45.5,45.5,1.0,2.1,待料,1349.7
2025-07,2,产线-03,45.9,32.6,0.71,3.2,换线,1812.0
2025-07,3,产线-03,45.9,42.7,0.93,1.0,无,2522.2
2025-07,4,产线-03,38.6,27.4,0.71,3.9,换线,1374.3
2025-08,1,产线-03,47.6,40.5,0.85,2.0,维护,1595.4
2025-08,2,产线-03,44.9,35.5,0.79,3.5,待料,1540.1
2025-08,3,产线-03,41.1,30.8,0.75,2.9,无,852.9
2025-08,4,产线-03,39.6,31.7,0.8,0.7,待料,1413.8
2025-09,1,产线-03,38.7,32.5,0.84,0.7,无,1495.9
2025-09,2,产线-03,40.3,37.9,0.94,2.3,无,1754.0
2025-09,3,产线-03,41.6,40.8,0.98,1.4,无,2097.8
2025-09,4,产线-03,47.8,42.5,0.89,3.0,无,1502.2
2025-10,1,产线-03,43.5,33.9,0.78,0.4,换线,845.1
2025-10,2,产线-03,36.0,34.6,0.96,0.4,待料,1533.5
2025-10,3,产线-03,41.3,35.1,0.85,3.8,维护,1015.7
2025-10,4,产线-03,42.3,31.7,0.75,2.1,无,1561.3
2025-11,1,产线-03,38.9,28.8,0.74,2.3,维护,1517.6
2025-11,2,产线-03,46.5,34.9,0.75,0.4,维护,1406.5
2025-11,3,产线-03,45.9,35.3,0.77,1.7,换线,714.5
2025-11,4,产线-03,44.4,40.8,0.92,1.9,换线,1580.3
2024-10,1,产线-04,39.5,39.5,1.0,2.7,维护,932.9
2024-10,2,产线-04,46.3,34.3,0.74,1.9,待料,759.2
2024-10,3,产线-04,41.4,31.5,0.76,2.1,换线,640.1
2024-10,4,产线-04,42.7,30.3,0.71,1.8,无,763.5
2024-11,1,产线-04,39.1,29.7,0.76,1.3,换线,720.2
2024-11,2,产线-04,44.7,43.8,0.98,0.4,无,1904.7
2024-11,3,产线-04,37.0,31.1,0.84,2.2,无,1419.3
2024-11,4,产线-04,47.5,36.1,0.76,1.9,待料,1647.6
2024-12,1,产线-04,36.8,27.2,0.74,0.8,无,820.5
2024-12,2,产线-04,44.5,39.6,0.89,0.9,待料,2237.6
2024-12,3,产线-04,45.6,44.2,0.97,1.2,无,1712.2
2024-12,4,产线-04,36.5,31.4,0.86,3.4,无,839.4
2025-01,1,产线-04,42.7,38.4,0.9,3.9,待料,859.6
2025-01,2,产线-04,39.6,33.7,0.85,3.5,无,1007.6
2025-01,3,产线-04,42.8,32.1,0.75,1.5,无,1246.7
2025-01,4,产线-04,39.7,33.0,0.83,2.6,维护,1791.1
2025-02,1,产线-04,43.6,39.2,0.9,3.7,无,2005.9
2025-02,2,产线-04,38.9,37.3,0.96,3.0,维护,1628.0
2025-02,3,产线-04,37.1,30.4,0.82,2.8,待料,1490.6
2025-02,4,产线-04,36.5,28.5,0.78,0.9,维护,866.7
2025-03,1,产线-04,45.4,32.7,0.72,4.0,换线,1730.9
2025-03,2,产线-04,45.5,35.5,0.78,0.1,无,2118.3
2025-03,3,产线-04,37.6,31.9,0.85,2.1,待料,1498.7
2025-03,4,产线-04,36.7,33.0,0.9,0.2,无,829.3
2025-04,1,产线-04,43.5,41.7,0.96,0.3,无,2229.3
2025-04,2,产线-04,47.9,44.5,0.93,1.9,维护,2140.0
2025-04,3,产线-04,39.5,37.5,0.95,1.9,换线,1393.7
2025-04,4,产线-04,43.0,35.3,0.82,0.8,无,958.4
2025-05,1,产线-04,43.4,34.7,0.8,0.4,维护,1467.6
2025-05,2,产线-04,36.4,29.8,0.82,2.7,换线,1602.9
2025-05,3,产线-04,39.6,34.1,0.86,1.6,无,976.3
2025-05,4,产线-04,43.0,42.6,0.99,0.4,无,1923.8
2025-06,1,产线-04,44.6,35.7,0.8,0.4,无,2131.6
2025-06,2,产线-04,45.0,35.1,0.78,2.3,无,1754.8
2025-06,3,产线-04,38.2,34.0,0.89,0.8,待料,1292.9
2025-06,4,产线-04,44.8,34.9,0.78,0.6,换线,1453.4
2025-07,1,产线-04,36.8,27.6,0.75,3.4,无,1319.2
2025-07,2,产线-04,42.2,36.3,0.86,2.1,换线,1967.3
2025-07,3,产线-04,43.1,32.7,0.76,2.9,换线,1090.5
2025-07,4,产线-04,37.6,37.6,1.0,1.9,换线,1084.4
2025-08,1,产线-04,45.1,34.7,0.77,0.8,无,1301.1
2025-08,2,产线-04,45.1,31.6,0.7,2.9,无,1493.5
2025-08,3,产线-04,40.5,28.8,0.71,3.8,无,963.9
2025-08,4,产线-04,46.3,39.3,0.85,3.3,无,1226.8
2025-09,1,产线-04,39.1,30.1,0.77,1.9,维护,1404.6
2025-09,2,产线-04,36.4,28.0,0.77,1.1,无,1129.2
2025-09,3,产线-04,44.6,38.8,0.87,3.7,无,2288.9
2025-09,4,产线-04,45.5,36.4,0.8,2.9,换线,1377.5
2025-10,1,产线-04,44.4,43.5,0.98,1.3,待料,2168.4
2025-10,2,产线-04,44.2,35.8,0.81,2.9,无,1956.8
2025-10,3,产线-04,38.9,36.6,0.94,3.3,无,1048.7
2025-10,4,产线-04,45.7,35.6,0.78,2.5,待料,744.0
2025-11,1,产线-04,45.5,40.9,0.9,1.2,无,2397.1
2025-11,2,产线-04,44.2,34.4,0.78,0.3,换线,1129.4
2025-11,3,产线-04,38.5,37.7,0.98,1.2,无,2089.4
2025-11,4,产线-04,37.5,30.4,0.81,0.3,维护,1717.4
2024-10,1,产线-05,39.5,38.7,0.98,2.5,待料,1324.9
2024-10,2,产线-05,38.5,35.8,0.93,0.7,维护,1658.8
2024-10,3,产线-05,37.5,34.8,0.93,3.2,待料,961.2
2024-10,4,产线-05,41.8,35.1,0.84,0.3,无,1215.7
2024-11,1,产线-05,43.9,36.5,0.83,0.5,换线,1658.3
2024-11,2,产线-05,44.4,37.8,0.85,2.6,无,1396.3
2024-11,3,产线-05,38.6,32.4,0.84,1.7,维护,1519.5
2024-11,4,产线-05,36.1,30.3,0.84,3.9,维护,1484.7
2024-12,1,产线-05,40.9,34.0,0.83,1.2,无,1641.4
2024-12,2,产线-05,45.9,45.0,0.98,2.1,无,1515.4
2024-12,3,产线-05,44.5,41.0,0.92,3.5,无,2025.5
2024-12,4,产线-05,42.9,42.0,0.98,1.6,维护,2250.9
2025-01,1,产线-05,43.0,39.2,0.91,0.3,换线,903.8
2025-01,2,产线-05,43.6,43.1,0.99,3.8,无,2342.1
2025-01,3,产线-05,47.5,34.7,0.73,0.4,换线,998.2
2025-01,4,产线-05,40.4,39.2,0.97,1.9,维护,1650.2
2025-02,1,产线-05,40.7,31.7,0.78,3.0,无,1316.5
2025-02,2,产线-05,44.3,40.3,0.91,3.7,维护,2415.0
2025-02,3,产线-05,38.0,35.4,0.93,2.3,无,2010.3
2025-02,4,产线-05,37.3,32.1,0.86,1.3,无,1616.1
2025-03,1,产线-05,37.5,32.3,0.86,3.1,无,1336.2
2025-03,2,产线-05,42.8,30.0,0.7,3.7,待料,1588.3
2025-03,3,产线-05,47.8,43.5,0.91,0.1,换线,2100.5
2025-03,4,产线-05,43.3,35.5,0.82,1.4,无,1478.1
2025-04,1,产线-05,36.8,35.3,0.96,1.0,无,1548.8
2025-04,2,产线-05,39.9,32.3,0.81,2.2,无,1779.4
2025-04,3,产线-05,42.2,30.4,0.72,1.8,无,1542.4
2025-04,4,产线-05,41.9,35.2,0.84,1.6,无,1782.4
2025-05,1,产线-05,44.6,39.7,0.89,1.7,无,1487.1
2025-05,2,产线-05,38.7,37.5,0.97,2.7,维护,1330.9
2025-05,3,产线-05,38.4,35.3,0.92,0.3,待料,1973.3
2025-05,4,产线-05,40.2,37.8,0.94,2.3,换线,1588.6
2025-06,1,产线-05,42.3,33.4,0.79,3.4,维护,1507.5
2025-06,2,产线-05,45.5,35.9,0.79,3.7,换线,1694.1
2025-06,3,产线-05,45.8,42.1,0.92,2.6,待料,1891.5
2025-06,4,产线-05,47.2,44.4,0.94,2.7,无,985.4
2025-07,1,产线-05,38.6,31.3,0.81,3.5,无,1407.2
2025-07,2,产线-05,43.7,40.2,0.92,1.2,无,2133.6
2025-07,3,产线-05,42.2,36.3,0.86,3.7,待料,1387.3
2025-07,4,产线-05,36.3,32.0,0.88,2.3,维护,1145.8
2025-08,1,产线-05,37.8,27.6,0.73,1.3,无,695.0
2025-08,2,产线-05,37.4,30.3,0.81,3.3,待料,1142.4
2025-08,3,产线-05,44.8,41.6,0.93,1.1,无,885.4
2025-08,4,产线-05,46.3,45.3,0.98,3.3,维护,2047.8
2025-09,1,产线-05,42.9,30.0,0.7,3.1,无,1236.7
2025-09,2,产线-05,44.1,32.6,0.74,2.4,维护,1443.7
2025-09,3,产线-05,38.2,32.5,0.85,3.7,无,1294.3
2025-09,4,产线-05,42.5,32.3,0.76,3.2,无,912.4
2025-10,1,产线-05,41.9,32.3,0.77,3.7,无,1840.0
2025-10,2,产线-05,44.4,39.9,0.9,2.9,无,916.0
2025-10,3,产线-05,46.8,42.1,0.9,1.8,无,2511.5
2025-10,4,产线-05,38.2,37.5,0.98,0.7,无,769.9
2025-11,1,产线-05,43.5,35.7,0.82,1.2,维护,1705.5
2025-11,2,产线-05,42.7,39.3,0.92,1.0,无,1433.9
2025-11,3,产线-05,41.8,41.8,1.0,1.5,换线,1853.7
2025-11,4,产线-05,37.3,30.6,0.82,0.6,无,1835.0
2024-10,1,产线-06,37.6,28.9,0.77,3.7,待料,1392.5
2024-10,2,产线-06,40.1,36.5,0.91,3.4,无,2173.2
2024-10,3,产线-06,46.3,43.5,0.94,2.9,换线,2036.4
2024-10,4,产线-06,38.4,34.6,0.9,1.9,维护,1592.7
2024-11,1,产线-06,40.1,31.2,0.78,3.1,无,1466.4
2024-11,2,产线-06,46.1,45.2,0.98,2.7,待料,2492.2
2024-11,3,产线-06,41.4,34.8,0.84,2.7,无,1641.5
2024-11,4,产线-06,37.7,36.2,0.96,2.0,无,1196.3
2024-12,1,产线-06,40.2,37.4,0.93,3.0,无,941.8
2024-12,2,产线-06,45.9,37.1,0.81,2.7,换线,1897.4
2024-12,3,产线-06,45.3,43.0,0.95,2.2,维护,2351.6
2024-12,4,产线-06,37.9,30.3,0.8,1.4,无,782.9
2025-01,1,产线-06,46.8,34.6,0.74,1.4,无,1555.0
2025-01,2,产线-06,45.4,40.9,0.9,0.5,无,2293.0
2025-01,3,产线-06,47.0,34.8,0.74,3.5,无,2046.1
2025-01,4,产线-06,41.8,37.6,0.9,1.4,维护,772.1
2025-02,1,产线-06,37.8,27.9,0.74,1.5,维护,1081.6
2025-02,2,产线-06,38.1,28.6,0.75,1.6,无,1714.1
2025-02,3,产线-06,41.9,40.6,0.97,0.4,换线,1997.6
2025-02,4,产线-06,43.8,32.4,0.74,2.9,换线,1045.0
2025-03,1,产线-06,45.7,39.8,0.87,0.2,无,1889.4
2025-03,2,产线-06,43.5,40.5,0.93,3.0,换线,2303.7
2025-03,3,产线-06,42.1,30.3,0.72,1.4,无,1740.2
2025-03,4,产线-06,47.8,36.3,0.76,3.6,无,2110.6
2025-04,1,产线-06,36.4,33.1,0.91,0.8,无,694.9
2025-04,2,产线-06,41.0,39.7,0.97,0.5,无,1331.7
2025-04,3,产线-06,41.3,29.8,0.72,2.2,无,1783.2
2025-04,4,产线-06,36.8,32.4,0.88,2.4,无,1906.3
2025-05,1,产线-06,42.7,36.3,0.85,0.1,无,2154.2
2025-05,2,产线-06,45.0,44.1,0.98,2.1,无,2405.4
2025-05,3,产线-06,39.2,29.4,0.75,0.5,换线,956.4
2025-05,4,产线-06,38.7,27.5,0.71,0.1,换线,573.0
2025-06,1,产线-06,43.0,37.0,0.86,3.1,维护,1825.1
2025-06,2,产线-06,44.0,33.0,0.75,2.5,无,1529.3
2025-06,3,产线-06,42.2,41.3,0.98,1.2,维护,2077.5
2025-06,4,产线-06,41.8,36.8,0.88,3.7,无,1218.0
2025-07,1,产线-06,41.0,34.9,0.85,1.4,无,1707.7
2025-07,2,产线-06,40.1,36.9,0.92,0.2,维护,953.0
2025-07,3,产线-06,47.7,35.8,0.75,3.2,维护,1230.8
2025-07,4,产线-06,46.0,41.4,0.9,1.3,无,2281.1
2025-08,1,产线-06,43.4,30.4,0.7,2.8,无,1147.5
2025-08,2,产线-06,39.0,27.7,0.71,0.0,无,1337.9
2025-08,3,产线-06,39.5,30.8,0.78,1.1,维护,1424.9
2025-08,4,产线-06,37.1,28.9,0.78,2.9,维护,1051.3
2025-09,1,产线-06,38.2,27.9,0.73,2.5,换线,1135.5
2025-09,2,产线-06,46.5,42.3,0.91,2.7,维护,1269.2
2025-09,3,产线-06,43.4,30.4,0.7,3.2,换线,787.0
2025-09,4,产线-06,37.4,32.1,0.86,0.9,换线,1619.5
2025-10,1,产线-06,37.7,29.4,0.78,2.9,无,1138.3
2025-10,2,产线-06,44.9,38.1,0.85,1.4,无,2146.4
2025-10,3,产线-06,37.1,27.1,0.73,2.2,无,1553.4
2025-10,4,产线-06,39.2,31.4,0.8,1.6,无,1333.5
2025-11,1,产线-06,37.6,29.7,0.79,2.0,无,915.0
2025-11,2,产线-06,41.2,30.1,0.73,0.1,待料,876.4
2025-11,3,产线-06,47.9,37.4,0.78,2.8,无,1811.7
2025-11,4,产线-06,41.8,36.4,0.87,0.9,无,1667.4
2024-10,1,产线-07,37.0,33.3,0.9,3.9,无,1625.9
2024-10,2,产线-07,42.6,34.1,0.8,0.6,待料,1994.1
2024-10,3,产线-07,36.2,28.3,0.78,3.4,无,583.7
2024-10,4,产线-07,47.9,46.4,0.97,2.1,无,1079.1
2024-11,1,产线-07,37.9,37.9,1.0,0.6,无,1212.7
2024-11,2,产线-07,43.6,36.7,0.84,2.2,待料,1956.1
2024-11,3,产线-07,40.8,37.9,0.93,2.4,换线,1604.6
2024-11,4,产线-07,44.5,33.3,0.75,0.0,无,1633.6
2024-12,1,产线-07,45.5,43.7,0.96,0.3,无,2539.0
2024-12,2,产线-07,42.6,41.7,0.98,3.3,维护,1001.5
2024-12,3,产线-07,40.2,38.6,0.96,1.0,无,2077.7
2024-12,4,产线-07,36.1,30.0,0.83,3.1,换线,643.9
2025-01,1,产线-07,38.5,28.1,0.73,2.8,换线,616.5
2025-01,2,产线-07,42.7,39.3,0.92,3.3,维护,1818.9
2025-01,3,产线-07,47.1,40.1,0.85,2.2,换线,1283.9
2025-01,4,产线-07,44.8,32.2,0.72,2.8,无,1026.8
2025-02,1,产线-07,47.6,41.4,0.87,1.0,无,833.1
2025-02,2,产线-07,36.6,31.9,0.87,1.7,维护,1761.8
2025-02,3,产线-07,45.6,36.5,0.8,3.5,无,1852.5
2025-02,4,产线-07,38.9,30.8,0.79,0.6,换线,683.7
2025-03,1,产线-07,37.0,34.8,0.94,2.5,待料,1541.7
2025-03,2,产线-07,40.3,33.8,0.84,2.2,维护,926.2
2025-03,3,产线-07,46.0,44.2,0.96,2.9,无,2534.1
2025-03,4,产线-07,47.5,47.1,0.99,3.9,无,1449.0
2025-04,1,产线-07,39.2,30.5,0.78,0.7,待料,643.6
2025-04,2,产线-07,43.5,31.3,0.72,0.4,无,1796.9
2025-04,3,产线-07,38.0,35.7,0.94,2.5,维护,2129.0
2025-04,4,产线-07,38.9,33.9,0.87,0.3,无,1965.8
2025-05,1,产线-07,45.6,43.8,0.96,1.9,待料,1987.0
2025-05,2,产线-07,47.4,36.0,0.76,4.0,换线,1690.2
2025-05,3,产线-07,47.2,34.5,0.73,0.2,待料,1428.9
2025-05,4,产线-07,37.7,27.9,0.74,3.4,无,1352.5
2025-06,1,产线-07,42.3,31.7,0.75,3.2,维护,821.1
2025-06,2,产线-07,46.5,33.0,0.71,2.1,维护,1289.2
2025-06,3,产线-07,45.6,41.5,0.91,1.1,换线,2116.0
2025-06,4,产线-07,37.0,32.2,0.87,1.9,无,1648.7
2025-07,1,产线-07,38.6,36.6,0.95,2.2,无,1032.9
2025-07,2,产线-07,43.3,38.1,0.88,3.5,无,1848.6
2025-07,3,产线-07,47.4,36.5,0.77,2.0,换线,830.5
2025-07,4,产线-07,39.3,33.8,0.86,2.8,待料,1390.1
2025-08,1,产线-07,40.4,31.1,0.77,2.3,换线,847.6
2025-08,2,产线-07,36.8,27.6,0.75,0.9,无,1349.4
2025-08,3,产线-07,46.4,44.0,0.95,0.4,维护,2296.7
2025-08,4,产线-07,39.0,33.9,0.87,2.8,待料,1187.9
2025-09,1,产线-07,44.8,32.3,0.72,0.2,无,1882.8
2025-09,2,产线-07,38.1,27.8,0.73,0.4,无,1103.4
2025-09,3,产线-07,41.2,34.2,0.83,1.1,换线,949.6
2025-09,4,产线-07,36.4,28.8,0.79,1.2,换线,1630.9
2025-10,1,产线-07,47.9,36.4,0.76,3.1,无,759.8
2025-10,2,产线-07,41.4,37.2,0.9,3.7,换线,2054.0
2025-10,3,产线-07,44.8,35.8,0.8,2.1,待料,1200.5
2025-10,4,产线-07,41.0,29.1,0.71,2.3,无,1505.1
2025-11,1,产线-07,44.5,40.5,0.91,1.1,无,1992.7
2025-11,2,产线-07,39.6,32.5,0.82,0.7,换线,763.9
2025-11,3,产线-07,41.6,31.2,0.75,3.9,换线,876.0
2025-11,4,产线-07,44.7,38.0,0.85,3.9,无,1225.7
2024-10,1,产线-08,45.8,44.0,0.96,2.8,无,2150.1
2024-10,2,产线-08,40.2,40.2,1.0,3.8,待料,2343.0
