wo_id,month,plan_date,complete_date,sku,production_line,plan_qty,actual_qty,efficiency,scrap_qty,status,shift
WO00062,2024-12,2024-12-13,2024-12-22,BHC89232BR,产线-03,2964,2757,0.93,30,生产中,夜班
WO00063,2025-06,2025-06-04,2025-06-10,FWD111MT,产线-06,7797,7797,1.0,12,已完成,早班
WO00064,2025-10,2025-10-20,2025-10-21,FWDV060,产线-08,5281,5281,1.0,53,已完成,夜班
WO00065,2024-12,2024-12-18,2024-12-30,FWD418B,产线-08,631,587,0.93,3,已完成,夜班
WO00066,2025-04,2025-04-15,2025-04-16,FWDD23X,产线-07,2644,2195,0.83,36,已完成,中班
WO00067,2024-10,2024-10-28,2024-11-07,FWD306,产线-04,6815,5725,0.84,120,已完成,夜班
WO00068,2025-11,2025-11-06,2025-11-16,FWD205,产线-01,4572,3886,0.85,2,已完成,中班
WO00069,2025-01,2025-01-24,2025-01-28,FWD525WR,产线-04,7440,6622,0.89,87,计划,夜班
WO00070,2025-02,2025-02-09,2025-02-13,FWD534WR,产线-03,5762,4725,0.82,43,计划,夜班
WO00071,2025-02,2025-02-19,2025-02-21,FWD413,产线-03,2470,2371,0.96,32,计划,早班
WO00072,2025-10,2025-10-18,2025-10-24,FWD163,产线-03,5672,5559,0.98,61,已完成,夜班
WO00073,2025-09,2025-09-20,2025-09-27,FWD163,产线-07,6852,5824,0.85,114,计划,早班
WO00074,2025-05,2025-05-27,2025-06-06,FWD534,产线-07,7294,5908,0.81,142,生产中,夜班
WO00075,2025-04,2025-04-15,2025-04-19,FWD524WR,产线-04,1002,832,0.83,18,已完成,早班
WO00076,2024-10,2024-10-07,2024-10-13,FWD123T,产线-06,5421,4391,0.81,102,生产中,早班
WO00077,2024-12,2024-12-14,2024-12-22,BHC9227GOH,产线-01,7102,6321,0.89,44,计划,夜班
WO00078,2024-10,2024-10-15,2024-10-18,FWD302,产线-07,4739,4644,0.98,3,已完成,夜班
WO00079,2025-07,2025-07-02,2025-07-13,FWD435,产线-07,1218,1169,0.96,10,已完成,早班
WO00080,2025-01,2025-01-20,2025-01-26,FWD5871A,产线-04,4814,4670,0.97,39,已完成,中班
WO00081,2025-05,2025-05-04,2025-05-08,FWDD27L,产线-02,6839,6360,0.93,49,计划,中班
WO00082,2025-11,2025-11-23,2025-12-01,FWD6883,产线-07,5171,4292,0.83,70,已完成,中班
WO00083,2024-12,2024-12-01,2024-12-10,FWD552,产线-08,1467,1306,0.89,26,已完成,中班
WO00084,2025-05,2025-05-26,2025-05-31,FWD123,产线-07,954,916,0.96,19,已完成,中班
WO00085,2025-11,2025-11-16,2025-11-20,FWDD23X,产线-02,1184,971,0.82,14,已完成,中班
WO00086,2025-07,2025-07-11,2025-07-16,FWD6225,产线-04,4227,4058,0.96,58,生产中,夜班
WO00087,2025-01,2025-01-03,2025-01-04,BHC9323PG,产线-06,6113,5135,0.84,81,已完成,中班
WO00088,2024-10,2024-10-10,2024-10-18,FWD6603,产线-06,4969,4571,0.92,37,计划,中班
WO00089,2024-11,2024-11-15,2024-11-24,FWD413,产线-04,4059,3613,0.89,12,生产中,中班
WO00090,2025-06,2025-06-14,2025-06-15,FWD505,产线-07,2409,2144,0.89,1,已完成,中班
WO00091,2025-06,2025-06-02,2025-06-07,FWD534,产线-07,2263,2037,0.9,37,已完成,夜班
WO00092,2025-04,2025-04-18,2025-05-01,FWD6683T,产线-04,694,604,0.87,5,已完成,早班
WO00093,2025-03,2025-03-08,2025-03-19,FWD600,产线-07,571,491,0.86,3,生产中,中班
WO00094,2024-12,2024-12-12,2024-12-22,FWD430,产线-02,1976,1976,1.0,19,生产中,夜班
WO00095,2025-04,2025-04-17,2025-05-01,FWD103TWR,产线-08,3045,2497,0.82,14,计划,早班
WO00096,2025-09,2025-09-17,2025-09-27,FWD6881,产线-04,7149,6649,0.93,135,已完成,中班
WO00097,2025-02,2025-02-02,2025-02-14,FWDD25M,产线-03,6045,5017,0.83,104,计划,中班
WO00098,2025-09,2025-09-02,2025-09-16,FWD6002A,产线-06,5632,5519,0.98,27,已完成,中班
WO00099,2025-11,2025-11-10,2025-11-19,HC010AS,产线-04,2822,2512,0.89,13,已完成,早班
WO00100,2025-04,2025-04-13,2025-04-17,FWD7365,产线-07,515,464,0.9,6,生产中,早班
WO00101,2025-10,2025-10-15,2025-10-29,FWD152WR,产线-07,4397,4001,0.91,57,已完成,夜班
WO00102,2025-09,2025-09-15,2025-09-19,FWD510,产线-01,7996,6557,0.82,155,已完成,早班
WO00103,2025-10,2025-10-25,2025-11-06,FWD101WR,产线-08,6635,5573,0.84,121,已完成,早班
WO00104,2025-05,2025-05-22,2025-05-25,FWD6002T,产线-03,3492,3387,0.97,27,已完成,夜班
WO00105,2025-11,2025-11-21,2025-11-27,FWD300WR,产线-02,7450,5960,0.8,142,计划,早班
WO00106,2025-07,2025-07-12,2025-07-20,FWD6215,产线-05,2840,2755,0.97,28,生产中,夜班
WO00107,2025-07,2025-07-14,2025-07-15,FWD330,产线-07,1025,974,0.95,19,已完成,早班
WO00108,2024-10,2024-10-20,2024-11-01,FWD235,产线-03,5491,4997,0.91,37,已完成,早班
WO00109,2024-10,2024-10-10,2024-10-18,FWD221,产线-04,5297,4661,0.88,55,已完成,中班
WO00110,2025-10,2025-10-25,2025-11-02,FWD223,产线-01,1226,1018,0.83,23,已完成,中班
WO00111,2024-11,2024-11-14,2024-11-18,FWD6502A,产线-04,3780,3440,0.91,23,计划,中班
WO00112,2024-10,2024-10-23,2024-10-30,FWD123TS,产线-01,3389,3152,0.93,11,已完成,中班
WO00113,2024-11,2024-11-13,2024-11-16,BHC9320YB,产线-07,3771,3017,0.8,41,计划,早班
WO00114,2024-10,2024-10-19,2024-10-26,FWD231WR,产线-05,4416,4328,0.98,11,生产中,中班
WO00115,2024-10,2024-10-26,2024-11-02,FWD5800D,产线-07,4075,3830,0.94,61,已完成,夜班
WO00116,2025-10,2025-10-12,2025-10-20,FWD307,产线-05,3952,3438,0.87,45,已完成,早班
WO00117,2025-02,2025-02-03,2025-02-14,FWD400B,产线-01,6883,5851,0.85,5,已完成,早班
WO00118,2025-07,2025-07-27,2025-07-28,FWD6300T,产线-05,383,329,0.86,4,已完成,夜班
WO00119,2024-11,2024-11-26,2024-12-06,FWD6005,产线-06,7806,6947,0.89,14,计划,早班
WO00120,2025-09,2025-09-16,2025-09-17,FWD6602,产线-06,7805,7259,0.93,131,生产中,夜班
WO00121,2025-06,2025-06-22,2025-06-25,FWD5518,产线-04,5480,5316,0.97,109,生产中,夜班
WO00122,2024-12,2024-12-01,2024-12-02,FWD901KSW,产线-07,3521,2958,0.84,52,计划,中班
WO00123,2024-12,2024-12-20,2024-12-27,FWD6303,产线-04,458,449,0.98,8,已完成,早班
WO00124,2025-06,2025-06-05,2025-06-12,FWD6005T,产线-02,2238,2059,0.92,25,已完成,夜班
WO00125,2025-06,2025-06-28,2025-07-07,FWD351WR,产线-01,6334,5701,0.9,40,已完成,中班
WO00126,2025-04,2025-04-17,2025-04-28,FWD6810,产线-06,1831,1630,0.89,16,计划,夜班
WO00127,2025-10,2025-10-13,2025-10-23,FWD323,产线-05,3503,3503,1.0,17,已完成,中班
WO00128,2025-02,2025-02-05,2025-02-11,FWDD28X,产线-03,2857,2657,0.93,50,计划,中班
WO00129,2025-08,2025-08-08,2025-08-17,FWDV550,产线-07,1836,1781,0.97,20,生产中,中班
WO00130,2025-06,2025-06-05,2025-06-09,FWD6885,产线-02,2311,1872,0.81,22,计划,夜班
WO00131,2025-03,2025-03-18,2025-03-25,FWD111WR,产线-01,1919,1765,0.92,21,已完成,夜班
WO00132,2025-08,2025-08-07,2025-08-10,BHC9234BOH,产线-02,3812,3621,0.95,41,计划,中班
WO00133,2024-10,2024-10-28,2024-11-04,FWD403,产线-08,4011,3810,0.95,64,已完成,中班
WO00134,2025-05,2025-05-09,2025-05-15,FWD901KSW,产线-06,1410,1283,0.91,20,计划,夜班
WO00135,2025-09,2025-09-27,2025-10-10,FWDD27M,产线-03,2364,1962,0.83,18,计划,中班
WO00136,2025-10,2025-10-15,2025-10-22,FWD307,产线-02,1522,1339,0.88,26,已完成,早班
WO00137,2025-10,2025-10-25,2025-10-26,FWD7331,产线-04,4664,3731,0.8,28,已完成,早班
WO00138,2025-02,2025-02-06,2025-02-17,FWD5893,产线-04,3054,2749,0.9,40,计划,夜班
WO00139,2025-04,2025-04-17,2025-04-19,FWD216,产线-01,1774,1774,1.0,13,已完成,夜班
WO00140,2025-01,2025-01-15,2025-01-21,FWD111WR,产线-04,6759,6556,0.97,131,计划,中班
WO00141,2025-04,2025-04-18,2025-04-20,FWD6009,产线-06,3070,2610,0.85,58,已完成,夜班
WO00142,2025-04,2025-04-21,2025-04-24,FWD408,产线-08,2672,2538,0.95,50,生产中,夜班
WO00143,2024-12,2024-12-07,2024-12-09,FWD6018,产线-02,7711,6786,0.88,69,已完成,中班
WO00144,2024-12,2024-12-01,2024-12-06,FWD6003,产线-08,2249,1867,0.83,27,计划,中班
WO00145,2025-08,2025-08-22,2025-09-01,FWD151,产线-01,6926,6233,0.9,3,生产中,夜班
WO00146,2024-10,2024-10-21,2024-11-02,FWD510,产线-07,7136,5994,0.84,53,已完成,夜班
WO00147,2025-11,2025-11-25,2025-11-30,FWDD21M,产线-07,7163,6805,0.95,109,已完成,中班
WO00148,2024-12,2024-12-27,2025-01-02,FWD330,产线-07,4545,3772,0.83,38,生产中,夜班
WO00149,2025-11,2025-11-27,2025-12-03,FWD6002T,产线-01,6876,6738,0.98,22,计划,早班
WO00150,2025-06,2025-06-10,2025-06-15,FWD500WR,产线-08,5726,4867,0.85,90,已完成,早班
WO00151,2025-03,2025-03-06,2025-03-13,FWD5873A,产线-03,6054,5206,0.86,70,计划,中班
WO00152,2025-11,2025-11-05,2025-11-18,FWD211,产线-03,3141,3141,1.0,56,已完成,中班
WO00153,2025-05,2025-05-07,2025-05-12,FWD504WR,产线-07,4562,4425,0.97,57,生产中,夜班
WO00154,2025-08,2025-08-08,2025-08-17,FWD5516,产线-05,5184,4199,0.81,95,已完成,早班
WO00155,2025-01,2025-01-23,2025-01-25,FWD221,产线-04,6624,6094,0.92,75,计划,早班
WO00156,2024-12,2024-12-06,2024-12-12,FWD225,产线-07,6673,6606,0.99,17,计划,夜班
WO00157,2025-09,2025-09-16,2025-09-20,FWD5892,产线-04,7211,5985,0.83,12,已完成,早班
WO00158,2025-04,2025-04-16,2025-04-19,FWDV150B,产线-02,4948,4503,0.91,49,生产中,早班
WO00159,2024-12,2024-12-13,2024-12-26,FWD355,产线-02,6894,6411,0.93,136,已完成,夜班
WO00160,2025-02,2025-02-19,2025-03-03,FWD424,产线-04,5905,5551,0.94,20,已完成,中班
WO00161,2025-05,2025-05-21,2025-05-26,FWDD10X,产线-07,7651,6580,0.86,148,已完成,中班
WO00162,2025-06,2025-06-08,2025-06-09,FWD534,产线-03,3261,2772,0.85,55,生产中,夜班
WO00163,2025-06,2025-06-27,2025-07-07,FWD205WR,产线-07,3920,3802,0.97,15,已完成,早班
WO00164,2024-10,2024-10-04,2024-10-09,FWD6235,产线-02,6822,5799,0.85,12,已完成,夜班
WO00165,2025-09,2025-09-14,2025-09-15,FWD219WR,产线-04,4550,4186,0.92,58,生产中,中班
WO00166,2024-11,2024-11-24,2024-12-06,HM010AS,产线-01,2369,2014,0.85,24,已完成,夜班
WO00167,2025-01,2025-01-15,2025-01-29,FWD100,产线-02,7691,7076,0.92,54,已完成,早班
WO00168,2025-03,2025-03-23,2025-03-30,BHC9230YBH,产线-05,6606,5879,0.89,57,计划,早班
WO00169,2025-09,2025-09-17,2025-09-30,FWD6601A,产线-07,6620,6289,0.95,120,已完成,夜班
WO00170,2025-06,2025-06-21,2025-06-27,FWD7351,产线-07,2512,2236,0.89,46,已完成,早班
WO00171,2025-06,2025-06-16,2025-06-29,FWD123,产线-07,2907,2500,0.86,48,已完成,中班
WO00172,2024-10,2024-10-23,2024-10-28,FWDD10X,产线-06,1436,1393,0.97,4,生产中,中班
WO00173,2025-10,2025-10-04,2025-10-15,FWD5890,产线-08,6875,5844,0.85,109,已完成,夜班
WO00174,2025-08,2025-08-24,2025-09-04,FWD5870D,产线-02,507,416,0.82,3,已完成,中班
WO00175,2024-11,2024-11-06,2024-11-18,FWD289,产线-06,1813,1813,1.0,3,已完成,早班
WO00176,2025-05,2025-05-27,2025-06-07,FWD6860,产线-08,5448,4903,0.9,38,生产中,中班
WO00177,2025-01,2025-01-24,2025-02-05,FWD123,产线-01,4445,4089,0.92,6,已完成,早班
WO00178,2024-10,2024-10-13,2024-10-15,FWD96107SW,产线-08,3443,3374,0.98,14,已完成,早班
WO00179,2025-11,2025-11-26,2025-12-08,FWD6219,产线-03,4726,3828,0.81,35,已完成,中班
WO00180,2025-04,2025-04-28,2025-04-29,FWDV080,产线-03,7264,6973,0.96,131,计划,中班
WO00181,2025-03,2025-03-07,2025-03-15,FWDD29X,产线-07,6444,5542,0.86,57,已完成,夜班
WO00182,2024-12,2024-12-21,2025-01-04,FWD001,产线-04,1368,1218,0.89,8,计划,中班
WO00183,2025-08,2025-08-08,2025-08-12,FWD103TWR,产线-03,1838,1801,0.98,17,计划,夜班
WO00184,2024-10,2024-10-26,2024-10-28,FWD152,产线-04,238,190,0.8,4,生产中,夜班
WO00185,2025-04,2025-04-22,2025-05-03,FWDD21L,产线-08,5607,5215,0.93,24,已完成,早班
WO00186,2025-11,2025-11-23,2025-11-30,FWD535,产线-04,1228,995,0.81,18,计划,中班
WO00187,2025-08,2025-08-08,2025-08-12,FWD6882,产线-06,2500,2050,0.82,22,已完成,早班
WO00188,2024-11,2024-11-09,2024-11-10,FWDV060,产线-04,7808,6793,0.87,13,已完成,早班
WO00189,2024-12,2024-12-27,2024-12-28,FWD323WR,产线-08,6789,6246,0.92,62,生产中,夜班
WO00190,2025-08,2025-08-26,2025-09-01,FWD201,产线-05,3751,3263,0.87,39,生产中,早班
WO00191,2024-12,2024-12-27,2024-12-31,FWD6683T,产线-06,300,285,0.95,3,已完成,早班
WO00192,2025-11,2025-11-17,2025-11-20,FWD351,产线-03,560,554,0.99,10,已完成,早班
WO00193,2025-06,2025-06-28,2025-07-02,FWD502,产线-07,623,517,0.83,4,已完成,早班
WO00194,2025-09,2025-09-04,2025-09-07,FWD7322B,产线-03,3423,3389,0.99,56,计划,夜班
WO00195,2025-08,2025-08-08,2025-08-17,FWD320,产线-06,6013,4871,0.81,120,已完成,中班
WO00196,2024-10,2024-10-15,2024-10-22,FWD323M,产线-04,4744,4697,0.99,86,已完成,夜班
WO00197,2025-03,2025-03-17,2025-03-23,FWD123,产线-01,5982,5683,0.95,14,生产中,中班
WO00198,2025-09,2025-09-19,2025-10-01,FWD2205G,产线-08,1594,1578,0.99,10,生产中,夜班
WO00199,2024-10,2024-10-20,2024-10-31,FWDV150B,产线-06,6206,4965,0.8,111,已完成,中班
WO00200,2025-11,2025-11-25,2025-11-29,FWD201,产线-07,4826,4150,0.86,39,生产中,夜班
WO00201,2025-04,2025-04-06,2025-04-10,FWD6504T,产线-02,7183,6177,0.86,60,已完成,夜班
WO00202,2025-07,2025-07-20,2025-07-26,FWD5894,产线-05,6327,5251,0.83,75,已完成,夜班
WO00203,2025-03,2025-03-28,2025-04-07,FWD425B,产线-02,1641,1493,0.91,27,生产中,早班
WO00204,2024-12,2024-12-23,2024-12-24,FWD505,产线-08,6287,5344,0.85,75,已完成,中班
WO00205,2025-01,2025-01-14,2025-01-25,FWD522WR,产线-06,7589,6451,0.85,145,已完成,早班
WO00206,2024-12,2024-12-09,2024-12-16,BHC89230GY,产线-07,6362,6044,0.95,126,生产中,夜班
WO00207,2025-10,2025-10-03,2025-10-05,FWD524WR,产线-04,7315,6145,0.84,104,计划,夜班
WO00208,2025-04,2025-04-11,2025-04-15,FWDD10M,产线-07,2288,1853,0.81,32,生产中,中班
WO00209,2025-09,2025-09-05,2025-09-08,BHC5518,产线-04,5248,5196,0.99,2,已完成,早班
WO00210,2024-11,2024-11-03,2024-11-04,FWD320,产线-03,5767,5421,0.94,98,已完成,中班
WO00211,2025-03,2025-03-02,2025-03-13,BHC9233POH,产线-03,490,402,0.82,2,已完成,夜班
WO00212,2025-04,2025-04-14,2025-04-16,FWD001,产线-08,5539,5539,1.0,100,已完成,早班
WO00213,2025-07,2025-07-09,2025-07-22,BHC9328GR,产线-01,6037,5796,0.96,48,已完成,夜班
WO00214,2025-10,2025-10-25,2025-10-26,FWD6602E,产线-06,5738,5738,1.0,69,已完成,夜班
WO00215,2025-08,2025-08-13,2025-08-27,BHC89237BG,产线-05,6911,6496,0.94,60,已完成,夜班
WO00216,2025-07,2025-07-28,2025-08-07,FWDV040,产线-06,7346,7346,1.0,132,已完成,夜班
WO00217,2025-11,2025-11-08,2025-11-16,FWD217,产线-02,1430,1373,0.96,8,生产中,早班
WO00218,2025-08,2025-08-27,2025-08-30,FWD100,产线-01,7018,6246,0.89,117,计划,中班
WO00219,2025-06,2025-06-26,2025-07-02,FWD525,产线-02,1813,1559,0.86,0,生产中,中班
WO00220,2025-04,2025-04-03,2025-04-05,FWD5871A,产线-05,1652,1503,0.91,7,已完成,早班
WO00221,2025-11,2025-11-23,2025-12-05,FWD6603B,产线-04,7580,6140,0.81,81,计划,夜班
WO00222,2025-10,2025-10-15,2025-10-29,FWD249,产线-03,6481,5898,0.91,84,计划,早班
WO00223,2025-04,2025-04-01,2025-04-11,BHC9327GP,产线-01,7049,5992,0.85,92,已完成,早班
WO00224,2025-03,2025-03-05,2025-03-13,FWD6502,产线-02,3247,3052,0.94,23,已完成,夜班
WO00225,2024-11,2024-11-11,2024-11-22,FWD303WR,产线-02,1807,1735,0.96,5,计划,夜班
WO00226,2025-11,2025-11-15,2025-11-21,BHC89234BG,产线-03,4514,4017,0.89,57,已完成,中班
WO00227,2025-08,2025-08-14,2025-08-21,FWD3112,产线-01,1667,1400,0.84,0,已完成,中班
WO00228,2025-11,2025-11-02,2025-11-07,FWD6504A,产线-03,1845,1513,0.82,22,已完成,早班
WO00229,2025-09,2025-09-04,2025-09-05,FWD111,产线-01,5727,5555,0.97,111,已完成,早班
WO00230,2025-08,2025-08-15,2025-08-26,BHC9227GOH,产线-07,598,574,0.96,10,已完成,中班
WO00231,2024-12,2024-12-23,2025-01-05,BHC9325BR,产线-04,5137,4315,0.84,17,已完成,夜班
WO00232,2025-07,2025-07-17,2025-07-22,FWD231WR,产线-02,2245,2133,0.95,11,已完成,早班
WO00233,2025-05,2025-05-02,2025-05-12,FWDV095,产线-02,3907,3282,0.84,61,已完成,夜班
WO00234,2025-05,2025-05-13,2025-05-21,FWD5872C,产线-08,1697,1527,0.9,23,生产中,中班
WO00235,2025-01,2025-01-23,2025-02-04,FWD504WR,产线-04,3923,3452,0.88,24,已完成,中班
WO00236,2025-05,2025-05-05,2025-05-06,FWD299,产线-02,6449,6127,0.95,92,计划,夜班
WO00237,2025-07,2025-07-04,2025-07-15,FWDD21X,产线-07,270,267,0.99,5,计划,夜班
WO00238,2025-04,2025-04-04,2025-04-10,FWD5870B,产线-04,2900,2813,0.97,20,已完成,夜班
WO00239,2025-01,2025-01-11,2025-01-14,FWD235,产线-08,5738,5451,0.95,50,生产中,中班
WO00240,2025-07,2025-07-17,2025-07-27,FWD151WR,产线-05,5880,5292,0.9,17,生产中,中班
WO00241,2025-09,2025-09-18,2025-09-29,FWD6601,产线-07,6654,5722,0.86,32,已完成,中班
WO00242,2025-02,2025-02-20,2025-02-23,FWD408,产线-08,3433,3296,0.96,60,生产中,早班
WO00243,2025-10,2025-10-17,2025-10-23,FWD901KSW,产线-01,5921,5329,0.9,67,已完成,早班
WO00244,2025-07,2025-07-03,2025-07-07,FWD6307A,产线-03,1900,1634,0.86,37,生产中,中班
WO00245,2025-02,2025-02-07,2025-02-16,BHC9325BR,产线-06,971,806,0.83,3,计划,早班
WO00246,2024-11,2024-11-24,2024-12-07,FWD419B,产线-01,5578,4909,0.88,105,已完成,早班
WO00247,2025-07,2025-07-01,2025-07-12,BHC9320YB,产线-07,5017,4565,0.91,76,生产中,早班
WO00248,2025-06,2025-06-26,2025-07-06,FWD5870A,产线-08,232,213,0.92,4,已完成,夜班
WO00249,2025-10,2025-10-01,2025-10-05,FWD5870B,产线-04,1014,984,0.97,1,已完成,夜班
WO00250,2025-02,2025-02-16,2025-03-02,FWD524,产线-08,3555,3271,0.92,15,生产中,中班
WO00251,2025-05,2025-05-20,2025-05-21,FWDV155,产线-05,6702,6300,0.94,36,已完成,早班
WO00252,2025-03,2025-03-02,2025-03-06,FWD6003,产线-01,1556,1416,0.91,11,已完成,夜班
WO00253,2024-12,2024-12-23,2024-12-28,BHC9230YBH,产线-07,6870,6252,0.91,118,已完成,早班
WO00254,2024-11,2024-11-02,2024-11-16,FWD6603B,产线-03,3498,2798,0.8,11,已完成,夜班
WO00255,2025-08,2025-08-21,2025-08-22,FWDD10M,产线-07,2422,2301,0.95,45,计划,早班
WO00256,2025-08,2025-08-20,2025-08-30,FWD535,产线-07,2836,2496,0.88,21,已完成,中班
