month,carrier,destination,total_shipments,on_time_count,on_time_rate,avg_delay_days,damage_rate,avg_cost_rmb,customer_rating
2025-11,顺丰,上海,60,53,0.8833,0.0,0.02,1370.06,3.5
2025-11,顺丰,南京,67,61,0.9104,0.71,0.02,642.66,4.3
2025-11,顺丰,武汉,137,121,0.8832,2.09,0.02,1131.7,4.0
2025-11,顺丰,Singapore,177,154,0.8701,1.77,0.0,587.47,3.6
2025-11,顺丰,Tokyo,103,96,0.932,2.58,0.01,875.03,4.5
2025-11,顺丰,杭州,96,93,0.9688,2.62,0.01,1473.75,4.0
2025-11,顺丰,成都,129,126,0.9767,1.19,0.0,722.2,4.0
2024-10,德邦,成都,299,266,0.8896,2.86,0.0,904.46,4.9
2024-10,德邦,广州,76,58,0.7632,0.81,0.01,455.38,4.2
2024-10,德邦,南京,101,100,0.9901,1.69,0.01,1050.78,3.9
2024-10,德邦,Frankfurt,218,174,0.7982,2.9,0.0,289.92,4.9
2024-11,德邦,北京,88,75,0.8523,2.41,0.02,718.47,4.2
2024-11,德邦,西安,244,217,0.8893,1.28,0.01,504.21,3.7
2024-11,德邦,Los Angeles,103,85,0.8252,2.21,0.01,834.6,4.9
2024-12,德邦,西安,208,191,0.9183,0.14,0.01,1016.7,4.3
2024-12,德邦,南京,72,58,0.8056,0.81,0.02,1323.81,4.3
2024-12,德邦,武汉,248,246,0.9919,1.77,0.0,982.03,4.7
2024-12,德邦,广州,135,116,0.8593,2.17,0.01,1137.62,4.6
2025-01,德邦,重庆,200,176,0.88,0.17,0.02,1166.29,3.9
2025-01,德邦,Los Angeles,299,296,0.99,0.23,0.02,1496.04,4.7
2025-01,德邦,南京,204,177,0.8676,2.99,0.02,366.44,3.6
2025-01,德邦,广州,269,210,0.7807,1.18,0.0,1393.89,3.6
2025-01,德邦,成都,256,210,0.8203,2.45,0.01,1205.45,4.3
2025-01,德邦,上海,250,245,0.98,2.37,0.01,1456.14,3.6
2025-02,德邦,Los Angeles,144,131,0.9097,2.75,0.01,1261.49,4.9
2025-02,德邦,成都,223,212,0.9507,0.04,0.02,1023.43,4.3
2025-02,德邦,杭州,242,182,0.7521,2.86,0.02,1471.07,5.0
2025-02,德邦,Tokyo,23,20,0.8696,1.91,0.02,88.67,3.5
2025-02,德邦,西安,191,178,0.9319,0.62,0.01,1303.15,3.9
2025-02,德邦,南京,235,190,0.8085,0.29,0.01,811.19,3.7
2025-02,德邦,广州,172,165,0.9593,1.92,0.02,501.12,3.9
2025-03,德邦,广州,61,52,0.8525,1.02,0.01,1361.21,4.9
2025-03,德邦,Los Angeles,232,223,0.9612,2.02,0.01,464.54,3.8
2025-03,德邦,Tokyo,254,244,0.9606,1.46,0.01,1298.31,3.9
2025-03,德邦,北京,159,129,0.8113,2.02,0.0,349.59,3.9
2025-03,德邦,西安,266,242,0.9098,0.63,0.0,260.37,4.4
2025-04,德邦,北京,38,34,0.8947,1.47,0.01,1190.43,5.0
2025-04,德邦,Seoul,129,104,0.8062,2.62,0.01,1310.79,3.6
2025-04,德邦,上海,53,47,0.8868,0.8,0.02,768.62,4.6
2025-04,德邦,Frankfurt,25,20,0.8,2.86,0.02,1237.78,3.9
2025-04,德邦,成都,133,124,0.9323,0.39,0.01,921.49,3.5
2025-05,德邦,西安,220,172,0.7818,2.99,0.02,544.24,4.0
2025-05,德邦,北京,249,239,0.9598,1.17,0.01,1436.35,4.5
2025-05,德邦,武汉,276,243,0.8804,2.76,0.0,1188.32,4.3
2025-05,德邦,上海,175,149,0.8514,0.51,0.01,768.93,4.1
2025-05,德邦,Los Angeles,44,37,0.8409,0.3,0.01,620.96,4.2
2025-06,德邦,成都,142,125,0.8803,0.45,0.01,964.16,4.3
2025-06,德邦,Frankfurt,234,199,0.8504,2.18,0.02,278.39,4.4
2025-06,德邦,南京,259,202,0.7799,0.78,0.02,1038.32,4.3
2025-06,德邦,杭州,228,214,0.9386,0.41,0.01,562.85,4.4
2025-06,德邦,西安,81,65,0.8025,0.41,0.01,662.53,4.7
2025-06,德邦,深圳,57,45,0.7895,2.69,0.01,556.03,4.6
2025-07,德邦,广州,204,200,0.9804,1.34,0.01,1414.82,4.6
2025-07,德邦,上海,272,228,0.8382,0.22,0.02,363.65,4.2
2025-07,德邦,Singapore,124,102,0.8226,0.81,0.01,491.2,3.7
2025-07,德邦,Los Angeles,280,246,0.8786,2.27,0.0,1256.22,4.7
2025-07,德邦,Frankfurt,43,41,0.9535,1.24,0.0,596.29,4.8
2025-07,德邦,南京,132,102,0.7727,1.23,0.02,1463.59,4.9
2025-07,德邦,武汉,295,263,0.8915,2.46,0.01,1026.32,4.4
2025-07,德邦,Tokyo,175,144,0.8229,1.5,0.0,845.59,3.7
2025-08,德邦,Los Angeles,62,48,0.7742,1.65,0.01,1205.55,4.3
2025-08,德邦,广州,154,145,0.9416,2.99,0.01,1230.08,3.8
2025-08,德邦,Seoul,252,249,0.9881,1.72,0.01,596.99,3.7
2025-08,德邦,深圳,109,98,0.8991,2.33,0.01,1396.35,5.0
2025-08,德邦,Tokyo,221,208,0.9412,1.38,0.01,1322.59,4.4
2025-09,德邦,Seoul,242,194,0.8017,0.45,0.0,341.76,3.8
2025-09,德邦,Los Angeles,30,25,0.8333,0.64,0.01,1069.68,3.9
2025-09,德邦,深圳,254,221,0.8701,1.51,0.02,1109.9,4.1
2025-09,德邦,Frankfurt,122,100,0.8197,1.7,0.01,370.82,4.3
2025-09,德邦,重庆,96,82,0.8542,2.78,0.01,281.97,5.0
2025-09,德邦,广州,126,107,0.8492,1.06,0.0,116.89,3.7
2025-09,德邦,Tokyo,54,48,0.8889,1.7,0.0,1053.94,4.5
2025-10,德邦,杭州,231,203,0.8788,1.02,0.01,150.38,5.0
2025-10,德邦,上海,73,66,0.9041,1.65,0.0,1160.09,3.6
2025-10,德邦,Frankfurt,242,194,0.8017,0.11,0.01,585.17,4.3
2025-10,德邦,Tokyo,164,128,0.7805,0.65,0.01,835.6,3.6
2025-11,德邦,深圳,102,91,0.8922,2.0,0.02,80.99,3.5
2025-11,德邦,杭州,117,96,0.8205,1.45,0.02,491.74,4.9
2025-11,德邦,广州,189,170,0.8995,2.3,0.02,1451.83,4.6
2025-11,德邦,Los Angeles,70,67,0.9571,1.7,0.02,1475.41,4.9
2025-11,德邦,西安,291,268,0.921,1.2,0.01,83.39,4.2
2025-11,德邦,Seoul,219,182,0.8311,0.04,0.02,430.36,4.6
2025-11,德邦,Tokyo,123,98,0.7967,1.85,0.02,168.51,4.0
2025-11,德邦,上海,234,206,0.8803,2.37,0.01,130.29,4.4
2024-10,京东物流,武汉,187,151,0.8075,0.95,0.0,206.74,4.2
2024-10,京东物流,深圳,68,52,0.7647,2.53,0.02,1278.66,4.1
2024-10,京东物流,西安,269,207,0.7695,1.39,0.0,192.59,3.7
2024-10,京东物流,重庆,299,269,0.8997,1.79,0.01,100.1,4.9
2024-10,京东物流,北京,283,260,0.9187,1.73,0.02,1109.61,4.0
2024-10,京东物流,Frankfurt,205,156,0.761,1.83,0.0,1445.6,4.5
2024-10,京东物流,成都,73,64,0.8767,0.17,0.01,179.27,4.9
2024-10,京东物流,Los Angeles,66,59,0.8939,1.81,0.01,826.78,4.3
2024-11,京东物流,成都,172,151,0.8779,2.55,0.01,458.76,3.8
2024-11,京东物流,Seoul,96,85,0.8854,2.15,0.01,1481.93,3.8
2024-11,京东物流,Tokyo,288,248,0.8611,2.88,0.01,428.96,4.7
2024-11,京东物流,Frankfurt,55,46,0.8364,1.06,0.01,491.61,4.2
2024-11,京东物流,南京,292,274,0.9384,2.72,0.02,1349.03,4.2
2024-11,京东物流,北京,36,35,0.9722,2.6,0.01,1403.49,3.9
2024-11,京东物流,Los Angeles,140,112,0.8,0.4,0.01,994.86,4.3
2024-11,京东物流,上海,201,167,0.8308,0.18,0.0,1031.48,4.1
2024-12,京东物流,Tokyo,249,222,0.8916,1.33,0.0,1247.75,4.2
2024-12,京东物流,杭州,47,43,0.9149,2.73,0.0,269.98,4.2
2024-12,京东物流,成都,206,167,0.8107,1.84,0.0,556.73,4.7
2024-12,京东物流,西安,30,25,0.8333,0.78,0.01,441.83,4.8
2024-12,京东物流,Seoul,253,190,0.751,2.09,0.02,1259.27,4.7
2024-12,京东物流,广州,176,143,0.8125,1.89,0.0,1306.87,4.0
2024-12,京东物流,Los Angeles,247,210,0.8502,2.14,0.01,463.46,4.2
2025-01,京东物流,西安,100,95,0.95,0.34,0.02,1036.08,4.2
2025-01,京东物流,上海,152,149,0.9803,0.65,0.02,705.47,4.7
2025-01,京东物流,南京,207,190,0.9179,0.11,0.01,1474.58,3.9
2025-01,京东物流,广州,67,53,0.791,2.53,0.0,873.39,4.6
2025-01,京东物流,深圳,205,170,0.8293,1.12,0.0,1346.91,4.3
2025-02,京东物流,广州,105,96,0.9143,1.0,0.01,1464.17,4.5
2025-02,京东物流,Singapore,172,132,0.7674,0.05,0.01,1398.73,4.8
2025-02,京东物流,Tokyo,31,25,0.8065,0.05,0.01,950.6,4.7
2025-02,京东物流,西安,74,68,0.9189,2.7,0.01,598.62,3.9
2025-02,京东物流,Seoul,295,271,0.9186,0.68,0.0,89.84,5.0
2025-02,京东物流,上海,102,96,0.9412,0.06,0.0,679.55,4.6
2025-03,京东物流,北京,137,104,0.7591,1.31,0.01,1423.79,3.8
2025-03,京东物流,南京,260,200,0.7692,0.99,0.01,564.69,4.3
2025-03,京东物流,上海,57,55,0.9649,0.7,0.01,130.24,3.5
2025-03,京东物流,重庆,26,24,0.9231,1.69,0.01,134.41,5.0
2025-03,京东物流,深圳,288,222,0.7708,0.63,0.0,589.08,3.8
2025-03,京东物流,广州,259,241,0.9305,2.64,0.0,449.01,4.2
2025-03,京东物流,武汉,279,218,0.7814,0.25,0.01,493.83,4.4
2025-04,京东物流,北京,193,187,0.9689,2.33,0.0,1208.54,3.9
2025-04,京东物流,成都,114,86,0.7544,1.89,0.01,334.74,4.8
2025-04,京东物流,武汉,25,21,0.84,1.88,0.0,847.72,4.2
2025-04,京东物流,杭州,251,246,0.9801,2.03,0.01,1435.69,3.7
2025-04,京东物流,深圳,77,72,0.9351,1.93,0.02,627.38,3.8
2025-04,京东物流,南京,101,77,0.7624,1.04,0.02,108.22,4.2
2025-04,京东物流,重庆,197,193,0.9797,1.3,0.02,596.65,4.1
2025-04,京东物流,Seoul,51,39,0.7647,0.11,0.01,514.55,4.5
2025-05,京东物流,南京,53,46,0.8679,1.17,0.01,950.68,4.2
2025-05,京东物流,Frankfurt,168,163,0.9702,2.18,0.01,283.57,5.0
2025-05,京东物流,Singapore,120,112,0.9333,1.54,0.01,1279.3,4.2
2025-05,京东物流,Seoul,116,106,0.9138,1.6,0.01,1441.16,3.7
2025-05,京东物流,西安,181,154,0.8508,0.09,0.01,646.89,3.9
2025-05,京东物流,杭州,279,248,0.8889,0.01,0.01,204.51,4.8
2025-05,京东物流,Los Angeles,228,217,0.9518,1.65,0.0,153.87,3.6
2025-06,京东物流,杭州,207,188,0.9082,2.11,0.0,1214.65,4.2
2025-06,京东物流,上海,217,197,0.9078,0.99,0.01,1268.88,3.9
2025-06,京东物流,深圳,284,244,0.8592,2.18,0.01,1004.46,4.4
2025-06,京东物流,南京,68,56,0.8235,2.54,0.01,612.64,3.9
2025-06,京东物流,Tokyo,118,113,0.9576,0.18,0.01,554.3,3.7
2025-06,京东物流,Frankfurt,158,150,0.9494,1.26,0.01,918.24,4.7
2025-06,京东物流,重庆,61,52,0.8525,0.03,0.01,1185.23,4.1
2025-07,京东物流,Tokyo,298,235,0.7886,0.23,0.02,1179.69,4.4
2025-07,京东物流,Frankfurt,192,169,0.8802,0.3,0.0,952.83,4.3
2025-07,京东物流,武汉,246,221,0.8984,2.79,0.02,338.61,3.9
2025-07,京东物流,Los Angeles,273,224,0.8205,0.47,0.01,470.82,5.0
2025-07,京东物流,杭州,262,233,0.8893,2.89,0.01,948.06,4.0
2025-07,京东物流,上海,120,95,0.7917,1.4,0.0,913.52,4.4
2025-07,京东物流,Singapore,50,50,1.0,2.69,0.0,1390.51,4.1
2025-07,京东物流,成都,80,68,0.85,1.24,0.02,1021.51,4.1
2025-08,京东物流,Singapore,114,106,0.9298,2.1,0.01,866.51,4.7
2025-08,京东物流,Tokyo,188,150,0.7979,2.8,0.01,1057.29,4.5
2025-08,京东物流,武汉,179,152,0.8492,1.41,0.01,721.31,3.6
2025-08,京东物流,Seoul,261,198,0.7586,0.15,0.0,1201.95,3.8
2025-09,京东物流,重庆,274,227,0.8285,2.81,0.0,1445.51,3.6
2025-09,京东物流,Singapore,299,251,0.8395,0.64,0.0,371.32,3.8
2025-09,京东物流,Frankfurt,62,53,0.8548,2.95,0.0,130.98,3.5
2025-09,京东物流,广州,249,222,0.8916,2.25,0.01,953.92,3.8
2025-09,京东物流,上海,27,23,0.8519,1.92,0.0,1495.32,4.7
2025-10,京东物流,Tokyo,290,284,0.9793,1.9,0.02,276.72,4.3
2025-10,京东物流,上海,173,133,0.7688,1.59,0.0,284.91,4.9
2025-10,京东物流,南京,98,96,0.9796,0.8,0.01,1170.28,3.7
2025-10,京东物流,Frankfurt,249,214,0.8594,2.85,0.0,874.08,4.2
2025-10,京东物流,武汉,55,44,0.8,0.38,0.01,690.23,3.7
2025-10,京东物流,深圳,107,92,0.8598,2.52,0.01,445.38,4.3
2025-10,京东物流,西安,286,260,0.9091,1.07,0.0,1386.14,3.8
2025-10,京东物流,成都,44,38,0.8636,2.05,0.02,474.12,4.1
2025-11,京东物流,重庆,58,48,0.8276,1.41,0.01,742.48,3.9
2025-11,京东物流,上海,255,201,0.7882,2.98,0.01,869.85,3.9
2025-11,京东物流,杭州,119,113,0.9496,2.05,0.02,1137.84,4.7
2025-11,京东物流,成都,250,208,0.832,1.8,0.01,213.79,5.0
2025-11,京东物流,武汉,169,152,0.8994,0.8,0.0,271.96,3.9
2025-11,京东物流,Los Angeles,32,29,0.9062,2.08,0.02,1029.64,4.5
2024-10,中外运,Seoul,206,190,0.9223,0.83,0.0,481.1,4.9
2024-10,中外运,Frankfurt,264,235,0.8902,2.1,0.01,936.46,4.1
2024-10,中外运,Los Angeles,253,228,0.9012,2.87,0.02,630.92,3.6
2024-10,中外运,重庆,219,175,0.7991,1.32,0.01,598.32,4.5
2024-10,中外运,Tokyo,227,191,0.8414,2.17,0.0,640.22,3.8
2024-10,中外运,北京,57,48,0.8421,0.82,0.02,481.16,3.6
2024-10,中外运,杭州,266,210,0.7895,0.5,0.0,754.02,3.8
2024-10,中外运,Singapore,59,52,0.8814,2.08,0.02,287.49,4.3
2024-11,中外运,Los Angeles,71,65,0.9155,1.4,0.0,133.67,4.9
2024-11,中外运,Singapore,152,120,0.7895,1.98,0.01,540.61,3.5
2024-11,中外运,南京,137,132,0.9635,1.96,0.01,1006.9,4.4
2024-11,中外运,Frankfurt,25,21,0.84,2.12,0.0,839.95,4.5
2024-11,中外运,Seoul,215,194,0.9023,2.56,0.01,1259.49,3.5
2024-11,中外运,Tokyo,157,141,0.8981,0.79,0.01,768.47,3.9
2024-12,中外运,西安,75,58,0.7733,1.14,0.01,724.74,3.9
2024-12,中外运,Los Angeles,94,84,0.8936,2.61,0.01,1020.79,4.0
2024-12,中外运,杭州,34,32,0.9412,1.15,0.0,1209.15,4.9
2024-12,中外运,成都,40,39,0.975,2.21,0.02,692.76,3.8
2024-12,中外运,武汉,22,17,0.7727,1.7,0.01,902.19,4.1
2024-12,中外运,南京,76,74,0.9737,0.79,0.02,1406.36,4.7
2025-01,中外运,北京,211,158,0.7488,1.51,0.02,364.28,4.6
2025-01,中外运,重庆,96,81,0.8438,1.23,0.01,229.72,4.8
2025-01,中外运,深圳,268,252,0.9403,2.79,0.02,1250.19,3.8
2025-01,中外运,南京,179,168,0.9385,1.52,0.01,209.79,3.6
2025-01,中外运,广州,294,241,0.8197,1.1,0.0,271.3,4.1
2025-02,中外运,Frankfurt,25,23,0.92,0.85,0.0,969.79,4.4
2025-02,中外运,南京,88,85,0.9659,2.39,0.0,451.12,4.9
2025-02,中外运,广州,142,122,0.8592,1.38,0.01,215.96,4.6
2025-02,中外运,杭州,145,130,0.8966,2.74,0.01,150.94,4.9
2025-02,中外运,西安,222,186,0.8378,2.37,0.01,1037.43,4.4
2025-02,中外运,Tokyo,173,130,0.7514,2.96,0.01,110.44,3.8
2025-02,中外运,深圳,267,243,0.9101,0.26,0.01,470.18,4.5
2025-02,中外运,武汉,275,267,0.9709,0.51,0.01,1324.48,4.8
2025-03,中外运,Frankfurt,172,167,0.9709,1.1,0.02,1245.64,5.0
2025-03,中外运,上海,41,34,0.8293,1.86,0.01,1105.35,3.7
2025-03,中外运,Seoul,222,202,0.9099,1.16,0.01,1223.98,3.8
2025-03,中外运,西安,266,210,0.7895,2.26,0.01,859.01,3.5
2025-03,中外运,南京,163,153,0.9387,0.32,0.01,1315.1,3.6
2025-03,中外运,北京,92,83,0.9022,2.68,0.02,1289.79,4.3
2025-04,中外运,南京,70,61,0.8714,0.34,0.01,1357.73,3.9
2025-04,中外运,Tokyo,212,170,0.8019,1.47,0.01,825.97,4.3
2025-04,中外运,广州,261,227,0.8697,0.49,0.0,755.74,4.9
2025-04,中外运,Frankfurt,45,45,1.0,2.43,0.01,932.07,3.7
2025-04,中外运,Singapore,68,52,0.7647,0.84,0.01,1167.89,3.7
2025-05,中外运,武汉,178,171,0.9607,0.36,0.02,1022.35,4.2
2025-05,中外运,广州,155,126,0.8129,2.23,0.02,767.57,3.7
2025-05,中外运,重庆,96,88,0.9167,1.79,0.0,307.89,4.4
2025-05,中外运,上海,261,211,0.8084,2.26,0.02,423.96,3.9
2025-05,中外运,北京,156,142,0.9103,1.89,0.01,232.92,3.9
2025-06,中外运,南京,23,20,0.8696,2.73,0.01,621.44,3.9
2025-06,中外运,成都,70,59,0.8429,0.13,0.02,481.79,4.8
2025-06,中外运,上海,154,137,0.8896,0.1,0.0,1038.14,4.5
2025-06,中外运,深圳,254,246,0.9685,0.78,0.0,751.94,4.7
2025-06,中外运,杭州,139,107,0.7698,1.99,0.01,1119.23,3.9
2025-06,中外运,北京,47,46,0.9787,2.61,0.0,1320.03,4.1
2025-06,中外运,重庆,168,163,0.9702,0.02,0.01,1372.97,4.4
2025-06,中外运,广州,262,246,0.9389,1.62,0.01,1381.02,4.2
2025-07,中外运,上海,198,188,0.9495,0.59,0.01,1275.83,3.6
2025-07,中外运,西安,128,104,0.8125,0.04,0.02,1024.0,4.5
2025-07,中外运,Seoul,295,224,0.7593,1.86,0.01,1069.11,4.1
2025-07,中外运,北京,129,123,0.9535,1.0,0.02,179.1,4.2
2025-07,中外运,成都,133,117,0.8797,1.84,0.02,719.37,4.2
2025-07,中外运,武汉,31,26,0.8387,0.72,0.02,1244.98,3.5
2025-07,中外运,深圳,133,116,0.8722,2.35,0.01,843.78,4.0
2025-08,中外运,Singapore,261,248,0.9502,2.71,0.0,1484.49,4.6
2025-08,中外运,Tokyo,272,267,0.9816,0.61,0.0,1229.49,4.6
2025-08,中外运,西安,171,166,0.9708,0.39,0.01,932.14,3.5
2025-08,中外运,上海,63,52,0.8254,0.19,0.01,407.31,4.4
2025-08,中外运,Frankfurt,261,235,0.9004,1.03,0.01,1393.71,4.5
2025-09,中外运,成都,132,124,0.9394,2.35,0.01,494.38,3.7
2025-09,中外运,Singapore,158,123,0.7785,0.03,0.0,151.62,4.7
2025-09,中外运,Frankfurt,201,159,0.791,2.76,0.0,204.17,3.7
2025-10,中外运,广州,294,276,0.9388,2.61,0.02,1022.69,3.7
2025-10,中外运,Frankfurt,107,90,0.8411,0.61,0.02,1256.53,3.7
2025-10,中外运,北京,63,56,0.8889,1.57,0.01,469.63,4.1
2025-10,中外运,Seoul,268,212,0.791,1.68,0.0,557.18,4.8
2025-11,中外运,北京,21,16,0.7619,1.71,0.01,617.44,4.4
2025-11,中外运,重庆,238,207,0.8697,0.57,0.01,271.0,4.2
2025-11,中外运,南京,153,138,0.902,2.75,0.02,1420.58,3.5
2025-11,中外运,武汉,79,69,0.8734,1.06,0.0,476.29,4.5
2025-11,中外运,Los Angeles,127,100,0.7874,2.48,0.01,1120.47,4.4
2025-11,中外运,Frankfurt,274,252,0.9197,2.96,0.01,283.08,3.7
2024-10,DHL,杭州,242,225,0.9298,2.49,0.0,1240.94,5.0
2024-10,DHL,上海,230,196,0.8522,0.67,0.01,1460.7,3.9
2024-10,DHL,广州,70,55,0.7857,2.86,0.01,265.64,4.2
2024-10,DHL,Los Angeles,199,181,0.9095,1.78,0.01,1109.93,3.6
2024-10,DHL,成都,299,281,0.9398,1.09,0.02,413.93,4.0
2024-10,DHL,北京,22,20,0.9091,1.62,0.01,378.84,4.5
2024-10,DHL,Frankfurt,195,150,0.7692,0.19,0.0,508.34,4.0
2024-11,DHL,重庆,153,118,0.7712,2.61,0.02,389.85,4.4
2024-11,DHL,Los Angeles,87,80,0.9195,1.19,0.0,1119.33,5.0
2024-11,DHL,Frankfurt,101,79,0.7822,2.22,0.02,997.24,4.4
2024-11,DHL,武汉,266,261,0.9812,1.9,0.0,1141.15,3.6
2024-12,DHL,西安,66,63,0.9545,1.19,0.02,568.07,4.3
2024-12,DHL,南京,87,68,0.7816,0.5,0.0,1170.52,4.9
2024-12,DHL,武汉,124,98,0.7903,2.69,0.02,1411.33,3.5
2024-12,DHL,成都,172,146,0.8488,2.1,0.0,89.26,3.8
2024-12,DHL,Seoul,261,209,0.8008,1.09,0.0,644.77,4.6
2025-01,DHL,Singapore,292,254,0.8699,2.18,0.0,233.85,5.0
2025-01,DHL,Seoul,33,26,0.7879,1.7,0.02,1396.65,4.5
2025-01,DHL,Frankfurt,256,218,0.8516,0.35,0.01,444.51,5.0
2025-01,DHL,西安,114,95,0.8333,2.53,0.01,1323.83,4.4
2025-01,DHL,杭州,258,245,0.9496,1.71,0.0,455.21,4.4
2025-01,DHL,Los Angeles,261,248,0.9502,0.04,0.01,1418.25,4.3
