order_id,month,order_date,customer_id,sku,category,qty,unit_price,total_amount,discount_pct,status,channel
ORD00042,2025-10,2025-10-22,CUST0060,FWD110,银白系列,853,28.35,24182.55,0.02,已完成,直销
ORD00043,2024-10,2024-10-15,CUST0257,FWD6500A,水晶系列,372,47.85,17800.2,0.08,处理中,线下门店
ORD00044,2024-10,2024-10-12,CUST0069,FWD151WR,耐候系列,305,51.6,15738.0,0.01,已完成,展会
ORD00045,2024-12,2024-12-21,CUST0039,FWD6303,水晶系列,42,76.5,3213.0,0.09,已完成,展会
ORD00046,2024-10,2024-10-17,CUST0001,FWD163,银白系列,578,24.75,14305.5,0.1,处理中,线下门店
ORD00047,2024-11,2024-11-25,CUST0220,FWD224,虹彩系列,320,32.62,10440.0,0.05,处理中,展会
ORD00048,2025-10,2025-10-23,CUST0130,FWD5519,金属彩光系列,135,53.4,7209.0,0.14,已完成,直销
ORD00049,2024-11,2024-11-08,CUST0288,FWDD28L,钻石系列,993,271.6,269698.8,0.02,已取消,直销
ORD00050,2025-03,2025-03-12,CUST0170,FWDD25X,钻石系列,806,225.0,181350.0,0.06,处理中,直销
ORD00051,2025-09,2025-09-04,CUST0246,FWD400B,着色系列,162,38.72,6272.64,0.14,已完成,经销商
ORD00052,2025-06,2025-06-01,CUST0142,FWD402,着色系列,239,43.12,10305.68,0.03,处理中,电商平台
ORD00053,2025-07,2025-07-21,CUST0129,FWD5894,钻石系列,713,230.0,163990.0,0.01,已完成,展会
ORD00054,2025-10,2025-10-27,CUST0214,FWD5893,钻石系列,335,245.0,82075.0,0.13,已完成,线下门店
ORD00055,2025-06,2025-06-14,CUST0286,FWD410,着色系列,503,58.2,29274.6,0.12,已完成,线下门店
ORD00056,2024-10,2024-10-01,CUST0225,FWD7305,其他,131,52.2,6838.2,0.06,已完成,展会
ORD00057,2025-10,2025-10-27,CUST0117,FWD300,金色系列,849,38.62,32792.62,0.03,处理中,电商平台
ORD00058,2024-10,2024-10-24,CUST0203,FWDD29X,钻石系列,125,357.0,44625.0,0.03,已完成,电商平台
ORD00059,2024-11,2024-11-18,CUST0293,FWD6884,水晶系列,248,50.6,12548.8,0.03,已取消,经销商
ORD00060,2024-12,2024-12-01,CUST0288,BHC9321RY,玻璃变色龙,743,480.0,356640.0,0.1,处理中,直销
ORD00061,2024-10,2024-10-17,CUST0096,BHC9275BOH,化妆品系列,724,224.4,162465.6,0.03,已取消,展会
ORD00062,2025-02,2025-02-25,CUST0136,FWD6601,磁性珠光,72,129.0,9288.0,0.05,已取消,直销
ORD00063,2025-10,2025-10-17,CUST0233,BHC9327GP,玻璃变色龙,675,495.0,334125.0,0.12,已取消,展会
ORD00064,2025-01,2025-01-02,CUST0139,FWDD23L,钻石系列,666,274.4,182750.4,0.0,已完成,电商平台
ORD00065,2025-10,2025-10-25,CUST0050,FWD416,着色系列,809,55.8,45142.2,0.04,已完成,经销商
ORD00066,2024-10,2024-10-01,CUST0255,BHC9227GOH,化妆品系列,120,213.4,25608.0,0.13,已完成,展会
ORD00067,2024-12,2024-12-08,CUST0114,FWDD27M,钻石系列,918,254.8,233906.4,0.07,已完成,直销
ORD00068,2025-08,2025-08-19,CUST0026,FWDV150,玻璃包银系列,801,2329.6,1866009.6,0.06,已完成,线下门店
ORD00069,2025-06,2025-06-16,CUST0070,FWD6300,水晶系列,715,83.3,59559.5,0.12,已完成,展会
ORD00070,2025-02,2025-02-22,CUST0168,FWD201,虹彩系列,759,33.0,25047.0,0.13,处理中,展会
ORD00071,2025-03,2025-03-02,CUST0267,FWD425,着色系列,624,60.6,37814.4,0.12,处理中,展会
ORD00072,2025-05,2025-05-06,CUST0168,FWD231,虹彩系列,499,33.0,16467.0,0.01,已取消,直销
ORD00073,2025-01,2025-01-21,CUST0048,FWD6840,水晶系列,751,78.2,58728.2,0.1,已完成,电商平台
ORD00074,2025-05,2025-05-08,CUST0148,FWD534,金属彩光系列,128,34.34,4395.52,0.13,已取消,电商平台
ORD00075,2025-06,2025-06-24,CUST0141,FWD5873A,钻石系列,46,268.8,12364.8,0.01,已完成,直销
ORD00076,2024-10,2024-10-21,CUST0100,FWDD23L,钻石系列,143,285.6,40840.8,0.11,已取消,经销商
ORD00077,2025-04,2025-04-28,CUST0300,FWD323M,金色系列,122,37.88,4620.75,0.01,已取消,线下门店
ORD00078,2025-08,2025-08-25,CUST0300,FWD3504,金属彩光系列,119,30.6,3641.4,0.0,已完成,电商平台
ORD00079,2025-09,2025-09-21,CUST0154,FWD6882,水晶系列,447,50.6,22618.2,0.02,已完成,线下门店
ORD00080,2025-04,2025-04-23,CUST0088,FWD421,着色系列,408,51.6,21052.8,0.12,已取消,展会
ORD00081,2025-10,2025-10-12,CUST0194,FWD425,着色系列,852,57.6,49075.2,0.12,已取消,展会
ORD00082,2025-08,2025-08-19,CUST0148,FWDV095B,玻璃包银系列,162,1691.0,273942.0,0.04,已取消,展会
ORD00083,2025-02,2025-02-05,CUST0233,FWD6300T,水晶系列,963,85.0,81855.0,0.07,已完成,电商平台
ORD00084,2024-12,2024-12-28,CUST0137,FWD7351,其他,246,57.6,14169.6,0.02,处理中,展会
ORD00085,2025-07,2025-07-23,CUST0048,FWD5518WR,耐候系列,303,103.2,31269.6,0.05,已取消,经销商
ORD00086,2024-11,2024-11-13,CUST0039,FWD6009,超白系列,470,45.9,21573.0,0.11,已完成,直销
ORD00087,2025-05,2025-05-05,CUST0251,BHC89233BR,着色变色龙,308,440.0,135520.0,0.07,已完成,经销商
ORD00088,2024-10,2024-10-09,CUST0286,FWD7305,其他,888,52.2,46353.6,0.08,已完成,电商平台
ORD00089,2025-11,2025-11-27,CUST0019,FWD6683T,磁性珠光,662,261.0,172782.0,0.1,已取消,展会
ORD00090,2024-10,2024-10-07,CUST0193,FWD6502,水晶系列,126,50.05,6306.3,0.04,已完成,线下门店
ORD00091,2025-03,2025-03-09,CUST0204,FWD400B,着色系列,899,40.92,36787.08,0.03,处理中,展会
ORD00092,2025-05,2025-05-12,CUST0001,FWD6215,水晶系列,910,57.75,52552.5,0.04,已取消,展会
ORD00093,2024-11,2024-11-13,CUST0200,FWD500WR,耐候系列,971,88.2,85642.2,0.08,已完成,经销商
ORD00094,2025-10,2025-10-03,CUST0276,FWDD10X,钻石系列,146,122.4,17870.4,0.06,已取消,经销商
ORD00095,2025-11,2025-11-11,CUST0116,FWDD10M,钻石系列,961,103.2,99175.2,0.01,已取消,线下门店
ORD00096,2024-12,2024-12-24,CUST0111,FWD6007,超白系列,124,41.65,5164.6,0.07,处理中,展会
ORD00097,2025-09,2025-09-17,CUST0033,FWD5891,钻石系列,846,242.5,205155.0,0.04,已取消,直销
ORD00098,2025-08,2025-08-23,CUST0131,FWD530,金属彩光系列,281,29.24,8216.44,0.06,已取消,线下门店
ORD00099,2025-03,2025-03-14,CUST0058,FWD419B,着色系列,608,52.8,32102.4,0.11,已取消,展会
ORD00100,2025-01,2025-01-22,CUST0125,FWD111,银白系列,844,27.55,23252.2,0.12,已完成,直销
ORD00101,2025-01,2025-01-04,CUST0226,FWD532,金属彩光系列,618,35.02,21642.36,0.13,处理中,展会
ORD00102,2025-08,2025-08-16,CUST0114,FWDV015,玻璃包银系列,644,8090.1,5210024.4,0.05,已完成,展会
ORD00103,2025-08,2025-08-14,CUST0036,FWD524,金属彩光系列,344,31.96,10994.24,0.14,已完成,展会
ORD00104,2024-10,2024-10-10,CUST0166,FWD552,金属彩光系列,109,25.5,2779.5,0.0,已取消,直销
ORD00105,2024-11,2024-11-15,CUST0151,FWD7322B,其他,898,67.9,60974.2,0.11,已取消,展会
ORD00106,2025-05,2025-05-16,CUST0072,FWDV150,玻璃包银系列,717,2355.2,1688678.4,0.01,已完成,线下门店
ORD00107,2025-07,2025-07-15,CUST0032,FWDD25M,钻石系列,530,280.0,148400.0,0.07,已完成,电商平台
ORD00108,2025-11,2025-11-28,CUST0002,FWD5872C,钻石系列,408,249.6,101836.8,0.03,已完成,直销
ORD00109,2025-11,2025-11-14,CUST0219,FWD502WR,耐候系列,307,93.6,28735.2,0.11,已完成,直销
ORD00110,2025-03,2025-03-04,CUST0280,FWD303WR,耐候系列,189,79.2,14968.8,0.09,已取消,展会
ORD00111,2025-07,2025-07-28,CUST0274,FWD3502,金属彩光系列,248,35.02,8684.96,0.02,已完成,直销
ORD00112,2024-10,2024-10-09,CUST0189,FWD435B,着色系列,334,54.6,18236.4,0.0,已完成,电商平台
ORD00113,2025-07,2025-07-21,CUST0295,FWD201WR,耐候系列,660,81.0,53460.0,0.02,已取消,经销商
ORD00114,2025-03,2025-03-22,CUST0087,FWD5873A,钻石系列,811,277.2,224809.2,0.12,已取消,直销
ORD00115,2025-08,2025-08-12,CUST0086,FWD5890,钻石系列,730,122.4,89352.0,0.1,处理中,线下门店
ORD00116,2024-11,2024-11-28,CUST0245,FWD205,虹彩系列,211,39.38,8308.12,0.09,已完成,直销
ORD00117,2025-04,2025-04-12,CUST0172,FWD509,金属彩光系列,26,34.68,901.68,0.11,已完成,线下门店
ORD00118,2024-11,2024-11-10,CUST0068,FWD100,银白系列,450,24.75,11137.5,0.13,处理中,线下门店
ORD00119,2025-11,2025-11-14,CUST0196,FWD5872C,钻石系列,966,244.4,236090.4,0.04,处理中,经销商
ORD00120,2025-11,2025-11-18,CUST0280,FWD307,金色系列,939,38.25,35916.75,0.14,处理中,直销
ORD00121,2025-10,2025-10-01,CUST0299,BHC9227GOH,化妆品系列,808,209.0,168872.0,0.05,处理中,展会
ORD00122,2025-11,2025-11-13,CUST0299,FWD6215,水晶系列,430,57.2,24596.0,0.08,已完成,电商平台
ORD00123,2024-10,2024-10-15,CUST0232,FWD532,金属彩光系列,526,31.28,16453.28,0.12,处理中,线下门店
ORD00124,2025-01,2025-01-14,CUST0226,FWD152,银白系列,86,23.76,2043.36,0.07,已完成,展会
ORD00125,2025-04,2025-04-28,CUST0181,BHC9225BMTH,化妆品系列,422,228.8,96553.6,0.07,已完成,电商平台
ORD00126,2025-06,2025-06-10,CUST0145,FWD305,金色系列,282,38.62,10892.25,0.03,已完成,电商平台
ORD00127,2025-09,2025-09-23,CUST0071,FWDD21L,钻石系列,717,243.6,174661.2,0.01,已完成,直销
ORD00128,2025-02,2025-02-19,CUST0153,FWD6683T,磁性珠光,831,312.0,259272.0,0.04,已完成,经销商
ORD00129,2025-05,2025-05-15,CUST0041,FWD205M,虹彩系列,363,33.75,12251.25,0.05,已取消,电商平台
ORD00130,2025-11,2025-11-21,CUST0255,FWD5870D,钻石系列,639,169.2,108118.8,0.06,已完成,直销
ORD00131,2024-10,2024-10-04,CUST0104,FWD219WR,耐候系列,862,90.9,78355.8,0.04,处理中,线下门店
ORD00132,2025-11,2025-11-15,CUST0052,FWD416,着色系列,817,52.8,43137.6,0.1,已完成,直销
ORD00133,2025-05,2025-05-27,CUST0190,FWD362,金色系列,138,33.38,4605.75,0.01,已完成,线下门店
ORD00134,2025-11,2025-11-16,CUST0112,FWD6002AWR,耐候系列,38,76.0,2888.0,0.07,处理中,经销商
ORD00135,2025-02,2025-02-17,CUST0289,FWD299,虹彩系列,121,33.75,4083.75,0.04,已完成,展会
ORD00136,2025-10,2025-10-24,CUST0208,FWD7305,其他,102,59.4,6058.8,0.11,已完成,直销
ORD00137,2024-11,2024-11-20,CUST0012,FWD522,金属彩光系列,194,32.3,6266.2,0.14,已完成,展会
ORD00138,2024-10,2024-10-07,CUST0111,FWD201WR,耐候系列,403,89.1,35907.3,0.14,已完成,直销
ORD00139,2025-05,2025-05-02,CUST0151,FWD6002AWR,耐候系列,355,77.6,27548.0,0.01,已完成,展会
ORD00140,2024-11,2024-11-12,CUST0253,FWD6883,水晶系列,95,56.65,5381.75,0.03,已完成,电商平台
ORD00141,2025-07,2025-07-27,CUST0286,FWD111,银白系列,464,30.16,13994.24,0.0,已取消,直销
ORD00142,2025-08,2025-08-01,CUST0238,FWD5893,钻石系列,491,220.0,108020.0,0.01,处理中,展会
ORD00143,2025-10,2025-10-13,CUST0140,FWD6504,水晶系列,491,73.1,35892.1,0.11,处理中,直销
ORD00144,2024-10,2024-10-26,CUST0002,FWD223,虹彩系列,287,33.75,9686.25,0.07,已完成,电商平台
ORD00145,2025-05,2025-05-15,CUST0224,FWD306WR,耐候系列,469,77.4,36300.6,0.12,已完成,经销商
ORD00146,2024-12,2024-12-16,CUST0034,FWDD27L,钻石系列,708,282.8,200222.4,0.04,已完成,电商平台
ORD00147,2025-07,2025-07-22,CUST0225,FWD224,虹彩系列,94,34.88,3278.25,0.1,已完成,线下门店
ORD00148,2025-05,2025-05-01,CUST0053,FWD6300,水晶系列,870,77.35,67294.5,0.14,已完成,直销
ORD00149,2025-10,2025-10-14,CUST0299,FWDD27L,钻石系列,50,252.0,12600.0,0.03,已完成,展会
ORD00150,2025-11,2025-11-11,CUST0081,FWD491,着色系列,804,55.8,44863.2,0.13,已完成,线下门店
ORD00151,2024-11,2024-11-28,CUST0133,FWD223WR,耐候系列,663,91.8,60863.4,0.03,已完成,线下门店
ORD00152,2025-02,2025-02-21,CUST0174,FWD305,金色系列,552,32.62,18009.0,0.1,已取消,直销
ORD00153,2025-11,2025-11-07,CUST0140,FWD6502A,水晶系列,919,53.35,49028.65,0.01,处理中,展会
ORD00154,2025-01,2025-01-27,CUST0087,BHC9234BOH,化妆品系列,684,211.2,144460.8,0.02,已取消,展会
ORD00155,2025-06,2025-06-14,CUST0298,FWD427,着色系列,323,51.6,16666.8,0.02,已取消,直销
ORD00156,2025-07,2025-07-12,CUST0166,FWD225,虹彩系列,838,34.12,28596.75,0.14,已取消,电商平台
ORD00157,2025-08,2025-08-05,CUST0035,FWD435B,着色系列,929,55.8,51838.2,0.12,已取消,直销
ORD00158,2025-07,2025-07-04,CUST0191,FWD6504A,水晶系列,496,50.6,25097.6,0.09,已取消,电商平台
ORD00159,2024-11,2024-11-15,CUST0234,FWD300WR,耐候系列,18,90.9,1636.2,0.14,已取消,线下门店
ORD00160,2024-12,2024-12-16,CUST0204,FWD289,虹彩系列,531,38.62,20509.88,0.13,已完成,经销商
ORD00161,2025-02,2025-02-04,CUST0180,FWD6018,超白系列,8,35.62,285.0,0.14,已完成,经销商
ORD00162,2025-08,2025-08-26,CUST0002,FWDV095B,玻璃包银系列,526,1780.0,936280.0,0.09,已完成,直销
ORD00163,2024-10,2024-10-02,CUST0290,FWDD10M,钻石系列,409,104.4,42699.6,0.06,已完成,直销
ORD00164,2025-01,2025-01-05,CUST0121,BHC89233BR,着色变色龙,594,465.0,276210.0,0.04,已完成,展会
ORD00165,2025-05,2025-05-26,CUST0030,FWD5518,金属彩光系列,821,57.0,46797.0,0.11,已完成,直销
ORD00166,2025-06,2025-06-05,CUST0260,FWDV155,玻璃包银系列,658,1445.6,951204.8,0.12,已完成,展会
ORD00167,2025-05,2025-05-20,CUST0260,FWD6006,超白系列,358,35.49,12705.42,0.06,处理中,展会
ORD00168,2025-06,2025-06-02,CUST0161,FWD152WR,耐候系列,756,59.4,44906.4,0.15,已完成,线下门店
ORD00169,2025-01,2025-01-19,CUST0192,FWD205A,虹彩系列,7,37.12,259.88,0.09,已取消,线下门店
ORD00170,2025-10,2025-10-15,CUST0230,FWD6001,超白系列,218,36.38,7929.75,0.06,已完成,线下门店
ORD00171,2025-11,2025-11-11,CUST0044,FWD415Y,着色系列,351,39.6,13899.6,0.02,已完成,电商平台
ORD00172,2025-06,2025-06-14,CUST0292,FWD205WR,耐候系列,569,89.1,50697.9,0.07,已取消,线下门店
ORD00173,2024-12,2024-12-27,CUST0206,FWD6820,水晶系列,373,81.6,30436.8,0.02,已取消,展会
ORD00174,2025-10,2025-10-12,CUST0109,FWD221,虹彩系列,669,37.88,25338.38,0.09,已完成,经销商
ORD00175,2024-11,2024-11-02,CUST0042,FWD301,金色系列,630,37.5,23625.0,0.09,已完成,线下门店
ORD00176,2025-06,2025-06-17,CUST0284,FWDV015,玻璃包银系列,669,7849.8,5251516.2,0.1,已完成,展会
ORD00177,2025-09,2025-09-16,CUST0252,BHC89230GY,着色变色龙,425,470.0,199750.0,0.07,已完成,电商平台
ORD00178,2025-04,2025-04-04,CUST0281,FWD5518WR,耐候系列,994,109.2,108544.8,0.07,处理中,直销
ORD00179,2024-11,2024-11-04,CUST0055,FWD6300,水晶系列,337,83.3,28072.1,0.08,处理中,直销
ORD00180,2025-11,2025-11-18,CUST0099,FWD6830,水晶系列,813,79.9,64958.7,0.06,已取消,电商平台
ORD00181,2025-04,2025-04-14,CUST0097,FWD7305,其他,565,63.0,35595.0,0.15,已完成,直销
ORD00182,2025-02,2025-02-01,CUST0059,FWD6810,水晶系列,202,52.8,10665.6,0.14,处理中,展会
ORD00183,2025-01,2025-01-06,CUST0146,FWD120,银白系列,557,25.76,14348.32,0.13,已完成,展会
ORD00184,2025-04,2025-04-24,CUST0169,FWD223,虹彩系列,730,33.0,24090.0,0.02,已完成,展会
ORD00185,2024-12,2024-12-08,CUST0288,FWD491,着色系列,754,54.6,41168.4,0.08,处理中,电商平台
ORD00186,2025-03,2025-03-02,CUST0155,FWD323WR,耐候系列,728,90.0,65520.0,0.08,已取消,线下门店
ORD00187,2024-12,2024-12-16,CUST0175,FWD505,金属彩光系列,40,31.96,1278.4,0.05,已完成,线下门店
ORD00188,2025-09,2025-09-10,CUST0140,FWD100,银白系列,120,24.75,2970.0,0.02,已完成,直销
ORD00189,2025-10,2025-10-07,CUST0285,FWD418B,着色系列,54,60.0,3240.0,0.06,已完成,电商平台
ORD00190,2025-04,2025-04-11,CUST0115,FWD5870A,钻石系列,312,185.4,57844.8,0.15,处理中,线下门店
ORD00191,2025-04,2025-04-24,CUST0102,FWD6224,水晶系列,509,50.6,25755.4,0.01,已完成,线下门店
ORD00192,2025-11,2025-11-15,CUST0266,FWD5516,金属彩光系列,717,63.0,45171.0,0.06,处理中,经销商
ORD00193,2025-07,2025-07-15,CUST0237,FWD500WR,耐候系列,782,91.8,71787.6,0.09,已完成,展会
ORD00194,2025-11,2025-11-13,CUST0279,BHC9234BOH,化妆品系列,970,191.4,185658.0,0.0,已完成,经销商
ORD00195,2025-03,2025-03-02,CUST0026,FWD320,金色系列,38,37.88,1439.25,0.01,已完成,线下门店
ORD00196,2024-11,2024-11-01,CUST0141,FWD5870B,钻石系列,352,153.0,53856.0,0.04,已完成,电商平台
ORD00197,2025-05,2025-05-25,CUST0006,FWDD10A,钻石系列,335,87.0,29145.0,0.08,已取消,展会
ORD00198,2025-04,2025-04-16,CUST0068,FWD6601,磁性珠光,788,154.5,121746.0,0.01,已取消,经销商
ORD00199,2025-04,2025-04-06,CUST0113,FWD6002T,超白系列,333,39.38,13111.88,0.13,已完成,线下门店
ORD00200,2024-12,2024-12-07,CUST0256,FWD221,虹彩系列,506,32.62,16508.25,0.01,已完成,线下门店
ORD00201,2025-11,2025-11-18,CUST0296,FWDV095,玻璃包银系列,982,1883.2,1849302.4,0.09,已完成,电商平台
ORD00202,2024-12,2024-12-21,CUST0186,FWD6002A,超白系列,822,36.0,29592.0,0.06,已取消,电商平台
ORD00203,2025-08,2025-08-14,CUST0277,BHC9227GOH,化妆品系列,780,220.0,171600.0,0.02,已完成,展会
ORD00204,2025-09,2025-09-28,CUST0193,FWD403,着色系列,769,44.44,34174.36,0.04,处理中,线下门店
ORD00205,2025-07,2025-07-22,CUST0048,FWDD28M,钻石系列,77,277.2,21344.4,0.05,处理中,展会
ORD00206,2025-10,2025-10-22,CUST0242,FWD6820,水晶系列,914,84.15,76913.1,0.01,已完成,经销商
ORD00207,2025-04,2025-04-03,CUST0144,FWD410,着色系列,592,58.8,34809.6,0.09,已完成,展会
ORD00208,2025-10,2025-10-04,CUST0116,FWDD27L,钻石系列,184,260.4,47913.6,0.05,已取消,线下门店
ORD00209,2025-06,2025-06-19,CUST0284,FWD502WR,耐候系列,243,91.8,22307.4,0.01,已完成,直销
ORD00210,2024-11,2024-11-20,CUST0079,FWD225,虹彩系列,544,35.62,19380.0,0.03,已完成,直销
ORD00211,2024-11,2024-11-16,CUST0156,BHC89233BR,着色变色龙,285,435.0,123975.0,0.01,已完成,直销
ORD00212,2024-12,2024-12-27,CUST0133,FWD6850,水晶系列,196,85.85,16826.6,0.08,处理中,电商平台
ORD00213,2025-05,2025-05-26,CUST0197,FWD5800,钻石系列,360,140.4,50544.0,0.11,已取消,展会
ORD00214,2025-11,2025-11-07,CUST0300,FWD6300,水晶系列,967,87.55,84660.85,0.04,处理中,经销商
ORD00215,2025-04,2025-04-11,CUST0146,FWDD25L,钻石系列,393,263.2,103437.6,0.11,已完成,经销商
ORD00216,2025-02,2025-02-27,CUST0286,FWD524WR,耐候系列,391,79.2,30967.2,0.09,处理中,线下门店
ORD00217,2024-12,2024-12-10,CUST0009,FWD6502,水晶系列,743,57.2,42499.6,0.01,已完成,展会
ORD00218,2024-11,2024-11-21,CUST0017,FWD408,着色系列,873,54.0,47142.0,0.14,已取消,展会
ORD00219,2025-10,2025-10-08,CUST0122,FWD3504,金属彩光系列,654,32.98,21568.92,0.1,已完成,电商平台
ORD00220,2025-09,2025-09-07,CUST0046,FWD509,金属彩光系列,754,30.6,23072.4,0.03,已完成,直销
ORD00221,2025-10,2025-10-04,CUST0257,FWDD10L,钻石系列,98,115.2,11289.6,0.1,已完成,直销
ORD00222,2024-11,2024-11-05,CUST0217,FWD504WR,耐候系列,305,91.8,27999.0,0.01,已完成,直销
ORD00223,2025-06,2025-06-02,CUST0061,FWD419B,着色系列,513,59.4,30472.2,0.05,已完成,展会
ORD00224,2025-08,2025-08-14,CUST0171,FWD223,虹彩系列,617,38.62,23831.62,0.09,已完成,线下门店
ORD00225,2025-07,2025-07-06,CUST0091,BHC89237BG,着色变色龙,120,525.0,63000.0,0.13,已完成,线下门店
ORD00226,2025-06,2025-06-25,CUST0149,FWD522WR,耐候系列,302,81.0,24462.0,0.01,处理中,直销
ORD00227,2025-10,2025-10-05,CUST0055,FWD413,着色系列,351,52.8,18532.8,0.0,已取消,展会
ORD00228,2024-12,2024-12-25,CUST0058,FWD6910,水晶系列,770,48.95,37691.5,0.02,已完成,线下门店
ORD00229,2025-03,2025-03-15,CUST0017,FWD6215,水晶系列,526,51.7,27194.2,0.04,已完成,线下门店
ORD00230,2025-08,2025-08-20,CUST0071,FWD5800,钻石系列,766,120.15,92034.9,0.05,已完成,电商平台
ORD00231,2025-06,2025-06-01,CUST0158,FWD506,金属彩光系列,579,25.48,14752.92,0.12,已完成,展会
ORD00232,2025-08,2025-08-21,CUST0245,FWD231,虹彩系列,995,37.5,37312.5,0.12,已完成,电商平台
ORD00233,2024-10,2024-10-09,CUST0138,FWD330,金色系列,773,33.0,25509.0,0.14,已取消,展会
ORD00234,2025-09,2025-09-14,CUST0100,FWDV040B,玻璃包银系列,532,5382.0,2863224.0,0.1,已取消,经销商
