wo_id,month,sku,production_line,sample_qty,defect_qty,defect_rate,defect_type,pass,inspector
WO00022,2024-11,FWD205A,产线-04,37,1,0.02703,色差,True,QC-C
WO00022,2024-11,FWD205A,产线-04,46,2,0.04348,杂质,False,QC-B
WO00023,2025-01,FWD152WR,产线-05,82,0,0.0,无,True,QC-A
WO00024,2025-08,FWD403,产线-04,33,1,0.0303,无,False,QC-A
WO00025,2025-11,FWD110,产线-08,92,4,0.04348,色差,False,QC-C
WO00025,2025-11,FWD110,产线-08,99,2,0.0202,粒径偏差,True,QC-C
WO00026,2025-07,FWD6881,产线-01,31,1,0.03226,无,False,QC-A
WO00026,2025-07,FWD6881,产线-01,68,2,0.02941,色差,True,QC-A
WO00027,2024-11,FWD6002,产线-06,48,1,0.02083,无,True,QC-C
WO00028,2025-04,FWD410,产线-08,30,1,0.03333,杂质,False,QC-A
WO00029,2025-10,BHC89232BR,产线-04,79,3,0.03797,无,False,QC-C
WO00030,2025-01,FWD3504,产线-08,76,0,0.0,无,True,QC-C
WO00031,2025-10,FWD6601A,产线-06,21,0,0.0,色差,True,QC-A
WO00031,2025-10,FWD6601A,产线-06,95,1,0.01053,色差,True,QC-C
WO00032,2025-03,FWD224,产线-03,39,0,0.0,粒径偏差,True,QC-B
WO00033,2025-07,FWDD10X,产线-07,61,2,0.03279,粒径偏差,False,QC-C
WO00034,2025-02,FWD6860,产线-08,76,1,0.01316,粒径偏差,True,QC-C
WO00034,2025-02,FWD6860,产线-08,99,2,0.0202,色差,True,QC-B
WO00035,2025-09,FWD6603B,产线-01,58,2,0.03448,无,False,QC-C
WO00035,2025-09,FWD6603B,产线-01,72,3,0.04167,粒径偏差,False,QC-A
WO00036,2025-11,FWD6003,产线-04,46,1,0.02174,杂质,True,QC-C
WO00037,2024-10,FWD417,产线-04,87,0,0.0,粒径偏差,True,QC-C
WO00037,2024-10,FWD417,产线-04,93,2,0.02151,色差,True,QC-C
WO00038,2025-06,FWD308,产线-03,93,1,0.01075,色差,True,QC-C
WO00038,2025-06,FWD308,产线-03,98,1,0.0102,无,True,QC-B
WO00039,2025-10,FWD6303A,产线-05,63,3,0.04762,色差,False,QC-C
WO00040,2024-11,FWD151,产线-01,58,2,0.03448,杂质,False,QC-C
WO00041,2025-07,FWD153,产线-07,48,1,0.02083,无,True,QC-B
WO00041,2025-07,FWD153,产线-07,34,1,0.02941,无,True,QC-B
WO00042,2025-11,FWD6602E,产线-03,88,0,0.0,杂质,True,QC-A
WO00043,2025-10,FWD508,产线-07,88,2,0.02273,无,True,QC-A
WO00043,2025-10,FWD508,产线-07,94,0,0.0,无,True,QC-C
WO00044,2025-03,FWD101WR,产线-08,100,5,0.05,粒径偏差,False,QC-C
WO00045,2025-08,FWD3500,产线-04,33,1,0.0303,色差,False,QC-A
WO00045,2025-08,FWD3500,产线-04,52,0,0.0,无,True,QC-B
WO00046,2025-08,FWD503,产线-05,36,0,0.0,粒径偏差,True,QC-A
WO00046,2025-08,FWD503,产线-05,20,1,0.05,粒径偏差,False,QC-B
WO00047,2025-07,FWD408,产线-03,82,3,0.03659,无,False,QC-A
WO00048,2025-03,FWD436 ,产线-01,83,1,0.01205,色差,True,QC-C
WO00048,2025-03,FWD436 ,产线-01,46,1,0.02174,粒径偏差,True,QC-C
WO00049,2024-10,FWDD10L,产线-07,37,1,0.02703,无,True,QC-C
WO00049,2024-10,FWDD10L,产线-07,30,1,0.03333,无,False,QC-C
WO00050,2025-07,FWD173,产线-07,35,0,0.0,杂质,True,QC-B
WO00051,2025-05,FWD301,产线-05,70,3,0.04286,杂质,False,QC-A
WO00051,2025-05,FWD301,产线-05,79,3,0.03797,无,False,QC-A
WO00052,2025-02,FWD6504T,产线-06,35,0,0.0,无,True,QC-A
WO00053,2024-10,FWD5870D,产线-01,44,0,0.0,无,True,QC-A
WO00053,2024-10,FWD5870D,产线-01,64,2,0.03125,无,False,QC-B
WO00054,2025-02,FWD425,产线-06,25,0,0.0,杂质,True,QC-A
WO00054,2025-02,FWD425,产线-06,93,1,0.01075,粒径偏差,True,QC-B
WO00055,2025-03,FWD415Y,产线-03,51,1,0.01961,粒径偏差,True,QC-A
WO00055,2025-03,FWD415Y,产线-03,88,4,0.04545,色差,False,QC-A
WO00056,2025-02,FWD221WR,产线-07,55,2,0.03636,色差,False,QC-B
WO00056,2025-02,FWD221WR,产线-07,88,2,0.02273,杂质,True,QC-A
WO00057,2024-11,FWDD28X,产线-01,87,2,0.02299,无,True,QC-B
WO00058,2025-02,FWD5894,产线-07,52,2,0.03846,无,False,QC-A
WO00058,2025-02,FWD5894,产线-07,97,0,0.0,无,True,QC-B
WO00059,2025-05,FWDV020,产线-05,98,3,0.03061,无,False,QC-B
WO00060,2025-04,FWD121WR,产线-06,78,2,0.02564,杂质,True,QC-A
WO00061,2025-06,FWDD21M,产线-04,96,1,0.01042,粒径偏差,True,QC-B
WO00061,2025-06,FWDD21M,产线-04,100,0,0.0,无,True,QC-B
WO00062,2024-12,BHC89232BR,产线-03,36,1,0.02778,粒径偏差,True,QC-C
WO00062,2024-12,BHC89232BR,产线-03,83,3,0.03614,无,False,QC-B
WO00063,2025-06,FWD111MT,产线-06,55,1,0.01818,无,True,QC-B
WO00064,2025-10,FWDV060,产线-08,62,0,0.0,无,True,QC-C
WO00064,2025-10,FWDV060,产线-08,61,2,0.03279,色差,False,QC-C
WO00065,2024-12,FWD418B,产线-08,62,3,0.04839,色差,False,QC-A
WO00066,2025-04,FWDD23X,产线-07,46,0,0.0,无,True,QC-C
WO00067,2024-10,FWD306,产线-04,40,2,0.05,色差,False,QC-C
WO00067,2024-10,FWD306,产线-04,95,1,0.01053,无,True,QC-A
WO00068,2025-11,FWD205,产线-01,72,2,0.02778,色差,True,QC-C
WO00068,2025-11,FWD205,产线-01,48,2,0.04167,无,False,QC-C
WO00069,2025-01,FWD525WR,产线-04,29,1,0.03448,杂质,False,QC-A
WO00070,2025-02,FWD534WR,产线-03,40,2,0.05,粒径偏差,False,QC-C
WO00071,2025-02,FWD413,产线-03,94,1,0.01064,无,True,QC-B
WO00071,2025-02,FWD413,产线-03,37,1,0.02703,杂质,True,QC-A
WO00072,2025-10,FWD163,产线-03,22,0,0.0,粒径偏差,True,QC-B
WO00072,2025-10,FWD163,产线-03,83,1,0.01205,色差,True,QC-B
WO00073,2025-09,FWD163,产线-07,79,1,0.01266,杂质,True,QC-A
WO00073,2025-09,FWD163,产线-07,21,1,0.04762,无,False,QC-A
WO00074,2025-05,FWD534,产线-07,61,0,0.0,杂质,True,QC-B
WO00075,2025-04,FWD524WR,产线-04,64,3,0.04688,无,False,QC-C
WO00076,2024-10,FWD123T,产线-06,40,2,0.05,无,False,QC-C
WO00076,2024-10,FWD123T,产线-06,84,2,0.02381,杂质,True,QC-C
WO00077,2024-12,BHC9227GOH,产线-01,43,0,0.0,杂质,True,QC-A
WO00077,2024-12,BHC9227GOH,产线-01,22,0,0.0,无,True,QC-A
WO00078,2024-10,FWD302,产线-07,27,0,0.0,粒径偏差,True,QC-A
WO00078,2024-10,FWD302,产线-07,94,2,0.02128,无,True,QC-B
WO00079,2025-07,FWD435,产线-07,28,0,0.0,无,True,QC-A
WO00079,2025-07,FWD435,产线-07,70,3,0.04286,无,False,QC-A
WO00080,2025-01,FWD5871A,产线-04,51,1,0.01961,杂质,True,QC-A
WO00081,2025-05,FWDD27L,产线-02,61,3,0.04918,粒径偏差,False,QC-C
WO00081,2025-05,FWDD27L,产线-02,53,0,0.0,无,True,QC-B
WO00082,2025-11,FWD6883,产线-07,41,2,0.04878,色差,False,QC-C
WO00082,2025-11,FWD6883,产线-07,79,3,0.03797,粒径偏差,False,QC-B
WO00083,2024-12,FWD552,产线-08,80,4,0.05,粒径偏差,False,QC-C
WO00083,2024-12,FWD552,产线-08,33,1,0.0303,无,False,QC-B
WO00084,2025-05,FWD123,产线-07,22,0,0.0,无,True,QC-A
WO00085,2025-11,FWDD23X,产线-02,22,0,0.0,无,True,QC-A
WO00086,2025-07,FWD6225,产线-04,95,3,0.03158,无,False,QC-C
WO00087,2025-01,BHC9323PG,产线-06,77,1,0.01299,粒径偏差,True,QC-C
WO00088,2024-10,FWD6603,产线-06,96,0,0.0,色差,True,QC-A
WO00089,2024-11,FWD413,产线-04,71,1,0.01408,杂质,True,QC-A
WO00089,2024-11,FWD413,产线-04,75,2,0.02667,粒径偏差,True,QC-A
WO00090,2025-06,FWD505,产线-07,60,3,0.05,杂质,False,QC-B
WO00091,2025-06,FWD534,产线-07,68,1,0.01471,无,True,QC-A
WO00092,2025-04,FWD6683T,产线-04,37,1,0.02703,粒径偏差,True,QC-A
WO00093,2025-03,FWD600,产线-07,66,2,0.0303,无,False,QC-C
WO00094,2024-12,FWD430,产线-02,48,0,0.0,粒径偏差,True,QC-C
WO00094,2024-12,FWD430,产线-02,67,2,0.02985,粒径偏差,True,QC-C
WO00095,2025-04,FWD103TWR,产线-08,54,0,0.0,无,True,QC-B
WO00095,2025-04,FWD103TWR,产线-08,34,0,0.0,杂质,True,QC-A
WO00096,2025-09,FWD6881,产线-04,71,0,0.0,无,True,QC-A
WO00096,2025-09,FWD6881,产线-04,38,1,0.02632,无,True,QC-A
WO00097,2025-02,FWDD25M,产线-03,45,0,0.0,无,True,QC-C
WO00098,2025-09,FWD6002A,产线-06,42,0,0.0,杂质,True,QC-A
WO00099,2025-11,HC010AS,产线-04,65,1,0.01538,色差,True,QC-A
WO00100,2025-04,FWD7365,产线-07,24,0,0.0,无,True,QC-A
WO00100,2025-04,FWD7365,产线-07,71,1,0.01408,杂质,True,QC-A
WO00101,2025-10,FWD152WR,产线-07,100,0,0.0,粒径偏差,True,QC-A
WO00101,2025-10,FWD152WR,产线-07,26,0,0.0,色差,True,QC-C
WO00102,2025-09,FWD510,产线-01,81,0,0.0,无,True,QC-A
WO00103,2025-10,FWD101WR,产线-08,21,0,0.0,色差,True,QC-A
WO00103,2025-10,FWD101WR,产线-08,62,2,0.03226,色差,False,QC-A
WO00104,2025-05,FWD6002T,产线-03,25,0,0.0,杂质,True,QC-C
WO00105,2025-11,FWD300WR,产线-02,93,4,0.04301,杂质,False,QC-A
WO00106,2025-07,FWD6215,产线-05,27,0,0.0,粒径偏差,True,QC-C
WO00106,2025-07,FWD6215,产线-05,43,1,0.02326,无,True,QC-C
WO00107,2025-07,FWD330,产线-07,57,0,0.0,无,True,QC-A
WO00107,2025-07,FWD330,产线-07,83,3,0.03614,杂质,False,QC-B
WO00108,2024-10,FWD235,产线-03,89,3,0.03371,粒径偏差,False,QC-C
WO00108,2024-10,FWD235,产线-03,28,1,0.03571,无,False,QC-B
WO00109,2024-10,FWD221,产线-04,84,2,0.02381,无,True,QC-A
WO00110,2025-10,FWD223,产线-01,95,0,0.0,无,True,QC-A
WO00111,2024-11,FWD6502A,产线-04,85,4,0.04706,无,False,QC-C
WO00112,2024-10,FWD123TS,产线-01,40,0,0.0,无,True,QC-B
WO00112,2024-10,FWD123TS,产线-01,50,1,0.02,无,True,QC-A
WO00113,2024-11,BHC9320YB,产线-07,37,0,0.0,无,True,QC-A
WO00114,2024-10,FWD231WR,产线-05,56,0,0.0,无,True,QC-A
WO00115,2024-10,FWD5800D,产线-07,28,1,0.03571,无,False,QC-A
WO00116,2025-10,FWD307,产线-05,94,4,0.04255,杂质,False,QC-B
WO00117,2025-02,FWD400B,产线-01,48,0,0.0,色差,True,QC-A
WO00118,2025-07,FWD6300T,产线-05,56,2,0.03571,无,False,QC-A
WO00119,2024-11,FWD6005,产线-06,44,2,0.04545,杂质,False,QC-B
WO00119,2024-11,FWD6005,产线-06,45,2,0.04444,色差,False,QC-C
WO00120,2025-09,FWD6602,产线-06,28,1,0.03571,无,False,QC-B
WO00121,2025-06,FWD5518,产线-04,39,1,0.02564,杂质,True,QC-B
WO00121,2025-06,FWD5518,产线-04,77,2,0.02597,杂质,True,QC-C
WO00122,2024-12,FWD901KSW,产线-07,55,0,0.0,杂质,True,QC-B
WO00122,2024-12,FWD901KSW,产线-07,87,3,0.03448,杂质,False,QC-C
WO00123,2024-12,FWD6303,产线-04,82,2,0.02439,无,True,QC-C
WO00123,2024-12,FWD6303,产线-04,60,0,0.0,色差,True,QC-A
WO00124,2025-06,FWD6005T,产线-02,76,3,0.03947,无,False,QC-C
WO00124,2025-06,FWD6005T,产线-02,38,0,0.0,无,True,QC-C
WO00125,2025-06,FWD351WR,产线-01,76,0,0.0,粒径偏差,True,QC-C
WO00126,2025-04,FWD6810,产线-06,38,0,0.0,杂质,True,QC-A
WO00127,2025-10,FWD323,产线-05,25,1,0.04,无,False,QC-A
WO00128,2025-02,FWDD28X,产线-03,28,0,0.0,无,True,QC-B
WO00129,2025-08,FWDV550,产线-07,28,1,0.03571,无,False,QC-C
WO00129,2025-08,FWDV550,产线-07,42,1,0.02381,无,True,QC-C
WO00130,2025-06,FWD6885,产线-02,75,0,0.0,无,True,QC-A
WO00130,2025-06,FWD6885,产线-02,81,0,0.0,粒径偏差,True,QC-A
WO00131,2025-03,FWD111WR,产线-01,56,2,0.03571,粒径偏差,False,QC-B
WO00132,2025-08,BHC9234BOH,产线-02,75,2,0.02667,无,True,QC-B
WO00132,2025-08,BHC9234BOH,产线-02,86,3,0.03488,杂质,False,QC-B
WO00133,2024-10,FWD403,产线-08,44,0,0.0,无,True,QC-A
WO00133,2024-10,FWD403,产线-08,88,0,0.0,色差,True,QC-A
WO00134,2025-05,FWD901KSW,产线-06,98,1,0.0102,无,True,QC-C
WO00135,2025-09,FWDD27M,产线-03,79,1,0.01266,粒径偏差,True,QC-C
WO00135,2025-09,FWDD27M,产线-03,72,0,0.0,杂质,True,QC-C
WO00136,2025-10,FWD307,产线-02,89,1,0.01124,无,True,QC-A
WO00136,2025-10,FWD307,产线-02,24,1,0.04167,无,False,QC-C
WO00137,2025-10,FWD7331,产线-04,90,2,0.02222,杂质,True,QC-C
WO00137,2025-10,FWD7331,产线-04,70,3,0.04286,色差,False,QC-C
WO00138,2025-02,FWD5893,产线-04,67,3,0.04478,色差,False,QC-B
WO00138,2025-02,FWD5893,产线-04,89,2,0.02247,无,True,QC-C
WO00139,2025-04,FWD216,产线-01,47,1,0.02128,无,True,QC-C
WO00140,2025-01,FWD111WR,产线-04,69,2,0.02899,无,True,QC-A
WO00140,2025-01,FWD111WR,产线-04,52,1,0.01923,杂质,True,QC-B
WO00141,2025-04,FWD6009,产线-06,60,3,0.05,粒径偏差,False,QC-C
WO00141,2025-04,FWD6009,产线-06,40,2,0.05,杂质,False,QC-B
WO00142,2025-04,FWD408,产线-08,30,0,0.0,无,True,QC-A
WO00143,2024-12,FWD6018,产线-02,88,4,0.04545,无,False,QC-C
WO00143,2024-12,FWD6018,产线-02,93,2,0.02151,无,True,QC-B
WO00144,2024-12,FWD6003,产线-08,88,3,0.03409,粒径偏差,False,QC-A
WO00144,2024-12,FWD6003,产线-08,56,0,0.0,无,True,QC-C
WO00145,2025-08,FWD151,产线-01,84,4,0.04762,无,False,QC-C
WO00146,2024-10,FWD510,产线-07,68,3,0.04412,杂质,False,QC-B
WO00146,2024-10,FWD510,产线-07,50,2,0.04,无,False,QC-A
WO00147,2025-11,FWDD21M,产线-07,94,4,0.04255,色差,False,QC-C
WO00147,2025-11,FWDD21M,产线-07,34,1,0.02941,无,True,QC-C
WO00148,2024-12,FWD330,产线-07,41,0,0.0,杂质,True,QC-A
WO00148,2024-12,FWD330,产线-07,36,0,0.0,无,True,QC-C
WO00149,2025-11,FWD6002T,产线-01,83,4,0.04819,杂质,False,QC-C
WO00149,2025-11,FWD6002T,产线-01,87,1,0.01149,杂质,True,QC-C
WO00150,2025-06,FWD500WR,产线-08,28,1,0.03571,无,False,QC-A
WO00151,2025-03,FWD5873A,产线-03,27,0,0.0,无,True,QC-B
WO00152,2025-11,FWD211,产线-03,58,0,0.0,无,True,QC-B
WO00152,2025-11,FWD211,产线-03,50,0,0.0,无,True,QC-B
WO00153,2025-05,FWD504WR,产线-07,54,0,0.0,无,True,QC-B
WO00154,2025-08,FWD5516,产线-05,79,0,0.0,色差,True,QC-C
WO00155,2025-01,FWD221,产线-04,50,1,0.02,粒径偏差,True,QC-A
WO00156,2024-12,FWD225,产线-07,42,0,0.0,粒径偏差,True,QC-C
WO00156,2024-12,FWD225,产线-07,24,1,0.04167,杂质,False,QC-B
WO00157,2025-09,FWD5892,产线-04,75,3,0.04,杂质,False,QC-C
WO00158,2025-04,FWDV150B,产线-02,68,2,0.02941,色差,True,QC-C
WO00158,2025-04,FWDV150B,产线-02,61,1,0.01639,无,True,QC-C
WO00159,2024-12,FWD355,产线-02,60,3,0.05,杂质,False,QC-A
WO00159,2024-12,FWD355,产线-02,85,1,0.01176,无,True,QC-B
WO00160,2025-02,FWD424,产线-04,76,3,0.03947,无,False,QC-B
WO00160,2025-02,FWD424,产线-04,75,0,0.0,粒径偏差,True,QC-C
WO00161,2025-05,FWDD10X,产线-07,72,2,0.02778,色差,True,QC-C
WO00161,2025-05,FWDD10X,产线-07,71,3,0.04225,杂质,False,QC-B
WO00162,2025-06,FWD534,产线-03,37,1,0.02703,无,True,QC-A
WO00163,2025-06,FWD205WR,产线-07,24,1,0.04167,杂质,False,QC-C
WO00163,2025-06,FWD205WR,产线-07,61,3,0.04918,无,False,QC-A
WO00164,2024-10,FWD6235,产线-02,50,2,0.04,杂质,False,QC-A
WO00164,2024-10,FWD6235,产线-02,90,4,0.04444,杂质,False,QC-B
WO00165,2025-09,FWD219WR,产线-04,22,0,0.0,杂质,True,QC-B
WO00165,2025-09,FWD219WR,产线-04,91,3,0.03297,无,False,QC-A
WO00166,2024-11,HM010AS,产线-01,92,4,0.04348,粒径偏差,False,QC-B
WO00166,2024-11,HM010AS,产线-01,76,3,0.03947,无,False,QC-A
WO00167,2025-01,FWD100,产线-02,21,0,0.0,粒径偏差,True,QC-B
WO00168,2025-03,BHC9230YBH,产线-05,52,1,0.01923,无,True,QC-C
WO00168,2025-03,BHC9230YBH,产线-05,56,1,0.01786,色差,True,QC-C
WO00169,2025-09,FWD6601A,产线-07,77,0,0.0,无,True,QC-A
WO00169,2025-09,FWD6601A,产线-07,31,1,0.03226,粒径偏差,False,QC-C
WO00170,2025-06,FWD7351,产线-07,99,3,0.0303,粒径偏差,False,QC-C
WO00171,2025-06,FWD123,产线-07,32,0,0.0,无,True,QC-A
WO00171,2025-06,FWD123,产线-07,95,2,0.02105,无,True,QC-A
WO00172,2024-10,FWDD10X,产线-06,32,1,0.03125,杂质,False,QC-A
WO00172,2024-10,FWDD10X,产线-06,45,2,0.04444,色差,False,QC-B
WO00173,2025-10,FWD5890,产线-08,55,0,0.0,粒径偏差,True,QC-C
WO00174,2025-08,FWD5870D,产线-02,63,0,0.0,无,True,QC-A
WO00175,2024-11,FWD289,产线-06,82,3,0.03659,无,False,QC-C
WO00176,2025-05,FWD6860,产线-08,40,0,0.0,杂质,True,QC-A
WO00176,2025-05,FWD6860,产线-08,30,0,0.0,无,True,QC-A
WO00177,2025-01,FWD123,产线-01,23,1,0.04348,粒径偏差,False,QC-A
WO00177,2025-01,FWD123,产线-01,73,0,0.0,无,True,QC-C
WO00178,2024-10,FWD96107SW,产线-08,20,1,0.05,杂质,False,QC-B
WO00178,2024-10,FWD96107SW,产线-08,42,0,0.0,色差,True,QC-B
WO00179,2025-11,FWD6219,产线-03,83,0,0.0,无,True,QC-A
WO00180,2025-04,FWDV080,产线-03,69,2,0.02899,粒径偏差,True,QC-A
WO00180,2025-04,FWDV080,产线-03,42,0,0.0,杂质,True,QC-B
WO00181,2025-03,FWDD29X,产线-07,82,3,0.03659,无,False,QC-B
WO00182,2024-12,FWD001,产线-04,35,1,0.02857,无,True,QC-A
WO00183,2025-08,FWD103TWR,产线-03,25,0,0.0,杂质,True,QC-B
WO00184,2024-10,FWD152,产线-04,41,0,0.0,无,True,QC-C
WO00185,2025-04,FWDD21L,产线-08,50,2,0.04,无,False,QC-C
WO00186,2025-11,FWD535,产线-04,42,1,0.02381,无,True,QC-C
WO00187,2025-08,FWD6882,产线-06,43,1,0.02326,无,True,QC-B
WO00187,2025-08,FWD6882,产线-06,22,0,0.0,色差,True,QC-C
WO00188,2024-11,FWDV060,产线-04,91,1,0.01099,无,True,QC-A
WO00188,2024-11,FWDV060,产线-04,26,1,0.03846,无,False,QC-A
WO00189,2024-12,FWD323WR,产线-08,71,1,0.01408,色差,True,QC-A
WO00190,2025-08,FWD201,产线-05,66,0,0.0,色差,True,QC-A
WO00190,2025-08,FWD201,产线-05,63,2,0.03175,无,False,QC-B
WO00191,2024-12,FWD6683T,产线-06,55,0,0.0,无,True,QC-B
WO00192,2025-11,FWD351,产线-03,82,0,0.0,色差,True,QC-A
WO00192,2025-11,FWD351,产线-03,88,4,0.04545,无,False,QC-A
WO00193,2025-06,FWD502,产线-07,22,0,0.0,无,True,QC-B
WO00193,2025-06,FWD502,产线-07,55,2,0.03636,粒径偏差,False,QC-A
WO00194,2025-09,FWD7322B,产线-03,88,1,0.01136,色差,True,QC-C
WO00195,2025-08,FWD320,产线-06,100,1,0.01,杂质,True,QC-C
WO00195,2025-08,FWD320,产线-06,41,1,0.02439,无,True,QC-C
WO00196,2024-10,FWD323M,产线-04,34,1,0.02941,无,True,QC-A
WO00197,2025-03,FWD123,产线-01,52,0,0.0,无,True,QC-A
WO00198,2025-09,FWD2205G,产线-08,48,2,0.04167,无,False,QC-B
WO00198,2025-09,FWD2205G,产线-08,56,1,0.01786,粒径偏差,True,QC-A
WO00199,2024-10,FWDV150B,产线-06,38,0,0.0,杂质,True,QC-C
WO00199,2024-10,FWDV150B,产线-06,45,1,0.02222,无,True,QC-A
WO00200,2025-11,FWD201,产线-07,46,2,0.04348,粒径偏差,False,QC-B
WO00200,2025-11,FWD201,产线-07,92,0,0.0,色差,True,QC-A
WO00201,2025-04,FWD6504T,产线-02,53,1,0.01887,杂质,True,QC-A
WO00202,2025-07,FWD5894,产线-05,27,1,0.03704,无,False,QC-C
WO00203,2025-03,FWD425B,产线-02,49,1,0.02041,粒径偏差,True,QC-B
WO00204,2024-12,FWD505,产线-08,58,2,0.03448,色差,False,QC-A
WO00205,2025-01,FWD522WR,产线-06,80,1,0.0125,杂质,True,QC-C
WO00205,2025-01,FWD522WR,产线-06,68,2,0.02941,无,True,QC-A
WO00206,2024-12,BHC89230GY,产线-07,98,1,0.0102,杂质,True,QC-B
WO00207,2025-10,FWD524WR,产线-04,23,1,0.04348,色差,False,QC-C
WO00207,2025-10,FWD524WR,产线-04,59,2,0.0339,色差,False,QC-A
WO00208,2025-04,FWDD10M,产线-07,42,1,0.02381,粒径偏差,True,QC-B
WO00209,2025-09,BHC5518,产线-04,61,3,0.04918,杂质,False,QC-B
WO00209,2025-09,BHC5518,产线-04,96,1,0.01042,粒径偏差,True,QC-C
WO00210,2024-11,FWD320,产线-03,67,2,0.02985,杂质,True,QC-B
WO00210,2024-11,FWD320,产线-03,95,3,0.03158,无,False,QC-A
WO00211,2025-03,BHC9233POH,产线-03,52,1,0.01923,无,True,QC-A
WO00211,2025-03,BHC9233POH,产线-03,32,0,0.0,杂质,True,QC-A
WO00212,2025-04,FWD001,产线-08,27,1,0.03704,无,False,QC-A
WO00212,2025-04,FWD001,产线-08,61,3,0.04918,色差,False,QC-A
WO00213,2025-07,BHC9328GR,产线-01,46,1,0.02174,无,True,QC-B
WO00214,2025-10,FWD6602E,产线-06,43,0,0.0,杂质,True,QC-C
WO00215,2025-08,BHC89237BG,产线-05,71,3,0.04225,粒径偏差,False,QC-C
WO00215,2025-08,BHC89237BG,产线-05,42,2,0.04762,无,False,QC-B
WO00216,2025-07,FWDV040,产线-06,22,1,0.04545,杂质,False,QC-B
WO00217,2025-11,FWD217,产线-02,33,0,0.0,无,True,QC-C
WO00218,2025-08,FWD100,产线-01,29,0,0.0,杂质,True,QC-A
WO00219,2025-06,FWD525,产线-02,40,0,0.0,无,True,QC-B
WO00220,2025-04,FWD5871A,产线-05,86,1,0.01163,无,True,QC-B
WO00220,2025-04,FWD5871A,产线-05,92,4,0.04348,无,False,QC-A
WO00221,2025-11,FWD6603B,产线-04,45,2,0.04444,无,False,QC-C
WO00221,2025-11,FWD6603B,产线-04,38,0,0.0,杂质,True,QC-C
WO00222,2025-10,FWD249,产线-03,47,1,0.02128,无,True,QC-B
WO00222,2025-10,FWD249,产线-03,44,0,0.0,色差,True,QC-A
WO00223,2025-04,BHC9327GP,产线-01,20,1,0.05,无,False,QC-A
WO00223,2025-04,BHC9327GP,产线-01,37,0,0.0,无,True,QC-B
WO00224,2025-03,FWD6502,产线-02,37,1,0.02703,粒径偏差,True,QC-A
WO00224,2025-03,FWD6502,产线-02,46,0,0.0,无,True,QC-A
WO00225,2024-11,FWD303WR,产线-02,31,0,0.0,色差,True,QC-B
WO00226,2025-11,BHC89234BG,产线-03,96,2,0.02083,粒径偏差,True,QC-A
WO00226,2025-11,BHC89234BG,产线-03,48,0,0.0,色差,True,QC-B
WO00227,2025-08,FWD3112,产线-01,64,2,0.03125,无,False,QC-C
WO00228,2025-11,FWD6504A,产线-03,53,1,0.01887,无,True,QC-A
